static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
basic_block_count,ratio_all_stores_retired_over_native,52,-0.5818579806884322,6.0630801352817774e-06,0.5818579806884322,0.000607389948760289,True,True
branch_instr_count,ratio_all_stores_retired_over_native,52,-0.579981889335414,6.6020646604379245e-06,0.579981889335414,0.000607389948760289,True,True
cfg_edge_count,ratio_all_stores_retired_over_native,52,-0.567249192422929,1.1607990402433241e-05,0.567249192422929,0.0007119567446825721,True,True
branch_density,ratio_all_stores_retired_over_native,52,-0.5535387177115316,2.077472728199552e-05,0.5535387177115316,0.0009359662943885497,True,True
memory_access_density,ratio_branches_retired_over_native,52,-0.5430391452900137,3.18945185544707e-05,0.5430391452900137,0.0009359662943885497,True,True
branch_instr_count,ratio_all_loads_retired_over_native,52,-0.5429580790878102,3.1998483520543226e-05,0.5429580790878102,0.0009359662943885497,True,True
basic_block_count,ratio_all_loads_retired_over_native,52,-0.540284374597145,3.5607413373477436e-05,0.540284374597145,0.0009359662943885497,True,True
memory_access_density,ratio_instructions_retired_over_native,52,-0.5292837484379539,5.475333898963504e-05,0.5292837484379539,0.0010991292021428347,True,True
function_count,ratio_all_stores_retired_over_native,52,-0.5276456147233948,5.830252481976811e-05,0.5276456147233948,0.0010991292021428347,True,True
cfg_edge_count,ratio_all_loads_retired_over_native,52,-0.5270101425399999,5.973528272515406e-05,0.5270101425399999,0.0010991292021428347,True,True
branch_density,ratio_all_loads_retired_over_native,52,-0.5209072686118703,7.523583709626863e-05,0.5209072686118703,0.001188403139349051,True,True
function_count,ratio_cpu_cycles_over_native,52,0.5201128254029744,7.750455256624245e-05,0.5201128254029744,0.001188403139349051,True,True
store_count,ratio_all_stores_retired_over_native,52,-0.49396646356812174,0.00019799795679852774,0.49396646356812174,0.002802432619302239,True,True
avg_bb_size,ratio_L1_icache_load_misses_over_native,52,-0.47529157798564226,0.000369945030181756,0.47529157798564226,0.00424767717965916,True,True
call_to_bb_ratio,ratio_all_stores_retired_over_native,52,0.4735786630494881,0.0003910837295040248,0.4735786630494881,0.00424767717965916,True,True
ir_instruction_count,ratio_all_stores_retired_over_native,52,-0.47323691405937474,0.0003954298324127404,0.47323691405937474,0.00424767717965916,True,True
branch_density,ratio_branch_misses_over_native,52,-0.4722163628872449,0.00040867001989307875,0.4722163628872449,0.00424767717965916,True,True
ir_instruction_count,ratio_all_loads_retired_over_native,52,-0.47169904360386494,0.00041553363714057,0.47169904360386494,0.00424767717965916,True,True
function_count,ratio_all_loads_retired_over_native,52,-0.4672081190130458,0.00047964889281869555,0.4672081190130458,0.004645020856770525,True,True
compute_density,ratio_branches_retired_over_native,52,0.46538255155747293,0.0005081744434062732,0.46538255155747293,0.004675204879337713,True,True
loop_count,ratio_instructions_retired_over_native,52,0.4618290020853966,0.0005681362931263283,0.4618290020853966,0.004953575392445292,True,True
compute_instr_count,ratio_cpu_cycles_over_native,52,0.46049340410626094,0.0005922753186619372,0.46049340410626094,0.004953575392445292,True,True
loop_count,ratio_cpu_cycles_over_native,52,0.4503614647875651,0.0008077014532754355,0.4503614647875651,0.006461611626203484,True,True
hostcall_count,ratio_instructions_retired_over_native,52,-0.4465445286107992,0.0009056104631764278,0.4465445286107992,0.00694301355101928,True,True
avg_bb_size,ratio_conditional_branches_over_native,52,-0.44453942700166826,0.0009612035137631417,0.44453942700166826,0.006966440105267205,True,True
function_count,ratio_L1_icache_load_misses_over_native,52,0.4437338453168522,0.0009843882757442789,0.4437338453168522,0.006966440105267205,True,True
ir_instruction_count,ratio_cpu_cycles_over_native,52,0.4416251324738956,0.001047472017663675,0.4416251324738956,0.007093420837265746,True,True
memory_access_density,ratio_cpu_cycles_over_native,52,-0.44059988550355583,0.0010794336056708744,0.44059988550355583,0.007093420837265746,True,True
hostcall_density,ratio_instructions_retired_over_native,52,-0.4353027761567999,0.0012589178404278775,0.4353027761567999,0.007987616642714808,True,True
ir_instruction_count,ratio_instructions_retired_over_native,52,0.4301765413051005,0.0014575797725994068,0.4301765413051005,0.008939822605276362,True,True
loop_count,ratio_L1_icache_load_misses_over_native,52,0.4277738913221394,0.0015599829781495036,0.4277738913221394,0.009259253805790601,True,True
function_count,ratio_instructions_retired_over_native,52,0.4221865642375105,0.0018233485435469176,0.4221865642375105,0.010484254125394776,True,True
compute_to_memory_ratio,ratio_branches_retired_over_native,52,0.4159939582153991,0.002160892951684471,0.4159939582153991,0.011733297119640992,True,True
alloc_call_count,ratio_all_stores_retired_over_native,52,-0.4158712347948304,0.002168109250368444,0.4158712347948304,0.011733297119640992,True,True
call_to_bb_ratio,ratio_all_loads_retired_over_native,52,0.40095700265041445,0.003221794609168599,0.40095700265041445,0.01693743451677206,True,True
avg_bb_size,ratio_all_stores_retired_over_native,52,0.3934566873116226,0.0039058186828513247,0.3934566873116226,0.01956351055614459,True,True
compute_instr_count,ratio_branches_retired_over_native,52,0.39220568512316845,0.004031570487056204,0.39220568512316845,0.01956351055614459,True,True
compute_instr_count,ratio_instructions_retired_over_native,52,0.3921202186413373,0.0040402902235516,0.3921202186413373,0.01956351055614459,True,True
memory_instr_count,ratio_all_stores_retired_over_native,52,-0.38650696102778714,0.004650594509354363,0.38650696102778714,0.02099119608159107,True,True
hostcall_count,ratio_branches_retired_over_native,52,-0.38607495702808675,0.0047007534945741935,0.38607495702808675,0.02099119608159107,True,True
memory_instr_count,ratio_all_loads_retired_over_native,52,-0.3859083883005317,0.004720219846706312,0.3859083883005317,0.02099119608159107,True,True
loop_count,ratio_branches_retired_over_native,52,0.3838149983471186,0.004970966615267989,0.3838149983471186,0.02099119608159107,True,True
call_to_bb_ratio,ratio_branch_misses_over_native,52,0.3837841158972218,0.004974751477967908,0.3837841158972218,0.02099119608159107,True,True
store_count,ratio_all_loads_retired_over_native,52,-0.3834194615012517,0.005019633845597865,0.3834194615012517,0.02099119608159107,True,True
call_to_bb_ratio,ratio_conditional_branches_over_native,52,-0.3758384518770878,0.0060365982238244935,0.3758384518770878,0.02419606329022484,True,True
call_to_bb_ratio,ratio_L1_icache_load_misses_over_native,52,-0.3757530146295595,0.00604901582255621,0.3757530146295595,0.02419606329022484,True,True
memory_access_density,ratio_L1_icache_load_misses_over_native,52,-0.37088309152044513,0.006794725347550766,0.37088309152044513,0.025727911251932304,True,True
branch_instr_count,ratio_branch_misses_over_native,52,-0.37041151610717427,0.006871017843507088,0.37041151610717427,0.025727911251932304,True,True
load_count,ratio_all_loads_retired_over_native,52,-0.36985152044047376,0.0069625832874639195,0.36985152044047376,0.025727911251932304,True,True
basic_block_count,ratio_branch_misses_over_native,52,-0.36967733549223547,0.006991280231503343,0.36967733549223547,0.025727911251932304,True,True
basic_block_count,ratio_instructions_retired_over_native,52,0.36708976664837945,0.007429869658656398,0.36708976664837945,0.02674735149699472,True,True
