feature,coef,p_value
const,1.7006848048667065,0.0
ir_instruction_count,-34.188179800142045,0.0
basic_block_count,-20.145114378933044,0.0
avg_bb_size,2.350515829818997,0.0
cfg_edge_count,39.94136981410219,0.0
avg_bb_out_degree,1.727166249129752,0.0
loop_count,0.8418330368537283,0.0
max_loop_depth,-0.5778846926032899,0.0
branch_instr_count,-16.51478275908488,0.0
branch_density,-0.673575330963347,0.0
compute_instr_count,18.999946060654008,0.0
compute_density,-1.5254683813448637,0.0
load_count,2.3788073660230094,0.0
store_count,4.641709763565599,0.0
memory_instr_count,3.884717593132067,0.0
memory_access_density,-1.736205877739477,0.0
compute_to_memory_ratio,-1.063599845728345,0.0
load_store_ratio,1.0007016947426814,0.0
call_instr_count,1.656270148582612,0.0
call_to_bb_ratio,-1.7240522594466987,0.0
hostcall_count,0.08517633446802364,1.0935987322922942e-18
hostcall_density,0.334649433988945,1.7068599791663934e-91
alloc_call_count,0.2279310968051238,1.1962055485372549e-188
function_count,5.376312483018815,0.0
opt_loop_ok,0.0,
