column,n,spearman_rho,p_value,abs_rho,mode
ir_instruction_count,26,0.42981706902765987,0.028414650480223447,0.42981706902765987,wasm-aot
basic_block_count,26,0.3476172033185614,0.08184689055214653,0.3476172033185614,wasm-aot
avg_bb_size,26,-0.33538461538461534,0.09394617487906183,0.33538461538461534,wasm-aot
cfg_edge_count,26,0.3127200020054118,0.11983899484929908,0.3127200020054118,wasm-aot
avg_bb_out_degree,26,0.14394873265525335,0.4829500222406642,0.14394873265525335,wasm-aot
loop_count,26,0.3942851466222326,0.04624241436189992,0.3942851466222326,wasm-aot
max_loop_depth,26,0.21646202927313002,0.288182175381086,0.21646202927313002,wasm-aot
branch_instr_count,26,0.29947816558089374,0.1371995239571716,0.29947816558089374,wasm-aot
branch_density,26,0.13299145299145299,0.5172037613432983,0.13299145299145299,wasm-aot
compute_instr_count,26,0.4333846987419045,0.02698524970922433,0.4333846987419045,wasm-aot
compute_density,26,0.2676923076923077,0.1861284492408197,0.2676923076923077,wasm-aot
load_count,26,0.14928968244086413,0.4666826308660653,0.14928968244086413,wasm-aot
store_count,26,0.31844166999650575,0.11285827860703357,0.31844166999650575,wasm-aot
memory_instr_count,26,0.2737852230118406,0.175926316052532,0.2737852230118406,wasm-aot
memory_access_density,26,-0.35390665588196335,0.07610600285333667,0.35390665588196335,wasm-aot
compute_to_memory_ratio,26,0.24038297496137223,0.23685751188075846,0.24038297496137223,wasm-aot
load_store_ratio,26,-0.2268606475893462,0.265071427274087,0.2268606475893462,wasm-aot
call_instr_count,26,-0.11154837272115666,0.5874660365279658,0.11154837272115666,wasm-aot
call_to_bb_ratio,26,-0.3207385924804654,0.11014197254661232,0.3207385924804654,wasm-aot
hostcall_count,26,-0.25044267377553897,0.21720715560485063,0.25044267377553897,wasm-aot
hostcall_density,26,-0.2650025684140305,0.1907598393828676,0.2650025684140305,wasm-aot
alloc_call_count,26,0.07946289432919545,0.6995954439414013,0.07946289432919545,wasm-aot
function_count,26,0.49779077762821633,0.009660535185702862,0.49779077762821633,wasm-aot
ir_instruction_count,26,0.43973329416831386,0.024585503429458554,0.43973329416831386,wasm-jit
basic_block_count,26,0.34485559693668605,0.08446901640369654,0.34485559693668605,wasm-jit
avg_bb_size,26,-0.33196581196581193,0.09755612861441441,0.33196581196581193,wasm-jit
cfg_edge_count,26,0.3102904348422177,0.12289695922900887,0.3102904348422177,wasm-jit
avg_bb_out_degree,26,0.14463913425072217,0.48083112920452675,0.14463913425072217,wasm-jit
loop_count,26,0.40714982953671464,0.038982230893335176,0.40714982953671464,wasm-jit
max_loop_depth,26,0.23569471828520253,0.24640467765146662,0.23569471828520253,wasm-jit
branch_instr_count,26,0.29670200645615774,0.14105802791237365,0.29670200645615774,wasm-jit
branch_density,26,0.1323076923076923,0.5193795608620919,0.1323076923076923,wasm-jit
compute_instr_count,26,0.44193609374470444,0.023794450828493612,0.44193609374470444,wasm-jit
compute_density,26,0.28068376068376066,0.16485389973677606,0.28068376068376066,wasm-jit
load_count,26,0.14826245985526185,0.46978904003832866,0.14826245985526185,wasm-jit
store_count,26,0.2918473005933268,0.14799195060117595,0.2918473005933268,wasm-jit
memory_instr_count,26,0.26009596186124856,0.1994115917085153,0.26009596186124856,wasm-jit
memory_access_density,26,-0.3843392088998327,0.05255341669194097,0.3843392088998327,wasm-jit
compute_to_memory_ratio,26,0.26773807879765926,0.18605031643932327,0.26773807879765926,wasm-jit
load_store_ratio,26,-0.201197678405031,0.3243380301971527,0.201197678405031,wasm-jit
call_instr_count,26,-0.09512407244319494,0.6439125830846884,0.09512407244319494,wasm-jit
call_to_bb_ratio,26,-0.31389981652139354,0.11837430536766332,0.31389981652139354,wasm-jit
hostcall_count,26,-0.2932954173949159,0.14589862725933986,0.2932954173949159,wasm-jit
hostcall_density,26,-0.2968028766237142,0.14091647975647767,0.2968028766237142,wasm-jit
alloc_call_count,26,0.07946289432919545,0.6995954439414013,0.07946289432919545,wasm-jit
function_count,26,0.49954356205648465,0.009368519974919394,0.49954356205648465,wasm-jit
