feature,spearman_to_target,abs_score,selected,selection_order,max_abs_corr_with_selected_others
memory_access_density,-0.5292837484379539,0.5292837484379539,1,1,0.7178522571819426
hostcall_density,-0.4353027761567999,0.4353027761567999,1,2,0.7411508975800686
ir_instruction_count,0.4301765413051005,0.4301765413051005,1,3,0.7325581395348837
compute_instr_count,0.3921202186413373,0.3921202186413373,0,0,
basic_block_count,0.36708976664837945,0.36708976664837945,0,0,
avg_bb_size,-0.3444240910205085,0.3444240910205085,0,0,
branch_instr_count,0.3344281876463884,0.3344281876463884,0,0,
compute_to_memory_ratio,0.2986031801114849,0.2986031801114849,1,4,0.8388394891695025
avg_bb_out_degree,0.27359227909038053,0.27359227909038053,0,0,
max_loop_depth,0.2657160631734124,0.2657160631734124,1,5,0.8388394891695025
compute_density,0.24960495881992215,0.24960495881992215,0,0,
branch_density,0.1679409134291468,0.1679409134291468,1,6,0.6992648418150871
call_instr_count,-0.15226792391824306,0.15226792391824306,1,7,0.6118150684931507
load_store_ratio,-0.1312359703618771,0.1312359703618771,1,8,0.6118150684931507
memory_instr_count,0.12715394934697336,0.12715394934697336,0,0,
