program,mode,event,event_alias,repeat_count,median_value
llvmss_benchmarkgame_puzzle,native,L1-icache-load-misses,L1_icache_load_misses,5,80616.0
llvmss_benchmarkgame_puzzle,native,branch-misses,branch_misses,5,9272.0
llvmss_benchmarkgame_puzzle,native,cpu-cycles,cpu_cycles,5,236174529.0
llvmss_benchmarkgame_puzzle,native,r00c4,branches_retired,5,35027776.0
llvmss_benchmarkgame_puzzle,native,r01c4,conditional_branches,5,34071918.0
llvmss_benchmarkgame_puzzle,native,r1c0,instructions_retired,5,926076539.0
llvmss_benchmarkgame_puzzle,native,r81d0,all_loads_retired,5,131559427.0
llvmss_benchmarkgame_puzzle,native,r82d0,all_stores_retired,5,6612293.0
llvmss_benchmarkgame_puzzle,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,555052.0
llvmss_benchmarkgame_puzzle,wasm-aot,branch-misses,branch_misses,5,57733.0
llvmss_benchmarkgame_puzzle,wasm-aot,cpu-cycles,cpu_cycles,5,1237346539.0
llvmss_benchmarkgame_puzzle,wasm-aot,r00c4,branches_retired,5,1018853731.0
llvmss_benchmarkgame_puzzle,wasm-aot,r01c4,conditional_branches,5,3399699.0
llvmss_benchmarkgame_puzzle,wasm-aot,r1c0,instructions_retired,5,6162968297.0
llvmss_benchmarkgame_puzzle,wasm-aot,r81d0,all_loads_retired,5,514888677.0
llvmss_benchmarkgame_puzzle,wasm-aot,r82d0,all_stores_retired,5,10567310.0
llvmss_benchmarkgame_puzzle,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,610271.0
llvmss_benchmarkgame_puzzle,wasm-jit,branch-misses,branch_misses,5,67358.0
llvmss_benchmarkgame_puzzle,wasm-jit,cpu-cycles,cpu_cycles,5,1238326427.0
llvmss_benchmarkgame_puzzle,wasm-jit,r00c4,branches_retired,5,1019242238.0
llvmss_benchmarkgame_puzzle,wasm-jit,r01c4,conditional_branches,5,3482616.0
llvmss_benchmarkgame_puzzle,wasm-jit,r1c0,instructions_retired,5,6165540593.0
llvmss_benchmarkgame_puzzle,wasm-jit,r81d0,all_loads_retired,5,515527291.0
llvmss_benchmarkgame_puzzle,wasm-jit,r82d0,all_stores_retired,5,10892622.0
llvmss_misc_evalloop,native,L1-icache-load-misses,L1_icache_load_misses,5,122942.0
llvmss_misc_evalloop,native,branch-misses,branch_misses,5,111549.0
llvmss_misc_evalloop,native,cpu-cycles,cpu_cycles,5,1514497569.0
llvmss_misc_evalloop,native,r00c4,branches_retired,5,813441025.0
llvmss_misc_evalloop,native,r01c4,conditional_branches,5,236912.0
llvmss_misc_evalloop,native,r1c0,instructions_retired,5,1841516939.0
llvmss_misc_evalloop,native,r81d0,all_loads_retired,5,820242328.0
llvmss_misc_evalloop,native,r82d0,all_stores_retired,5,410251635.0
llvmss_misc_evalloop,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,565519.0
llvmss_misc_evalloop,wasm-aot,branch-misses,branch_misses,5,159229.0
llvmss_misc_evalloop,wasm-aot,cpu-cycles,cpu_cycles,5,1767814523.0
llvmss_misc_evalloop,wasm-aot,r00c4,branches_retired,5,1014341171.0
llvmss_misc_evalloop,wasm-aot,r01c4,conditional_branches,5,7424423.0
llvmss_misc_evalloop,wasm-aot,r1c0,instructions_retired,5,5893201580.0
llvmss_misc_evalloop,wasm-aot,r81d0,all_loads_retired,5,1431792171.0
llvmss_misc_evalloop,wasm-aot,r82d0,all_stores_retired,5,617419083.0
llvmss_misc_evalloop,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,638376.0
llvmss_misc_evalloop,wasm-jit,branch-misses,branch_misses,5,168671.0
llvmss_misc_evalloop,wasm-jit,cpu-cycles,cpu_cycles,5,1767255836.0
llvmss_misc_evalloop,wasm-jit,r00c4,branches_retired,5,1014663117.0
llvmss_misc_evalloop,wasm-jit,r01c4,conditional_branches,5,7492916.0
llvmss_misc_evalloop,wasm-jit,r1c0,instructions_retired,5,5895298607.0
llvmss_misc_evalloop,wasm-jit,r81d0,all_loads_retired,5,1432320655.0
llvmss_misc_evalloop,wasm-jit,r82d0,all_stores_retired,5,617697799.0
llvmss_misc_flops,native,L1-icache-load-misses,L1_icache_load_misses,5,479497.0
llvmss_misc_flops,native,branch-misses,branch_misses,5,21663.0
llvmss_misc_flops,native,cpu-cycles,cpu_cycles,5,13052313568.0
llvmss_misc_flops,native,r00c4,branches_retired,5,1445669256.0
llvmss_misc_flops,native,r01c4,conditional_branches,5,1441600806.0
llvmss_misc_flops,native,r1c0,instructions_retired,5,31641625242.0
llvmss_misc_flops,native,r81d0,all_loads_retired,5,384553736.0
llvmss_misc_flops,native,r82d0,all_stores_retired,5,4438339.0
llvmss_misc_flops,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1058226.0
llvmss_misc_flops,wasm-aot,branch-misses,branch_misses,5,72781.0
llvmss_misc_flops,wasm-aot,cpu-cycles,cpu_cycles,5,16439398845.0
llvmss_misc_flops,wasm-aot,r00c4,branches_retired,5,3063407596.0
llvmss_misc_flops,wasm-aot,r01c4,conditional_branches,5,1724165.0
llvmss_misc_flops,wasm-aot,r1c0,instructions_retired,5,37676026335.0
llvmss_misc_flops,wasm-aot,r81d0,all_loads_retired,5,4450847913.0
llvmss_misc_flops,wasm-aot,r82d0,all_stores_retired,5,3502606034.0
llvmss_misc_flops,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1085888.0
llvmss_misc_flops,wasm-jit,branch-misses,branch_misses,5,83724.0
llvmss_misc_flops,wasm-jit,cpu-cycles,cpu_cycles,5,16440563398.0
llvmss_misc_flops,wasm-jit,r00c4,branches_retired,5,3063776480.0
llvmss_misc_flops,wasm-jit,r01c4,conditional_branches,5,1798308.0
llvmss_misc_flops,wasm-jit,r1c0,instructions_retired,5,37678444425.0
llvmss_misc_flops,wasm-jit,r81d0,all_loads_retired,5,4451473915.0
llvmss_misc_flops,wasm-jit,r82d0,all_stores_retired,5,3502915478.0
llvmss_misc_flops-1,native,L1-icache-load-misses,L1_icache_load_misses,5,149365.0
llvmss_misc_flops-1,native,branch-misses,branch_misses,5,11063.0
llvmss_misc_flops-1,native,cpu-cycles,cpu_cycles,5,2161455463.0
llvmss_misc_flops-1,native,r00c4,branches_retired,5,313481552.0
llvmss_misc_flops-1,native,r01c4,conditional_branches,5,312678410.0
llvmss_misc_flops-1,native,r1c0,instructions_retired,5,5943096719.0
llvmss_misc_flops-1,native,r81d0,all_loads_retired,5,1388250.0
llvmss_misc_flops-1,native,r82d0,all_stores_retired,5,869347.0
llvmss_misc_flops-1,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,612713.0
llvmss_misc_flops-1,wasm-aot,branch-misses,branch_misses,5,59812.0
llvmss_misc_flops-1,wasm-aot,cpu-cycles,cpu_cycles,5,2636855583.0
llvmss_misc_flops-1,wasm-aot,r00c4,branches_retired,5,316370961.0
llvmss_misc_flops-1,wasm-aot,r01c4,conditional_branches,5,313383618.0
llvmss_misc_flops-1,wasm-aot,r1c0,instructions_retired,5,5333193537.0
llvmss_misc_flops-1,wasm-aot,r81d0,all_loads_retired,5,4979172.0
llvmss_misc_flops-1,wasm-aot,r82d0,all_stores_retired,5,3122521.0
llvmss_misc_flops-1,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,663884.0
llvmss_misc_flops-1,wasm-jit,branch-misses,branch_misses,5,66249.0
llvmss_misc_flops-1,wasm-jit,cpu-cycles,cpu_cycles,5,2639307590.0
llvmss_misc_flops-1,wasm-jit,r00c4,branches_retired,5,316663429.0
llvmss_misc_flops-1,wasm-jit,r01c4,conditional_branches,5,313449018.0
