x_feature,y_metric,n,spearman_rho,p_value,abs_rho,direction
basic_block_count,ratio_all_stores_retired_over_native,52,-0.5818579806884322,6.0630801352817774e-06,0.5818579806884322,negative
branch_instr_count,ratio_all_stores_retired_over_native,52,-0.579981889335414,6.6020646604379245e-06,0.579981889335414,negative
branch_density,ratio_all_stores_retired_over_native,52,-0.5535387177115316,2.077472728199552e-05,0.5535387177115316,negative
memory_access_density,ratio_branches_retired_over_native,52,-0.5430391452900137,3.18945185544707e-05,0.5430391452900137,negative
branch_instr_count,ratio_all_loads_retired_over_native,52,-0.5429580790878102,3.1998483520543226e-05,0.5429580790878102,negative
basic_block_count,ratio_all_loads_retired_over_native,52,-0.540284374597145,3.5607413373477436e-05,0.540284374597145,negative
memory_access_density,ratio_instructions_retired_over_native,52,-0.5292837484379539,5.475333898963504e-05,0.5292837484379539,negative
branch_density,ratio_all_loads_retired_over_native,52,-0.5209072686118703,7.523583709626863e-05,0.5209072686118703,negative
avg_bb_size,ratio_L1_icache_load_misses_over_native,52,-0.47529157798564226,0.000369945030181756,0.47529157798564226,negative
ir_instruction_count,ratio_all_stores_retired_over_native,52,-0.47323691405937474,0.0003954298324127404,0.47323691405937474,negative
branch_density,ratio_branch_misses_over_native,52,-0.4722163628872449,0.00040867001989307875,0.4722163628872449,negative
ir_instruction_count,ratio_all_loads_retired_over_native,52,-0.47169904360386494,0.00041553363714057,0.47169904360386494,negative
compute_density,ratio_branches_retired_over_native,52,0.46538255155747293,0.0005081744434062732,0.46538255155747293,positive
compute_instr_count,ratio_cpu_cycles_over_native,52,0.46049340410626094,0.0005922753186619372,0.46049340410626094,positive
avg_bb_size,ratio_conditional_branches_over_native,52,-0.44453942700166826,0.0009612035137631417,0.44453942700166826,negative
ir_instruction_count,ratio_cpu_cycles_over_native,52,0.4416251324738956,0.001047472017663675,0.4416251324738956,positive
memory_access_density,ratio_cpu_cycles_over_native,52,-0.44059988550355583,0.0010794336056708744,0.44059988550355583,negative
hostcall_density,ratio_instructions_retired_over_native,52,-0.4353027761567999,0.0012589178404278775,0.4353027761567999,negative
ir_instruction_count,ratio_instructions_retired_over_native,52,0.4301765413051005,0.0014575797725994068,0.4301765413051005,positive
