program,mode,source_path,ir_path,ir_instruction_count,basic_block_count,avg_bb_size,cfg_edge_count,avg_bb_out_degree,loop_count,max_loop_depth,branch_instr_count,branch_density,compute_instr_count,compute_density,load_count,store_count,memory_instr_count,memory_access_density,compute_to_memory_ratio,load_store_ratio,call_instr_count,call_to_bb_ratio,hostcall_count,hostcall_density,alloc_call_count,function_count,opt_loop_ok,opt_loop_note,native_perf_L1_icache_load_misses_median,native_perf_all_loads_retired_median,native_perf_all_stores_retired_median,native_perf_branch_misses_median,native_perf_branches_retired_median,native_perf_conditional_branches_median,native_perf_cpu_cycles_median,native_perf_instructions_retired_median,perf_L1_icache_load_misses_median,perf_all_loads_retired_median,perf_all_stores_retired_median,perf_branch_misses_median,perf_branches_retired_median,perf_conditional_branches_median,perf_cpu_cycles_median,perf_instructions_retired_median,ratio_L1_icache_load_misses_over_native,ratio_all_loads_retired_over_native,ratio_all_stores_retired_over_native,ratio_branch_misses_over_native,ratio_branches_retired_over_native,ratio_conditional_branches_over_native,ratio_cpu_cycles_over_native,ratio_instructions_retired_over_native
llvmss_benchmarkgame_puzzle,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/puzzle.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_benchmarkgame_puzzle.ll,335,39,8.58974358974359,51,1.3076923076923077,11,3,32,0.0955223880597015,216,0.6447761194029851,19,28,47,0.14029850746268657,4.595744680851063,0.6785714285714286,6,0.15384615384615385,1,0.0029850746268656717,3,7,1,,80616.0,131559427.0,6612293.0,9272.0,35027776.0,34071918.0,236174529.0,926076539.0,555052.0,514888677.0,10567310.0,57733.0,1018853731.0,3399699.0,1237346539.0,6162968297.0,6.885134464622407,3.9137345665088676,1.5981309358190872,6.226596203623814,29.087023138437335,0.0997800886935687,5.239119325183454,6.654923256834606
llvmss_benchmarkgame_puzzle,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/puzzle.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_benchmarkgame_puzzle.ll,335,39,8.58974358974359,51,1.3076923076923077,11,3,32,0.0955223880597015,216,0.6447761194029851,19,28,47,0.14029850746268657,4.595744680851063,0.6785714285714286,6,0.15384615384615385,1,0.0029850746268656717,3,7,1,,80616.0,131559427.0,6612293.0,9272.0,35027776.0,34071918.0,236174529.0,926076539.0,610271.0,515527291.0,10892622.0,67358.0,1019242238.0,3482616.0,1238326427.0,6165540593.0,7.57009774734544,3.918588753050741,1.6473289976714582,7.2646678170836925,29.09811453630399,0.10221367637712676,5.243268324671878,6.657700884699769
llvmss_misc_evalloop,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/evalloop.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_evalloop.ll,189,41,4.609756097560975,71,1.7317073170731707,4,1,38,0.20105820105820105,27,0.14285714285714285,5,11,16,0.08465608465608465,1.6875,0.45454545454545453,3,0.07317073170731707,1,0.005291005291005291,0,3,1,,122942.0,820242328.0,410251635.0,111549.0,813441025.0,236912.0,1514497569.0,1841516939.0,565519.0,1431792171.0,617419083.0,159229.0,1014341171.0,7424423.0,1767814523.0,5893201580.0,4.599884498381351,1.7455721585243527,1.5049765322690305,1.4274354767859865,1.246975674727003,31.338315492672386,1.1672613803977654,3.200188635354171
llvmss_misc_evalloop,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/evalloop.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_evalloop.ll,189,41,4.609756097560975,71,1.7317073170731707,4,1,38,0.20105820105820105,27,0.14285714285714285,5,11,16,0.08465608465608465,1.6875,0.45454545454545453,3,0.07317073170731707,1,0.005291005291005291,0,3,1,,122942.0,820242328.0,410251635.0,111549.0,813441025.0,236912.0,1514497569.0,1841516939.0,638376.0,1432320655.0,617697799.0,168671.0,1014663117.0,7492916.0,1767255836.0,5895298607.0,5.19249727513787,1.7462164608018131,1.50565591042678,1.5120798931411308,1.2473714575681747,31.62742284054839,1.1668924877620586,3.201327385129201
llvmss_misc_flops-1,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-1.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-1.ll,63,3,21.0,3,1.0,1,1,2,0.031746031746031744,19,0.30158730158730157,7,12,19,0.30158730158730157,1.0,0.5833333333333334,9,3.0,5,0.07936507936507936,0,1,1,,149365.0,1388250.0,869347.0,11063.0,313481552.0,312678410.0,2161455463.0,5943096719.0,612713.0,4979172.0,3122521.0,59812.0,316370961.0,313383618.0,2636855583.0,5333193537.0,4.102118970307636,3.586653700702323,3.5918005123385712,5.406490102142276,1.0092171580163671,1.002255377977648,1.2199444439813563,0.8973761978245873
llvmss_misc_flops-1,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-1.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-1.ll,63,3,21.0,3,1.0,1,1,2,0.031746031746031744,19,0.30158730158730157,7,12,19,0.30158730158730157,1.0,0.5833333333333334,9,3.0,5,0.07936507936507936,0,1,1,,149365.0,1388250.0,869347.0,11063.0,313481552.0,312678410.0,2161455463.0,5943096719.0,663884.0,5461836.0,3372622.0,66249.0,316663429.0,313449018.0,2639307590.0,5335143917.0,4.444709269239782,3.9343317125877904,3.879488857728847,5.9883395100786405,1.010150125197798,1.0024645385653586,1.2210788680034903,0.8977043735370513
llvmss_misc_flops-2,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-2.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-2.ll,71,5,14.2,6,1.2,2,1,4,0.056338028169014086,27,0.38028169014084506,5,13,18,0.2535211267605634,1.5,0.38461538461538464,7,1.4,5,0.07042253521126761,0,1,1,,117535.0,1014993.0,631906.0,10019.0,98378685.0,97790623.0,1505341139.0,1449415479.0,562446.0,4360507.0,2734597.0,58185.0,472192345.0,157062456.0,1478230063.0,3143230674.0,4.785349044965329,4.296095638097997,4.327537640092039,5.807465814951592,4.799742393385315,1.6061095755571575,0.9819900783300124,2.168619501820568
llvmss_misc_flops-2,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-2.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-2.ll,71,5,14.2,6,1.2,2,1,4,0.056338028169014086,27,0.38028169014084506,5,13,18,0.2535211267605634,1.5,0.38461538461538464,7,1.4,5,0.07042253521126761,0,1,1,,117535.0,1014993.0,631906.0,10019.0,98378685.0,97790623.0,1505341139.0,1449415479.0,617007.0,4888610.0,3004820.0,65938.0,472520485.0,157129788.0,1480580547.0,3145342777.0,5.249559705619602,4.816397748555901,4.75516928150706,6.581295538476894,4.803077872000424,1.60679810783085,0.9835515077888268,2.170076712006744
llvmss_misc_flops-3,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-3.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-3.ll,62,3,20.666666666666668,3,1.0,1,1,2,0.03225806451612903,14,0.22580645161290322,10,11,21,0.3387096774193548,0.6666666666666667,0.9090909090909091,19,6.333333333333333,5,0.08064516129032258,0,1,1,,186886.0,2004617.0,1259402.0,12088.0,313898435.0,312749214.0,3349220478.0,6883061593.0,614985.0,5177345.0,3254454.0,58273.0,316500388.0,313403792.0,3062770035.0,6271483502.0,3.2906959322795717,2.582710313241881,2.5841264346094417,4.8207313037723365,1.00828915569458,1.0020929804798806,0.9144725034133748,0.9111473749382152
llvmss_misc_flops-3,wasm-jit,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-3.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-3.ll,62,3,20.666666666666668,3,1.0,1,1,2,0.03225806451612903,14,0.22580645161290322,10,11,21,0.3387096774193548,0.6666666666666667,0.9090909090909091,19,6.333333333333333,5,0.08064516129032258,0,1,1,,186886.0,2004617.0,1259402.0,12088.0,313898435.0,312749214.0,3349220478.0,6883061593.0,689325.0,5757270.0,3558654.0,70002.0,316875293.0,313482945.0,3065513872.0,6273840672.0,3.688478537718181,2.8720049765117226,2.8256696432116195,5.791032428855063,1.009483506982123,1.002346068246234,0.9152917498672956,0.91148983446268
llvmss_misc_flops-4,wasm-aot,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-4.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-4.ll,77,3,25.666666666666668,3,1.0,1,1,2,0.025974025974025976,16,0.2077922077922078,17,13,30,0.38961038961038963,0.5333333333333333,1.3076923076923077,24,8.0,5,0.06493506493506493,0,1,1,,107821.0,1077716.0,671924.0,9682.0,157014213.0,156389969.0,1559547263.0,3285607392.0,541036.0,316835340.0,2719922.0,55616.0,159674048.0,157052330.0,1489330957.0,3143130935.0,5.017909312657089,293.98778527923866,4.047960781278835,5.74426771328238,1.0169400906400747,1.0042353163967952,0.9549764808891207,0.9566361892942807
