mode_scope,feature,n,spearman_rho,p_value
pooled,memory_access_density,52,-0.5292837484379539,5.475333898963504e-05
pooled,hostcall_density,52,-0.4353027761567999,0.0012589178404278775
pooled,ir_instruction_count,52,0.4301765413051005,0.0014575797725994068
pooled,compute_to_memory_ratio,52,0.2986031801114849,0.03153652707253486
pooled,max_loop_depth,52,0.2657160631734124,0.0569219859496533
pooled,branch_density,52,0.1679409134291468,0.2340170060853472
pooled,call_instr_count,52,-0.15226792391824306,0.28120033401667993
pooled,load_store_ratio,52,-0.1312359703618771,0.35373423597628795
wasm-aot,memory_access_density,26,-0.5296631980301075,0.005389624894708492
wasm-aot,hostcall_density,26,-0.43597196739082444,0.025985414305229743
wasm-aot,ir_instruction_count,26,0.4311848242194742,0.027859606468328853
wasm-aot,compute_to_memory_ratio,26,0.2988545094114357,0.13805961676515993
wasm-aot,max_loop_depth,26,0.26586364222570846,0.18926862661527835
wasm-aot,branch_density,26,0.16786324786324786,0.4123972237618623
wasm-aot,call_instr_count,26,-0.15226695049360342,0.45773971208476305
wasm-aot,load_store_ratio,26,-0.1310522293012362,0.5233860552593841
wasm-jit,memory_access_density,26,-0.5296631980301075,0.005389624894708492
wasm-jit,hostcall_density,26,-0.43597196739082444,0.025985414305229743
wasm-jit,ir_instruction_count,26,0.4311848242194742,0.027859606468328853
wasm-jit,compute_to_memory_ratio,26,0.2988545094114357,0.13805961676515993
wasm-jit,max_loop_depth,26,0.26586364222570846,0.18926862661527835
wasm-jit,branch_density,26,0.16786324786324786,0.4123972237618623
wasm-jit,call_instr_count,26,-0.15226695049360342,0.45773971208476305
wasm-jit,load_store_ratio,26,-0.1310522293012362,0.5233860552593841
