static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
basic_block_count,ratio_all_stores_retired_over_native,52,-0.6439596329409776,2.600638771992156e-07,0.6439596329409776,3.167569761693924e-05,True,True
branch_instr_count,ratio_all_stores_retired_over_native,52,-0.6353008376678994,4.207454727384221e-07,0.6353008376678994,3.167569761693924e-05,True,True
cfg_edge_count,ratio_all_stores_retired_over_native,52,-0.6266538242544083,6.703842366842615e-07,0.6266538242544083,3.167569761693924e-05,True,True
avg_bb_size,ratio_L1_icache_load_misses_over_native,52,-0.626147963090359,6.886021221073748e-07,0.626147963090359,3.167569761693924e-05,True,True
function_count,ratio_all_stores_retired_over_native,52,-0.603323870221571,2.2008808814938308e-06,0.603323870221571,8.099241643897297e-05,True,True
function_count,ratio_L1_icache_load_misses_over_native,52,0.597630482944509,2.900251964515384e-06,0.597630482944509,8.186893408381293e-05,True,True
function_count,ratio_cpu_cycles_over_native,52,0.5961414431951236,3.1145790140581006e-06,0.5961414431951236,8.186893408381293e-05,True,True
branch_density,ratio_all_stores_retired_over_native,52,-0.5820698800133296,6.0048386246032365e-06,0.5820698800133296,0.00013811128836587445,True,True
call_to_bb_ratio,ratio_L1_icache_load_misses_over_native,52,-0.5719169349545864,9.464512980616362e-06,0.5719169349545864,0.0001934967098259345,True,True
loop_count,ratio_L1_icache_load_misses_over_native,52,0.5647762119182023,1.291768865792221e-05,0.5647762119182023,0.00023768547130576868,True,True
store_count,ratio_all_stores_retired_over_native,52,-0.5586895326939239,1.674487047365908e-05,0.5586895326939239,0.0002569213354263433,True,True
memory_access_density,ratio_instructions_retired_over_native,52,-0.5586741615876966,1.6755739266935433e-05,0.5586741615876966,0.0002569213354263433,True,True
ir_instruction_count,ratio_all_stores_retired_over_native,52,-0.5304798699033505,5.2288339659347826e-05,0.5304798699033505,0.000728182773741605,True,True
basic_block_count,ratio_all_loads_retired_over_native,52,-0.5276915395570454,5.820021319074085e-05,0.5276915395570454,0.000728182773741605,True,True
basic_block_count,ratio_L1_icache_load_misses_over_native,52,0.5271740257882742,5.936272612023954e-05,0.5271740257882742,0.000728182773741605,True,True
branch_instr_count,ratio_all_loads_retired_over_native,52,-0.5228420978759974,6.996276104003436e-05,0.5228420978759974,0.0008045717519603951,True,True
loop_count,ratio_instructions_retired_over_native,52,0.5139541716209944,9.733539550306577e-05,0.5139541716209944,0.0009761541955357039,True,True
cfg_edge_count,ratio_all_loads_retired_over_native,52,-0.51382838481973,9.778493049598218e-05,0.51382838481973,0.0009761541955357039,True,True
loop_count,ratio_cpu_cycles_over_native,52,0.5129985435128418,0.00010079853106075203,0.5129985435128418,0.0009761541955357039,True,True
call_to_bb_ratio,ratio_all_stores_retired_over_native,52,0.5083516227935151,0.0001193017297903295,0.5083516227935151,0.0010975759140710315,True,True
ir_instruction_count,ratio_all_loads_retired_over_native,52,-0.503823448674514,0.00014026875547602433,0.503823448674514,0.0011100993511369357,True,True
branch_density,ratio_branch_misses_over_native,52,-0.5022851327382416,0.00014812375419082533,0.5022851327382416,0.0011100993511369357,True,True
branch_density,ratio_L1_icache_load_misses_over_native,52,0.5021142874549973,0.00014902044945841656,0.5021142874549973,0.0011100993511369357,True,True
cfg_edge_count,ratio_L1_icache_load_misses_over_native,52,0.5019474584534341,0.00014990084212922268,0.5019474584534341,0.0011100993511369357,True,True
avg_bb_size,ratio_conditional_branches_over_native,52,-0.5017725968885087,0.00015082871618708366,0.5017725968885087,0.0011100993511369357,True,True
