feature,wasmtime_coef,wasmtime_nonzero,wasmer_coef,wasmer_nonzero,sign_agree,both_nonzero,only_wasmtime_nonzero,only_wasmer_nonzero,max_abs_coef
compute_instr_count,0.6990319925183229,True,1.5335597561474394,True,1,1,0,0,1.5335597561474394
function_count,0.4860257951476117,True,0.7821192358295141,True,1,1,0,0,0.7821192358295141
branch_instr_count,-0.3141037403873197,True,-0.7328640824851812,True,1,1,0,0,0.7328640824851812
hostcall_density,0.1683001229270699,True,0.7296200765498762,True,1,1,0,0,0.7296200765498762
load_count,-0.2681589930180418,True,-0.687821811370993,True,1,1,0,0,0.687821811370993
avg_bb_out_degree,-0.3823604113521668,True,-0.284594344535369,True,1,1,0,0,0.3823604113521668
call_instr_count,-0.3722442796471091,True,-0.0,False,0,0,1,0,0.3722442796471091
compute_to_memory_ratio,-0.2504837538221059,True,-0.1083190590084821,True,1,1,0,0,0.2504837538221059
memory_access_density,-0.2370903944543642,True,-0.2095363444350324,True,1,1,0,0,0.2370903944543642
compute_density,0.1221474586486441,True,-0.1763757013047129,True,0,1,0,0,0.1763757013047129
call_to_bb_ratio,0.143444500156456,True,0.0,False,0,0,1,0,0.143444500156456
load_store_ratio,0.1351621434068402,True,0.0,False,0,0,1,0,0.1351621434068402
alloc_call_count,0.1349272116265337,True,0.0,False,0,0,1,0,0.1349272116265337
hostcall_count,-0.0800364984412459,True,-0.1164947211911802,True,1,1,0,0,0.1164947211911802
max_loop_depth,-0.0437575885824987,True,0.0,False,0,0,1,0,0.0437575885824987
avg_bb_size,0.0,False,-0.0,False,1,0,0,0,0.0
branch_density,-0.0,False,-0.0,False,1,0,0,0,0.0
basic_block_count,-0.0,False,-0.0,False,1,0,0,0,0.0
ir_instruction_count,-0.0,False,0.0,False,1,0,0,0,0.0
cfg_edge_count,-0.0,False,-0.0,False,1,0,0,0,0.0
loop_count,-0.0,False,0.0,False,1,0,0,0,0.0
memory_instr_count,-0.0,False,-0.0,False,1,0,0,0,0.0
opt_loop_ok,0.0,False,0.0,False,1,0,0,0,0.0
store_count,0.0,False,-0.0,False,1,0,0,0,0.0
