feature,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_abs_rho,wasmtime_fdr_q,wasmtime_fdr_sig_0.05,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_abs_rho,wasmer_fdr_q,wasmer_fdr_sig_0.05,wasmer_fdr_sig_0.10,sign_agree
function_count,0.4983903631766461,0.0001698388480244,0.4983903631766461,0.0039062935045615,True,True,0.5639081121496042,1.3408933314935925e-05,0.5639081121496042,0.0003084054662435,True,True,1
ir_instruction_count,0.4345338409290449,0.0012870803646506,0.4345338409290449,0.0098676161289883,True,True,0.5226196431307447,7.055129604146913e-05,0.5226196431307447,0.0008113399044768,True,True,1
compute_instr_count,0.4374174540118491,0.0011842890552659,0.4374174540118491,0.0098676161289883,True,True,0.4598096722516117,0.0006049875142306,0.4598096722516117,0.0046382376091017,True,True,1
loop_count,0.4004950525985098,0.0032606397969309,0.4004950525985098,0.0187486788323527,True,True,0.4446276961386493,0.0009586931523501,0.4446276961386493,0.0055124856260131,True,True,1
basic_block_count,0.3460442067183502,0.0119754556627042,0.3460442067183502,0.0459059133736995,True,True,0.4026257121040026,0.0030848570475685,0.4026257121040026,0.0141903424188152,True,True,1
memory_instr_count,0.2667924155767026,0.0558873028467125,0.2667924155767026,0.0856938643649592,False,True,0.3853953259628843,0.0047806250057373,0.3853953259628843,0.0183257291886599,True,True,1
store_count,0.3049751017207796,0.0279197810128515,0.3049751017207796,0.0642154963295586,False,True,0.3721144987606116,0.0065989751342483,0.3721144987606116,0.0199820857337358,True,True,1
memory_access_density,-0.3689180348272938,0.0071175810959362,0.3689180348272938,0.0327408730413067,True,True,-0.3649024841934626,0.0078190770262444,0.3649024841934626,0.0199820857337358,True,True,1
cfg_edge_count,0.3113323040511107,0.0246635916755477,0.3113323040511107,0.0630291787263997,False,True,0.3649265558348395,0.0078146991574555,0.3649265558348395,0.0199820857337358,True,True,1
branch_instr_count,0.2979246182921936,0.0319436521868916,0.2979246182921936,0.0667912727544097,False,True,0.3579257346653594,0.0091812235670966,0.3579257346653594,0.0202186848413582,True,True,1
hostcall_density,-0.2807467953780656,0.0437972074414623,0.2807467953780656,0.0839446475961361,False,True,-0.3531121440345542,0.0102366577024294,0.3531121440345542,0.0202186848413582,True,True,1
avg_bb_size,-0.3334899928928733,0.0156929661209588,0.3334899928928733,0.0515626029688647,False,True,-0.3517704382000134,0.0105488790476651,0.3517704382000134,0.0202186848413582,True,True,1
call_to_bb_ratio,-0.3171430628251307,0.0219723122250579,0.3171430628251307,0.0630291787263997,False,True,-0.2924516982894456,0.0353896487160725,0.2924516982894456,0.0620581237353796,False,True,1
load_count,0.1486934865892998,0.2927807524401698,0.1486934865892998,0.3538849572449293,False,False,0.2889170910311079,0.0377745100997963,0.2889170910311079,0.0620581237353796,False,True,1
compute_density,0.274035834323857,0.0493130241398515,0.274035834323857,0.0843515016187206,False,True,0.2169735097202608,0.1223331132437078,0.2169735097202608,0.1563145335891822,False,False,1
hostcall_count,-0.271718132975439,0.051344392289656,0.271718132975439,0.0843515016187206,False,True,-0.2614497151595068,0.0611761471866201,0.2614497151595068,0.0879407115807664,False,True,1
max_loop_depth,0.2259528792517173,0.1072521375400705,0.2259528792517173,0.1451058331424483,False,False,0.2701446642263025,0.0527617846698516,0.2701446642263025,0.0809014031604392,False,True,1
compute_to_memory_ratio,0.2539194996541725,0.0693049397741325,0.2539194996541725,0.0996258509253156,False,True,0.2219659690785801,0.1137616094233183,0.2219659690785801,0.1539127656903719,False,False,1
load_store_ratio,-0.2139103569025514,0.1278292353711516,0.2139103569025514,0.1633373563075826,False,False,-0.0847262844486125,0.5503783617113884,0.0847262844486125,0.575395559970997,False,False,1
avg_bb_out_degree,0.1442138368975776,0.3077260497781994,0.1442138368975776,0.3538849572449293,False,False,0.1661219197755589,0.239194909266935,0.1661219197755589,0.2895517322705003,False,False,1
branch_density,0.1325759397975767,0.3487979619919225,0.1325759397975767,0.3820168155149627,False,False,0.1484645511392966,0.2935328812570605,0.1484645511392966,0.3375628134456196,False,False,1
call_instr_count,-0.1032788613662198,0.4662451551527563,0.1032788613662198,0.4874381167506089,False,False,0.0265036813108676,0.8520468004938825,0.0265036813108676,0.8520468004938825,False,False,0
alloc_call_count,0.0794187850311371,0.5757110024737692,0.0794187850311371,0.5757110024737692,False,False,0.102197816396657,0.4709494552561463,0.102197816396657,0.5158017843281603,False,False,1
