column,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
function_count,52,0.5639081121496042,1.3408933314935925e-05,0.5639081121496042,0.0003084054662435263,True,True
ir_instruction_count,52,0.5226196431307447,7.055129604146913e-05,0.5226196431307447,0.000811339904476895,True,True
compute_instr_count,52,0.4598096722516117,0.0006049875142306589,0.4598096722516117,0.004638237609101719,True,True
loop_count,52,0.44462769613864933,0.0009586931523501084,0.44462769613864933,0.005512485626013123,True,True
basic_block_count,52,0.40262571210400266,0.0030848570475685336,0.40262571210400266,0.014190342418815255,True,True
memory_instr_count,52,0.3853953259628843,0.004780625005737384,0.3853953259628843,0.018325729188659972,True,True
store_count,52,0.3721144987606116,0.006598975134248323,0.3721144987606116,0.01998208573373584,True,True
cfg_edge_count,52,0.3649265558348395,0.007814699157455548,0.3649265558348395,0.01998208573373584,True,True
memory_access_density,52,-0.36490248419346266,0.007819077026244459,0.36490248419346266,0.01998208573373584,True,True
branch_instr_count,52,0.35792573466535943,0.009181223567096674,0.35792573466535943,0.020218684841358223,True,True
hostcall_density,52,-0.3531121440345542,0.010236657702429456,0.3531121440345542,0.020218684841358223,True,True
avg_bb_size,52,-0.35177043820001347,0.01054887904766516,0.35177043820001347,0.020218684841358223,True,True
call_to_bb_ratio,52,-0.29245169828944567,0.035389648716072516,0.29245169828944567,0.06205812373537968,False,True
load_count,52,0.28891709103110796,0.03777451009979633,0.28891709103110796,0.06205812373537968,False,True
max_loop_depth,52,0.27014466422630257,0.052761784669851666,0.27014466422630257,0.08090140316043921,False,True
hostcall_count,52,-0.2614497151595068,0.0611761471866201,0.2614497151595068,0.0879407115807664,False,True
compute_to_memory_ratio,52,0.22196596907858016,0.11376160942331838,0.22196596907858016,0.15391276569037193,False,False
compute_density,52,0.21697350972026086,0.12233311324370787,0.21697350972026086,0.15631453358918226,False,False
avg_bb_out_degree,52,0.16612191977555893,0.239194909266935,0.16612191977555893,0.2895517322705003,False,False
branch_density,52,0.1484645511392966,0.29353288125706056,0.1484645511392966,0.33756281344561967,False,False
alloc_call_count,52,0.10219781639665708,0.4709494552561463,0.10219781639665708,0.5158017843281603,False,False
load_store_ratio,52,-0.0847262844486125,0.5503783617113884,0.0847262844486125,0.575395559970997,False,False
call_instr_count,52,0.026503681310867683,0.8520468004938825,0.026503681310867683,0.8520468004938825,False,False
