feature,coef_per_1sd_X_on_std_y,coef_per_1sd_X_on_time_ratio_y,abs_coef_ratio_y,nonzero
compute_instr_count,0.9587228769488799,1.5335597561474394,1.5335597561474394,True
function_count,0.4889510179735315,0.7821192358295141,0.7821192358295141,True
branch_instr_count,-0.45815858088098105,-0.7328640824851812,0.7328640824851812,True
hostcall_density,0.4561305525040836,0.7296200765498762,0.7296200765498762,True
load_count,-0.4299998765502224,-0.687821811370993,0.687821811370993,True
avg_bb_out_degree,-0.17791749402825205,-0.284594344535369,0.284594344535369,True
memory_access_density,-0.1309941045054341,-0.20953634443503244,0.20953634443503244,True
compute_density,-0.11026333933248675,-0.17637570130471297,0.17637570130471297,True
hostcall_count,-0.07282804194754065,-0.1164947211911802,0.1164947211911802,True
compute_to_memory_ratio,-0.0677169307975915,-0.10831905900848211,0.10831905900848211,True
max_loop_depth,0.0,0.0,0.0,False
loop_count,0.0,0.0,0.0,False
basic_block_count,-0.0,-0.0,0.0,False
ir_instruction_count,0.0,0.0,0.0,False
avg_bb_size,-0.0,-0.0,0.0,False
cfg_edge_count,-0.0,-0.0,0.0,False
store_count,-0.0,-0.0,0.0,False
memory_instr_count,-0.0,-0.0,0.0,False
branch_density,-0.0,-0.0,0.0,False
load_store_ratio,0.0,0.0,0.0,False
call_to_bb_ratio,0.0,0.0,0.0,False
call_instr_count,-0.0,-0.0,0.0,False
alloc_call_count,0.0,0.0,0.0,False
opt_loop_ok,0.0,0.0,0.0,False
