feature,coef,p_value
const,2.04891433075397,0.0
ir_instruction_count,-38.87711518053325,0.0
basic_block_count,-71.18921644854174,4.826069376361264e-91
avg_bb_size,2.5598256001793005,1.9903087944059396e-65
cfg_edge_count,38.13259045574572,7.450690394249338e-206
avg_bb_out_degree,3.805886568290995,5.274991364590093e-157
loop_count,-0.849044137749682,1.1962405756699142e-14
max_loop_depth,-0.6792582497024744,1.2939743136145933e-48
branch_instr_count,37.713551678304356,1.1217466769700746e-37
branch_density,-2.517543104021553,2.3737013296165083e-89
compute_instr_count,23.456909136441936,0.0
compute_density,-1.6674205760864438,2.2012921131998477e-43
load_count,1.2010033985631976,2.874868039393485e-07
store_count,2.6308876381571373,1.2440351911500187e-16
memory_instr_count,2.1410566213217552,2.518460285556106e-75
memory_access_density,-2.2842738383000194,1.2692992820266442e-155
compute_to_memory_ratio,-3.145151374415663,8.913209649592558e-189
load_store_ratio,2.426058186191116,1.4783890125400025e-257
call_instr_count,1.4978487611430742,0.0
call_to_bb_ratio,-1.8283478372487103,3.2057801280433973e-215
hostcall_count,-0.8929987204368635,3.292604146073431e-23
hostcall_density,1.2134356811873528,3.0405440336620682e-15
alloc_call_count,-1.091532589958752,3.6340048060617745e-51
function_count,14.603043757918748,5.040911869577882e-149
opt_loop_ok,0.0,
