program,mode,event,event_alias,repeat_count,median_value
llvmss_benchmarkgame_puzzle,native,L1-icache-load-misses,L1_icache_load_misses,5,81148.0
llvmss_benchmarkgame_puzzle,native,branch-misses,branch_misses,5,8745.0
llvmss_benchmarkgame_puzzle,native,cpu-cycles,cpu_cycles,5,237875860.0
llvmss_benchmarkgame_puzzle,native,r00c4,branches_retired,5,35022248.0
llvmss_benchmarkgame_puzzle,native,r01c4,conditional_branches,5,34071454.0
llvmss_benchmarkgame_puzzle,native,r1c0,instructions_retired,5,926059242.0
llvmss_benchmarkgame_puzzle,native,r81d0,all_loads_retired,5,131553316.0
llvmss_benchmarkgame_puzzle,native,r82d0,all_stores_retired,5,6610827.0
llvmss_benchmarkgame_puzzle,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,993995.0
llvmss_benchmarkgame_puzzle,wasm-aot,branch-misses,branch_misses,5,133424.0
llvmss_benchmarkgame_puzzle,wasm-aot,cpu-cycles,cpu_cycles,5,1350791176.0
llvmss_benchmarkgame_puzzle,wasm-aot,r00c4,branches_retired,5,1023103602.0
llvmss_benchmarkgame_puzzle,wasm-aot,r01c4,conditional_branches,5,4368504.0
llvmss_benchmarkgame_puzzle,wasm-aot,r1c0,instructions_retired,5,6690685975.0
llvmss_benchmarkgame_puzzle,wasm-aot,r81d0,all_loads_retired,5,1025588797.0
llvmss_benchmarkgame_puzzle,wasm-aot,r82d0,all_stores_retired,5,14120544.0
llvmss_benchmarkgame_puzzle,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1046188.0
llvmss_benchmarkgame_puzzle,wasm-jit,branch-misses,branch_misses,5,153517.0
llvmss_benchmarkgame_puzzle,wasm-jit,cpu-cycles,cpu_cycles,5,1353512797.0
llvmss_benchmarkgame_puzzle,wasm-jit,r00c4,branches_retired,5,1024075689.0
llvmss_benchmarkgame_puzzle,wasm-jit,r01c4,conditional_branches,5,4552690.0
llvmss_benchmarkgame_puzzle,wasm-jit,r1c0,instructions_retired,5,6696038729.0
llvmss_benchmarkgame_puzzle,wasm-jit,r81d0,all_loads_retired,5,1027152525.0
llvmss_benchmarkgame_puzzle,wasm-jit,r82d0,all_stores_retired,5,15168928.0
llvmss_misc_evalloop,native,L1-icache-load-misses,L1_icache_load_misses,5,111848.0
llvmss_misc_evalloop,native,branch-misses,branch_misses,5,111698.0
llvmss_misc_evalloop,native,cpu-cycles,cpu_cycles,5,1516574677.0
llvmss_misc_evalloop,native,r00c4,branches_retired,5,813401031.0
llvmss_misc_evalloop,native,r01c4,conditional_branches,5,233158.0
llvmss_misc_evalloop,native,r1c0,instructions_retired,5,1841325998.0
llvmss_misc_evalloop,native,r81d0,all_loads_retired,5,820194662.0
llvmss_misc_evalloop,native,r82d0,all_stores_retired,5,410224045.0
llvmss_misc_evalloop,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,978168.0
llvmss_misc_evalloop,wasm-aot,branch-misses,branch_misses,5,232870.0
llvmss_misc_evalloop,wasm-aot,cpu-cycles,cpu_cycles,5,1978357421.0
llvmss_misc_evalloop,wasm-aot,r00c4,branches_retired,5,1018363612.0
llvmss_misc_evalloop,wasm-aot,r01c4,conditional_branches,5,8491121.0
