column,n,spearman_rho,p_value,abs_rho,mode
ir_instruction_count,26,0.5040177881835884,0.008656323315059548,0.5040177881835884,wasm-aot
basic_block_count,26,0.3869700942602854,0.050822100274023924,0.3869700942602854,wasm-aot
avg_bb_size,26,-0.35931623931623924,0.07141863181595454,0.35931623931623924,wasm-aot
cfg_edge_count,26,0.3484693474066964,0.08105039135969669,0.3484693474066964,wasm-aot
avg_bb_out_degree,26,0.14187752786884683,0.4893350650973055,0.14187752786884683,wasm-aot
loop_count,26,0.42731608924049724,0.029452588199142846,0.42731608924049724,wasm-aot
max_loop_depth,26,0.2488936225091739,0.2201591676930205,0.2488936225091739,wasm-aot
branch_instr_count,26,0.3425086320143014,0.08674700945824017,0.3425086320143014,wasm-aot
branch_density,26,0.13777777777777778,0.5020979158921548,0.13777777777777778,wasm-aot
compute_instr_count,26,0.43646320094291247,0.02579900783873659,0.43646320094291247,wasm-aot
compute_density,26,0.18837606837606835,0.3567470170788154,0.18837606837606835,wasm-aot
load_count,26,0.2917312143110464,0.14816068357534767,0.2917312143110464,wasm-aot
store_count,26,0.3688673574362995,0.06368681336759423,0.3688673574362995,wasm-aot
memory_instr_count,26,0.3836415437453417,0.05302018022540988,0.3836415437453417,wasm-aot
memory_access_density,26,-0.35082920670038104,0.07887534860541341,0.35082920670038104,wasm-aot
compute_to_memory_ratio,26,0.19011797166219482,0.35223559267557336,0.19011797166219482,wasm-aot
load_store_ratio,26,-0.09101799737370452,0.6583464477836789,0.09101799737370452,wasm-aot
call_instr_count,26,0.031137735943635753,0.8799760465282812,0.031137735943635753,wasm-aot
call_to_bb_ratio,26,-0.28073175311989557,0.1647786325872685,0.28073175311989557,wasm-aot
hostcall_count,26,-0.26203398967258357,0.19596281791820463,0.26203398967258357,wasm-aot
hostcall_density,26,-0.33304838920679447,0.09640198258111156,0.33304838920679447,wasm-aot
alloc_call_count,26,0.09547867148081625,0.6426718630466839,0.09547867148081625,wasm-aot
function_count,26,0.5524776517901894,0.0034257455458035703,0.5524776517901894,wasm-aot
ir_instruction_count,26,0.5505214647052763,0.0035659010859408215,0.5505214647052763,wasm-jit
basic_block_count,26,0.42425178041560274,0.030765667297744843,0.42425178041560274,wasm-jit
avg_bb_size,26,-0.3517948717948718,0.0779982332539812,0.3517948717948718,wasm-jit
cfg_edge_count,26,0.3859540979245482,0.05148532366630109,0.3859540979245482,wasm-jit
avg_bb_out_degree,26,0.19296724593354103,0.34492941235104113,0.19296724593354103,wasm-jit
loop_count,26,0.46973477344500547,0.01546799196989421,0.46973477344500547,wasm-jit
max_loop_depth,26,0.3039519087005972,0.13114280181145016,0.3039519087005972,wasm-jit
branch_instr_count,26,0.379292740417053,0.05600316295988843,0.379292740417053,wasm-jit
branch_density,26,0.16649572649572647,0.4162701260688132,0.16649572649572647,wasm-jit
compute_instr_count,26,0.48845568255993654,0.011346579272955723,0.48845568255993654,wasm-jit
compute_density,26,0.24376068376068374,0.2301328748593554,0.24376068376068374,wasm-jit
load_count,26,0.29823695735319417,0.13891511583080296,0.29823695735319417,wasm-jit
store_count,26,0.3778472743776326,0.05702307953873068,0.3778472743776326,wasm-jit
memory_instr_count,26,0.39733080489593364,0.044434310181783204,0.39733080489593364,wasm-jit
memory_access_density,26,-0.3843392088998327,0.05255341669194097,0.3843392088998327,wasm-jit
compute_to_memory_ratio,26,0.2567960372631444,0.2053789228960866,0.2567960372631444,wasm-jit
load_store_ratio,26,-0.06843458449150715,0.7397553876353958,0.06843458449150715,wasm-jit
call_instr_count,26,0.026005142106772718,0.8996525659611556,0.026005142106772718,wasm-jit
call_to_bb_ratio,26,-0.3084287957541362,0.12527840287197778,0.3084287957541362,wasm-jit
hostcall_count,26,-0.27467906156026856,0.17446315701325169,0.27467906156026856,wasm-jit
hostcall_density,26,-0.38775859687936853,0.05031200918203921,0.38775859687936853,wasm-jit
alloc_call_count,26,0.12504626006842387,0.5427554767108002,0.12504626006842387,wasm-jit
function_count,26,0.5854299990416346,0.001678584537467815,0.5854299990416346,wasm-jit
