column,n,spearman_rho,p_value,abs_rho
function_count,52,0.5639081121496042,1.3408933314935925e-05,0.5639081121496042
ir_instruction_count,52,0.5226196431307447,7.055129604146913e-05,0.5226196431307447
compute_instr_count,52,0.4598096722516117,0.0006049875142306589,0.4598096722516117
loop_count,52,0.44462769613864933,0.0009586931523501084,0.44462769613864933
basic_block_count,52,0.40262571210400266,0.0030848570475685336,0.40262571210400266
memory_instr_count,52,0.3853953259628843,0.004780625005737384,0.3853953259628843
store_count,52,0.3721144987606116,0.006598975134248323,0.3721144987606116
cfg_edge_count,52,0.3649265558348395,0.007814699157455548,0.3649265558348395
memory_access_density,52,-0.36490248419346266,0.007819077026244459,0.36490248419346266
branch_instr_count,52,0.35792573466535943,0.009181223567096674,0.35792573466535943
hostcall_density,52,-0.3531121440345542,0.010236657702429456,0.3531121440345542
avg_bb_size,52,-0.35177043820001347,0.01054887904766516,0.35177043820001347
call_to_bb_ratio,52,-0.29245169828944567,0.035389648716072516,0.29245169828944567
load_count,52,0.28891709103110796,0.03777451009979633,0.28891709103110796
max_loop_depth,52,0.27014466422630257,0.052761784669851666,0.27014466422630257
hostcall_count,52,-0.2614497151595068,0.0611761471866201,0.2614497151595068
compute_to_memory_ratio,52,0.22196596907858016,0.11376160942331838,0.22196596907858016
compute_density,52,0.21697350972026086,0.12233311324370787,0.21697350972026086
avg_bb_out_degree,52,0.16612191977555893,0.239194909266935,0.16612191977555893
branch_density,52,0.1484645511392966,0.29353288125706056,0.1484645511392966
alloc_call_count,52,0.10219781639665708,0.4709494552561463,0.10219781639665708
load_store_ratio,52,-0.0847262844486125,0.5503783617113884,0.0847262844486125
call_instr_count,52,0.026503681310867683,0.8520468004938825,0.026503681310867683
