program,source_path,ir_path,ir_instruction_count,basic_block_count,avg_bb_size,cfg_edge_count,avg_bb_out_degree,loop_count,max_loop_depth,branch_instr_count,branch_density,compute_instr_count,compute_density,load_count,store_count,memory_instr_count,memory_access_density,compute_to_memory_ratio,load_store_ratio,call_instr_count,call_to_bb_ratio,hostcall_count,hostcall_density,alloc_call_count,function_count,opt_loop_ok,opt_loop_note
llvmss_benchmarkgame_puzzle,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/BenchmarkGame/puzzle.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_benchmarkgame_puzzle.ll,335,39,8.58974358974359,51,1.3076923076923077,11,3,32,0.0955223880597015,216,0.6447761194029851,19,28,47,0.14029850746268657,4.595744680851063,0.6785714285714286,6,0.15384615384615385,1,0.0029850746268656717,3,7,1,
llvmss_linpack_linpack-pc,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Linpack/linpack-pc.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_linpack_linpack-pc.ll,3365,363,9.269972451790634,586,1.6143250688705235,107,4,374,0.11114413075780089,1803,0.5358098068350668,421,160,581,0.1726597325408618,3.1032702237521512,2.63125,203,0.559228650137741,47,0.013967310549777118,0,13,1,
llvmss_misc_aarch64-init-cpu-features,,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.ll,16,4,4.0,5,1.25,1,1,3,0.1875,3,0.1875,2,2,4,0.25,0.75,1.0,4,1.0,1,0.0625,0,1,1,
llvmss_misc_evalloop,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/evalloop.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_evalloop.ll,189,41,4.609756097560975,71,1.7317073170731707,4,1,38,0.20105820105820105,27,0.14285714285714285,5,11,16,0.08465608465608465,1.6875,0.45454545454545453,3,0.07317073170731707,1,0.005291005291005291,0,3,1,
llvmss_misc_flops-1,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-1.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-1.ll,63,3,21.0,3,1.0,1,1,2,0.031746031746031744,19,0.30158730158730157,7,12,19,0.30158730158730157,1.0,0.5833333333333334,9,3.0,5,0.07936507936507936,0,1,1,
llvmss_misc_flops-2,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-2.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-2.ll,71,5,14.2,6,1.2,2,1,4,0.056338028169014086,27,0.38028169014084506,5,13,18,0.2535211267605634,1.5,0.38461538461538464,7,1.4,5,0.07042253521126761,0,1,1,
llvmss_misc_flops-3,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-3.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-3.ll,62,3,20.666666666666668,3,1.0,1,1,2,0.03225806451612903,14,0.22580645161290322,10,11,21,0.3387096774193548,0.6666666666666667,0.9090909090909091,19,6.333333333333333,5,0.08064516129032258,0,1,1,
llvmss_misc_flops-4,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-4.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-4.ll,77,3,25.666666666666668,3,1.0,1,1,2,0.025974025974025976,16,0.2077922077922078,17,13,30,0.38961038961038963,0.5333333333333333,1.3076923076923077,24,8.0,5,0.06493506493506493,0,1,1,
llvmss_misc_flops-5,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-5.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-5.ll,80,3,26.666666666666668,3,1.0,1,1,2,0.025,18,0.225,16,11,27,0.3375,0.6666666666666666,1.4545454545454546,30,10.0,5,0.0625,0,1,1,
llvmss_misc_flops-6,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-6.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-6.ll,79,3,26.333333333333332,3,1.0,1,1,2,0.02531645569620253,16,0.20253164556962025,16,11,27,0.34177215189873417,0.5925925925925926,1.4545454545454546,31,10.333333333333334,5,0.06329113924050633,0,1,1,
llvmss_misc_flops-7,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-7.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-7.ll,55,3,18.333333333333332,3,1.0,1,1,2,0.03636363636363636,21,0.38181818181818183,2,10,12,0.21818181818181817,1.7500000000000002,0.2,7,2.3333333333333335,5,0.09090909090909091,0,1,1,
llvmss_misc_flops-8,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/flops-8.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_flops-8.ll,81,3,27.0,3,1.0,1,1,2,0.024691358024691357,18,0.2222222222222222,16,11,27,0.3333333333333333,0.6666666666666666,1.4545454545454546,31,10.333333333333334,5,0.06172839506172839,0,1,1,
llvmss_misc_mandel-2,/home/luomz/wasm/data/llvm-test-suite/SingleSource/Benchmarks/Misc/mandel-2.c,/home/luomz/wasm/data/build/llvm_direct/llvmss_misc_mandel-2.ll,107,21,5.095238095238095,29,1.380952380952381,4,3,18,0.16822429906542055,51,0.4766355140186916,4,0,4,0.037383177570093455,12.75,4.0,4,0.19047619047619047,2,0.018691588785046728,0,4,1,
