program,category,native_median_ms,raw_ms,raw_ratio,raw_correct,O3_ms,O3_ratio,O3_correct,random_ms,random_ratio,random_correct,llm_static_ms,llm_static_ratio,llm_static_correct,llm_static_perf_ms,llm_static_perf_ratio,llm_static_perf_correct,llm_static_vs_O3,llm_static_perf_vs_O3,llm_static_vs_raw,llm_static_perf_vs_raw
llvmss_benchmarkgame_puzzle,control_flow,685.5181,1105.9076,1.6132,1,1060.8131,1.5475,1,1105.5193,1.6127,1,1106.3729,1.6139,1,1107.363,1.6154,1,-0.0429,-0.0439,-0.0004,-0.0013
llvmss_misc_matmul_f64_4x4,loop_compute,3323.0203,2827.744,0.851,1,2637.7833,0.7938,1,2827.2645,0.8508,1,2818.2934,0.8481,1,2851.5499,0.8581,1,-0.0684,-0.081,0.0033,-0.0084
llvmss_misc_richards_benchmark,call_dense,949.1912,1671.3075,1.7608,1,1928.7636,2.032,1,1617.5123,1.7041,1,1809.2242,1.9061,1,1715.9563,1.8078,1,0.062,0.1103,-0.0825,-0.0267
llvmss_misc_salsa20,loop_compute,12028.383,8439.8227,0.7017,1,8568.9876,0.7124,1,8586.281,0.7138,1,8516.8185,0.7081,1,8578.9114,0.7132,1,0.0061,-0.0012,-0.0091,-0.0165
llvmss_misc_evalloop,control_flow,456.1954,983.8678,2.1567,1,572.2378,1.2544,1,795.9209,1.7447,1,925.0899,2.0278,1,803.9306,1.7623,1,-0.6166,-0.4049,0.0597,0.1829
llvmss_misc_flops,loop_compute,10254.0508,6406.6056,0.6248,0,6396.1517,0.6238,0,6411.1754,0.6252,0,6405.8139,0.6247,0,6403.0614,0.6244,0,,,0.0001,0.0006
llvmss_misc_flops-1,loop_compute,1320.8742,923.7898,0.6994,1,923.3573,0.6991,1,924.1127,0.6996,1,923.7011,0.6993,1,923.7338,0.6993,1,-0.0004,-0.0004,0.0001,0.0001
llvmss_stanford_floatmm,loop_compute,861.1343,930.0128,1.08,1,847.3996,0.9841,1,,,0,864.1525,1.0035,1,865.2261,1.0048,1,-0.0198,-0.021,0.0708,0.0697
llvmss_stanford_puzzle,control_flow,177.5442,211.1993,1.1896,1,208.7969,1.176,1,210.8485,1.1876,1,211.5668,1.1916,1,210.0507,1.1831,1,-0.0133,-0.006,-0.0017,0.0054
llvmss_stanford_perm,call_dense,16.7711,38.442,2.2922,1,40.7591,2.4303,1,38.0054,2.2661,1,40.1465,2.3938,1,39.3124,2.3441,1,0.015,0.0355,-0.0443,-0.0226
llvmss_stanford_towers,call_dense,19.232,39.5337,2.0556,1,36.4422,1.8949,1,34.9628,1.8179,1,35.9013,1.8667,1,35.8344,1.8633,1,0.0148,0.0167,0.0919,0.0936
llvmss_stanford_queens,control_flow,14.9462,22.7281,1.5207,1,23.0041,1.5391,1,22.555,1.5091,1,22.8946,1.5318,1,22.5181,1.5066,1,0.0048,0.0211,-0.0073,0.0092
