program,category,strategy,passes,build_ok,validate_ok,correct,native_median_ms,wasm_median_ms,wasm_native_ratio,speedup_vs_raw,speedup_vs_O3,accepted,diagnosis,error
llvmss_benchmarkgame_puzzle,control_flow,raw,,1,1,1,685.5181,1105.9076,1.6132,0.0,-0.0425,0,,
llvmss_benchmarkgame_puzzle,control_flow,O3,-O3,1,1,1,685.5181,1060.8131,1.5475,0.0408,0.0,1,,
llvmss_benchmarkgame_puzzle,control_flow,random,--local-cse --merge-blocks --dce --merge-locals --ssa,1,1,1,685.5181,1105.5193,1.6127,0.0004,-0.0421,0,,
llvmss_benchmarkgame_puzzle,control_flow,llm_static,--remove-unused-brs --merge-blocks --optimize-instructions --simplify-locals --vacuum,1,1,1,685.5181,1106.3729,1.6139,-0.0004,-0.0429,0,Control-flow heavy with many loops/blocks and high compute density; O0 leaves unmerged blocks and redundant branches.,
llvmss_benchmarkgame_puzzle,control_flow,llm_static_perf,--remove-unused-brs --merge-blocks --optimize-instructions --simplify-locals --coalesce-locals,1,1,1,685.5181,1107.363,1.6154,-0.0013,-0.0439,0,Perf shows extreme branch_misses (10.8x) and conditional_branches (2.4x) plus icache pressure (7.1x); branch structure dominates the slowdown.,
llvmss_misc_matmul_f64_4x4,loop_compute,raw,,1,1,1,3323.0203,2827.744,0.851,0.0,-0.072,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,O3,-O3,1,1,1,3323.0203,2637.7833,0.7938,0.0672,0.0,1,,
llvmss_misc_matmul_f64_4x4,loop_compute,random,--vacuum --local-cse --ssa --reorder-locals,1,1,1,3323.0203,2827.2645,0.8508,0.0002,-0.0718,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,llm_static,--simplify-locals --coalesce-locals --local-cse --optimize-instructions --vacuum,1,1,1,3323.0203,2818.2934,0.8481,0.0033,-0.0684,0,Dense f64 kernel with very high local_bloat (0.44); O0 emits redundant local.get/set around the inner product.,
llvmss_misc_matmul_f64_4x4,loop_compute,llm_static_perf,--simplify-locals --coalesce-locals --precompute --optimize-instructions --vacuum,1,1,1,3323.0203,2851.5499,0.8581,-0.0084,-0.081,0,Loads ratio is already <1 and cpu_cycles 0.85; the win is purely instruction-count via local cleanup and constant folding of the 4x4 indices.,
llvmss_misc_richards_benchmark,call_dense,raw,,1,1,1,949.1912,1671.3075,1.7608,0.0,0.1335,0,,
llvmss_misc_richards_benchmark,call_dense,O3,-O3,1,1,1,949.1912,1928.7636,2.032,-0.154,0.0,0,,
llvmss_misc_richards_benchmark,call_dense,random,--reorder-locals --remove-unused-module-elements --remove-unused-names --code-folding --local-cse,1,1,1,949.1912,1617.5123,1.7041,0.0322,0.1614,1,,
llvmss_misc_richards_benchmark,call_dense,llm_static,--inlining-optimizing --simplify-locals --dce --optimize-instructions --vacuum,1,1,1,949.1912,1809.2242,1.9061,-0.0825,0.062,0,Call-dense scheduler with many small functions; O0 never inlines them so every dispatch is a real call.,
llvmss_misc_richards_benchmark,call_dense,llm_static_perf,--inlining-optimizing --simplify-locals --coalesce-locals --dce --vacuum,1,1,1,949.1912,1715.9563,1.8078,-0.0267,0.1103,0,"instructions_retired 1.52x, cpu_cycles 1.85x and loads 1.47x — call overhead and spill traffic dominate.",
llvmss_misc_salsa20,loop_compute,raw,,1,1,1,12028.383,8439.8227,0.7017,0.0,0.0151,0,,
