program,category,native_median_ms,raw_ms,raw_ratio,raw_correct,O2_ms,O2_ratio,O2_correct,O3_ms,O3_ratio,O3_correct,random_ms,random_ratio,random_correct,llm_static_ms,llm_static_ratio,llm_static_correct,llm_static_perf_ms,llm_static_perf_ratio,llm_static_perf_correct,llm_static_vs_O3,llm_static_perf_vs_O3
llvmss_benchmarkgame_puzzle,control_flow,65.799,365.9931,5.5623,1,368.4569,5.5997,1,363.313,5.5216,1,370.7191,5.6341,1,363.6158,5.5262,1,365.1765,5.5499,1,-0.0008,-0.0051
llvmss_misc_matmul_f64_4x4,loop_compute,405.0903,879.3517,2.1708,1,857.0604,2.1157,1,858.7565,2.1199,1,879.0374,2.17,1,880.6466,2.174,1,908.9088,2.2437,1,-0.0255,-0.0584
llvmss_misc_richards_benchmark,call_dense,452.0864,826.6175,1.8285,1,797.2509,1.7635,1,834.47,1.8458,1,,,0,782.7483,1.7314,1,786.257,1.7392,1,0.062,0.0578
llvmss_misc_salsa20,loop_compute,3714.534,4764.2718,1.2826,1,4449.3646,1.1978,1,4217.1377,1.1353,1,4302.6909,1.1583,1,4557.478,1.2269,1,4529.8156,1.2195,1,-0.0807,-0.0741
llvmss_misc_evalloop,control_flow,421.7608,540.1869,1.2808,1,448.3685,1.0631,1,448.4567,1.0633,1,597.8093,1.4174,1,543.5208,1.2887,1,542.8201,1.287,1,-0.212,-0.2104
llvmss_misc_flops,loop_compute,3638.0119,4596.6605,1.2635,1,4453.6272,1.2242,1,4444.1204,1.2216,1,4450.0558,1.2232,1,4590.5706,1.2618,1,4588.481,1.2613,1,-0.033,-0.0325
llvmss_misc_flops-1,loop_compute,632.2426,744.236,1.1771,1,740.179,1.1707,1,753.0711,1.1911,1,761.8685,1.205,1,762.8429,1.2066,1,737.5113,1.1665,1,-0.013,0.0207
llvmss_stanford_floatmm,loop_compute,187.8645,271.2976,1.4441,1,310.0045,1.6501,1,318.8508,1.6972,1,,,0,296.4415,1.578,1,291.9483,1.554,1,0.0703,0.0844
llvmss_stanford_puzzle,control_flow,51.6837,76.7066,1.4842,1,86.2558,1.6689,1,76.6512,1.4831,1,78.2557,1.5141,1,76.253,1.4754,1,80.7769,1.5629,1,0.0052,-0.0538
llvmss_stanford_perm,call_dense,8.2221,23.9326,2.9108,1,30.3683,3.6935,1,30.7975,3.7457,1,30.3125,3.6867,1,30.4734,3.7063,1,30.1574,3.6678,1,0.0105,0.0208
llvmss_stanford_towers,call_dense,6.4468,13.3584,2.0721,1,12.1349,1.8823,1,12.1069,1.878,1,12.414,1.9256,1,12.4619,1.933,1,12.5153,1.9413,1,-0.0293,-0.0337
llvmss_stanford_queens,control_flow,5.3402,17.0823,3.1988,1,16.9124,3.167,1,16.8058,3.147,1,17.2092,3.2226,1,16.7375,3.1342,1,16.8648,3.1581,1,0.0041,-0.0035
