program,category,strategy,passes,build_ok,validate_ok,correct,native_median_ms,wasm_median_ms,wasm_native_ratio,speedup_vs_raw,speedup_vs_O3,accepted,diagnosis,error
llvmss_benchmarkgame_puzzle,control_flow,raw,,1,1,1,65.799,365.9931,5.5623,0.0,-0.0074,0,,
llvmss_benchmarkgame_puzzle,control_flow,O2,-O2,1,1,1,65.799,368.4569,5.5997,-0.0067,-0.0142,0,,
llvmss_benchmarkgame_puzzle,control_flow,O3,-O3,1,1,1,65.799,363.313,5.5216,0.0073,0.0,0,,
llvmss_benchmarkgame_puzzle,control_flow,random,--local-cse --inlining-optimizing --code-folding --merge-blocks --dce,1,1,1,65.799,370.7191,5.6341,-0.0129,-0.0204,0,,
llvmss_benchmarkgame_puzzle,control_flow,llm_static,--optimize-instructions --simplify-locals --coalesce-locals --merge-blocks --vacuum,1,1,1,65.799,363.6158,5.5262,0.0065,-0.0008,0,"High loop_count, basic_block_count and compute_density with large average function size suggest a long, redundant hot path with many locals; the main waste is per-iteration instruction count rather than calls.",
llvmss_benchmarkgame_puzzle,control_flow,llm_static_perf,--remove-unused-brs --merge-blocks --optimize-instructions --simplify-locals --vacuum,1,1,1,65.799,365.1765,5.5499,0.0022,-0.0051,0,"branches_retired (29x) and instructions_retired (7.2x) are massively inflated and I-cache misses are 12x, so the dominant cost is an oversized branchy execution path.",
llvmss_misc_matmul_f64_4x4,loop_compute,raw,,1,1,1,405.0903,879.3517,2.1708,0.0,-0.024,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,O2,-O2,1,1,1,405.0903,857.0604,2.1157,0.0253,0.002,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,O3,-O3,1,1,1,405.0903,858.7565,2.1199,0.0234,0.0,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,random,--vacuum --flatten --local-cse --remove-unused-names,1,1,1,405.0903,879.0374,2.17,0.0004,-0.0236,0,,
llvmss_misc_matmul_f64_4x4,loop_compute,llm_static,--inlining-optimizing --optimize-instructions --simplify-locals --precompute --vacuum,1,1,1,405.0903,880.6466,2.174,-0.0015,-0.0255,0,"call_density is high for a small dense kernel, indicating the hot 4x4 multiply path is fragmented across small calls that should be inlined.",
llvmss_misc_matmul_f64_4x4,loop_compute,llm_static_perf,--inlining-optimizing --optimize-instructions --local-cse --simplify-locals --vacuum,1,1,1,405.0903,908.9088,2.2437,-0.0336,-0.0584,0,"instructions_retired (1.95x) and cpu_cycles (2.19x) are roughly doubled while I-cache misses are 9.3x, so the kernel pays for a longer code path and poor locality from un-inlined helpers.",
llvmss_misc_richards_benchmark,call_dense,raw,,1,1,1,452.0864,826.6175,1.8285,0.0,0.0094,0,,
llvmss_misc_richards_benchmark,call_dense,O2,-O2,1,1,1,452.0864,797.2509,1.7635,0.0355,0.0446,1,,
llvmss_misc_richards_benchmark,call_dense,O3,-O3,1,1,1,452.0864,834.47,1.8458,-0.0095,0.0,0,,
llvmss_misc_richards_benchmark,call_dense,random,--precompute --local-cse --rereloop --optimize-instructions --coalesce-locals,0,0,0,452.0864,,,,,0,,"build failed: Fatal: IR must be flat: run --flatten beforehand (tees are not allowed, only sets, in scheduleFatal: Fatal: IR must be flat: run --flatten beforehand (instructions must only have constant expressions, local.get, or unreachable as children, in _start)
Fatal:"
llvmss_misc_richards_benchmark,call_dense,llm_static,--inlining-optimizing --simplify-locals --coalesce-locals --optimize-instructions --vacuum,1,1,1,452.0864,782.7483,1.7314,0.0531,0.062,1,Highest function_count in the set with a scheduler structure means many small dispatch functions; inlining and local cleanup should compress the hot path.,
llvmss_misc_richards_benchmark,call_dense,llm_static_perf,--inlining-optimizing --optimize-instructions --simplify-locals --dce --vacuum,1,1,1,452.0864,786.257,1.7392,0.0488,0.0578,1,"instructions_retired (1.93x) and cpu_cycles (1.86x) are doubled and I-cache misses are 7.7x, the classic signature of call-heavy code with a bloated instruction footprint.",
llvmss_misc_salsa20,loop_compute,raw,,1,1,1,3714.534,4764.2718,1.2826,0.0,-0.1297,0,,
