program,native_ok,ir_ok,wasm_ok,native_bin,ir_file,wasm_file,native_error,ir_error,wasm_error
poly_correlation,1,1,1,data/build/poly_correlation.native,data/build/poly_correlation.ll,data/build/poly_correlation.wasm,,,
poly_covariance,1,1,1,data/build/poly_covariance.native,data/build/poly_covariance.ll,data/build/poly_covariance.wasm,,,
poly_gemm,1,1,1,data/build/poly_gemm.native,data/build/poly_gemm.ll,data/build/poly_gemm.wasm,,,
poly_gemver,1,1,1,data/build/poly_gemver.native,data/build/poly_gemver.ll,data/build/poly_gemver.wasm,,,
poly_gesummv,1,1,1,data/build/poly_gesummv.native,data/build/poly_gesummv.ll,data/build/poly_gesummv.wasm,,,
poly_symm,1,1,1,data/build/poly_symm.native,data/build/poly_symm.ll,data/build/poly_symm.wasm,,,
poly_syr2k,1,1,1,data/build/poly_syr2k.native,data/build/poly_syr2k.ll,data/build/poly_syr2k.wasm,,,
poly_syrk,1,1,1,data/build/poly_syrk.native,data/build/poly_syrk.ll,data/build/poly_syrk.wasm,,,
poly_trmm,1,1,1,data/build/poly_trmm.native,data/build/poly_trmm.ll,data/build/poly_trmm.wasm,,,
poly_2mm,1,1,1,data/build/poly_2mm.native,data/build/poly_2mm.ll,data/build/poly_2mm.wasm,,,
poly_3mm,1,1,1,data/build/poly_3mm.native,data/build/poly_3mm.ll,data/build/poly_3mm.wasm,,,
poly_atax,1,1,1,data/build/poly_atax.native,data/build/poly_atax.ll,data/build/poly_atax.wasm,,,
poly_bicg,1,1,1,data/build/poly_bicg.native,data/build/poly_bicg.ll,data/build/poly_bicg.wasm,,,
poly_doitgen,1,1,1,data/build/poly_doitgen.native,data/build/poly_doitgen.ll,data/build/poly_doitgen.wasm,,,
poly_mvt,1,1,1,data/build/poly_mvt.native,data/build/poly_mvt.ll,data/build/poly_mvt.wasm,,,
poly_cholesky,1,1,1,data/build/poly_cholesky.native,data/build/poly_cholesky.ll,data/build/poly_cholesky.wasm,,,
poly_durbin,1,1,1,data/build/poly_durbin.native,data/build/poly_durbin.ll,data/build/poly_durbin.wasm,,,
poly_gramschmidt,1,1,1,data/build/poly_gramschmidt.native,data/build/poly_gramschmidt.ll,data/build/poly_gramschmidt.wasm,,,
poly_lu,1,1,1,data/build/poly_lu.native,data/build/poly_lu.ll,data/build/poly_lu.wasm,,,
poly_ludcmp,1,1,1,data/build/poly_ludcmp.native,data/build/poly_ludcmp.ll,data/build/poly_ludcmp.wasm,,,
poly_trisolv,1,1,1,data/build/poly_trisolv.native,data/build/poly_trisolv.ll,data/build/poly_trisolv.wasm,,,
poly_deriche,1,1,1,data/build/poly_deriche.native,data/build/poly_deriche.ll,data/build/poly_deriche.wasm,,,
poly_floyd_warshall,1,1,1,data/build/poly_floyd_warshall.native,data/build/poly_floyd_warshall.ll,data/build/poly_floyd_warshall.wasm,,,
poly_nussinov,1,1,1,data/build/poly_nussinov.native,data/build/poly_nussinov.ll,data/build/poly_nussinov.wasm,,,
poly_adi,1,1,1,data/build/poly_adi.native,data/build/poly_adi.ll,data/build/poly_adi.wasm,,,
poly_fdtd_2d,1,1,1,data/build/poly_fdtd_2d.native,data/build/poly_fdtd_2d.ll,data/build/poly_fdtd_2d.wasm,,,
poly_heat_3d,1,1,1,data/build/poly_heat_3d.native,data/build/poly_heat_3d.ll,data/build/poly_heat_3d.wasm,,,
poly_jacobi_1d,1,1,1,data/build/poly_jacobi_1d.native,data/build/poly_jacobi_1d.ll,data/build/poly_jacobi_1d.wasm,,,
poly_jacobi_2d,1,1,1,data/build/poly_jacobi_2d.native,data/build/poly_jacobi_2d.ll,data/build/poly_jacobi_2d.wasm,,,
poly_seidel_2d,1,1,1,data/build/poly_seidel_2d.native,data/build/poly_seidel_2d.ll,data/build/poly_seidel_2d.wasm,,,
