program,native_ok,ir_ok,wasm_ok,native_bin,ir_file,wasm_file,native_error,ir_error,wasm_error
alloc_bulk_buffer,1,1,1,data/build/microbench_internal/alloc_bulk_buffer.native,data/build/microbench_internal/alloc_bulk_buffer.ll,data/build/microbench_internal/alloc_bulk_buffer.wasm,,,
alloc_fragmented_pattern,1,1,1,data/build/microbench_internal/alloc_fragmented_pattern.native,data/build/microbench_internal/alloc_fragmented_pattern.ll,data/build/microbench_internal/alloc_fragmented_pattern.wasm,,,
alloc_medium_objects,1,1,1,data/build/microbench_internal/alloc_medium_objects.native,data/build/microbench_internal/alloc_medium_objects.ll,data/build/microbench_internal/alloc_medium_objects.wasm,,,
alloc_pool_style,1,1,1,data/build/microbench_internal/alloc_pool_style.native,data/build/microbench_internal/alloc_pool_style.ll,data/build/microbench_internal/alloc_pool_style.wasm,,,
alloc_realloc_loop,1,1,1,data/build/microbench_internal/alloc_realloc_loop.native,data/build/microbench_internal/alloc_realloc_loop.ll,data/build/microbench_internal/alloc_realloc_loop.wasm,,,
alloc_small_objects,1,1,1,data/build/microbench_internal/alloc_small_objects.native,data/build/microbench_internal/alloc_small_objects.ll,data/build/microbench_internal/alloc_small_objects.wasm,,,
branch_nested,1,1,1,data/build/microbench_internal/branch_nested.native,data/build/microbench_internal/branch_nested.ll,data/build/microbench_internal/branch_nested.wasm,,,
branch_predictable,1,1,1,data/build/microbench_internal/branch_predictable.native,data/build/microbench_internal/branch_predictable.ll,data/build/microbench_internal/branch_predictable.wasm,,,
branch_switch_dense,1,1,1,data/build/microbench_internal/branch_switch_dense.native,data/build/microbench_internal/branch_switch_dense.ll,data/build/microbench_internal/branch_switch_dense.wasm,,,
branch_switch_sparse,1,1,1,data/build/microbench_internal/branch_switch_sparse.native,data/build/microbench_internal/branch_switch_sparse.ll,data/build/microbench_internal/branch_switch_sparse.wasm,,,
branch_unpredictable,1,1,1,data/build/microbench_internal/branch_unpredictable.native,data/build/microbench_internal/branch_unpredictable.ll,data/build/microbench_internal/branch_unpredictable.wasm,,,
call_chain,1,1,1,data/build/microbench_internal/call_chain.native,data/build/microbench_internal/call_chain.ll,data/build/microbench_internal/call_chain.wasm,,,
