program,c_path,native_ok,wasm_ok,native_bin,wasm_file,native_error,wasm_error
correlation,datamining/correlation/correlation.c,1,1,data/polybench_build/correlation.native,data/polybench_build/correlation.wasm,,
covariance,datamining/covariance/covariance.c,1,1,data/polybench_build/covariance.native,data/polybench_build/covariance.wasm,,
2mm,linear-algebra/kernels/2mm/2mm.c,1,1,data/polybench_build/2mm.native,data/polybench_build/2mm.wasm,,
3mm,linear-algebra/kernels/3mm/3mm.c,1,1,data/polybench_build/3mm.native,data/polybench_build/3mm.wasm,,
atax,linear-algebra/kernels/atax/atax.c,1,1,data/polybench_build/atax.native,data/polybench_build/atax.wasm,,
bicg,linear-algebra/kernels/bicg/bicg.c,1,1,data/polybench_build/bicg.native,data/polybench_build/bicg.wasm,,
doitgen,linear-algebra/kernels/doitgen/doitgen.c,1,1,data/polybench_build/doitgen.native,data/polybench_build/doitgen.wasm,,
mvt,linear-algebra/kernels/mvt/mvt.c,1,1,data/polybench_build/mvt.native,data/polybench_build/mvt.wasm,,
gemm,linear-algebra/blas/gemm/gemm.c,1,1,data/polybench_build/gemm.native,data/polybench_build/gemm.wasm,,
gemver,linear-algebra/blas/gemver/gemver.c,1,1,data/polybench_build/gemver.native,data/polybench_build/gemver.wasm,,
gesummv,linear-algebra/blas/gesummv/gesummv.c,1,1,data/polybench_build/gesummv.native,data/polybench_build/gesummv.wasm,,
symm,linear-algebra/blas/symm/symm.c,1,1,data/polybench_build/symm.native,data/polybench_build/symm.wasm,,
syr2k,linear-algebra/blas/syr2k/syr2k.c,1,1,data/polybench_build/syr2k.native,data/polybench_build/syr2k.wasm,,
syrk,linear-algebra/blas/syrk/syrk.c,1,1,data/polybench_build/syrk.native,data/polybench_build/syrk.wasm,,
trmm,linear-algebra/blas/trmm/trmm.c,1,1,data/polybench_build/trmm.native,data/polybench_build/trmm.wasm,,
cholesky,linear-algebra/solvers/cholesky/cholesky.c,1,1,data/polybench_build/cholesky.native,data/polybench_build/cholesky.wasm,,
durbin,linear-algebra/solvers/durbin/durbin.c,1,1,data/polybench_build/durbin.native,data/polybench_build/durbin.wasm,,
gramschmidt,linear-algebra/solvers/gramschmidt/gramschmidt.c,1,1,data/polybench_build/gramschmidt.native,data/polybench_build/gramschmidt.wasm,,
lu,linear-algebra/solvers/lu/lu.c,1,1,data/polybench_build/lu.native,data/polybench_build/lu.wasm,,
ludcmp,linear-algebra/solvers/ludcmp/ludcmp.c,1,1,data/polybench_build/ludcmp.native,data/polybench_build/ludcmp.wasm,,
trisolv,linear-algebra/solvers/trisolv/trisolv.c,1,1,data/polybench_build/trisolv.native,data/polybench_build/trisolv.wasm,,
deriche,medley/deriche/deriche.c,1,1,data/polybench_build/deriche.native,data/polybench_build/deriche.wasm,,
floyd-warshall,medley/floyd-warshall/floyd-warshall.c,1,1,data/polybench_build/floyd-warshall.native,data/polybench_build/floyd-warshall.wasm,,
nussinov,medley/nussinov/nussinov.c,1,1,data/polybench_build/nussinov.native,data/polybench_build/nussinov.wasm,,
adi,stencils/adi/adi.c,1,1,data/polybench_build/adi.native,data/polybench_build/adi.wasm,,
fdtd-2d,stencils/fdtd-2d/fdtd-2d.c,1,1,data/polybench_build/fdtd-2d.native,data/polybench_build/fdtd-2d.wasm,,
heat-3d,stencils/heat-3d/heat-3d.c,1,1,data/polybench_build/heat-3d.native,data/polybench_build/heat-3d.wasm,,
jacobi-1d,stencils/jacobi-1d/jacobi-1d.c,1,1,data/polybench_build/jacobi-1d.native,data/polybench_build/jacobi-1d.wasm,,
jacobi-2d,stencils/jacobi-2d/jacobi-2d.c,1,1,data/polybench_build/jacobi-2d.native,data/polybench_build/jacobi-2d.wasm,,
seidel-2d,stencils/seidel-2d/seidel-2d.c,1,1,data/polybench_build/seidel-2d.native,data/polybench_build/seidel-2d.wasm,,
