program,ir_instruction_count,basic_block_count,compute_density,memory_access_density,load_count,store_count,branch_instr_count,call_instr_count,max_loop_depth,hostcall_count,hostcall_density,time_call_count,alloc_call_count,avg_bb_size,compute_to_memory_ratio,load_store_ratio,call_to_bb_ratio,hostcall_per_bb,native_median_ms_jit,wasm_median_ms_jit,ratio_wasm_over_native_jit,label_jit,native_median_ms_aot,wasm_median_ms_aot,ratio_wasm_over_native_aot,label_aot,ratio_delta_aot_minus_jit
alloc_bulk_buffer,79,6,0.21519,0.113924,8,1,6,0,1,1,0.012658,0,2,13.166667,1.888891,8.0,0.0,0.166667,29.011882,38.23247,1.317821,native-better,20.099886,28.053011,1.39568,native-better,0.077859
alloc_fragmented_pattern,74,10,0.121622,0.108108,4,4,10,3,1,1,0.013514,0,3,7.4,1.125005,1.0,0.3,0.1,13.588422,28.61761,2.106029,native-better,9.864425,19.229419,1.94937,native-better,-0.156659
alloc_medium_objects,101,4,0.19802,0.178218,1,17,4,0,1,1,0.009901,0,2,25.25,1.111111,0.058824,0.0,0.25,37.35521,80.973274,2.167657,native-better,25.071435,50.047184,1.996183,native-better,-0.171474
alloc_pool_style,80,4,0.275,0.1625,2,11,4,0,1,1,0.0125,0,2,20.0,1.692308,0.181818,0.0,0.25,13.632425,25.277341,1.854207,native-better,10.544142,20.149119,1.91093,native-better,0.056723
alloc_realloc_loop,54,5,0.111111,0.037037,0,2,6,0,1,1,0.018519,0,3,10.8,3.0,0.0,0.0,0.2,9.647675,18.309365,1.897801,native-better,7.51816,14.172107,1.88505,native-better,-0.012751
alloc_small_objects,46,2,0.543478,0.021739,0,1,2,0,1,1,0.021739,0,2,23.0,25.000138,0.0,0.0,0.5,8.51412,20.199627,2.372486,native-better,6.91346,16.399649,2.372133,native-better,-0.000353
branch_nested,38,9,0.263158,0.026316,0,1,9,0,1,1,0.026316,0,0,4.222222,9.999924,0.0,0.0,0.111111,52.359078,111.22037,2.124185,native-better,35.89363,74.632015,2.079255,native-better,-0.044930
branch_predictable,34,2,0.235294,0.029412,0,1,4,0,1,1,0.029412,0,0,17.0,7.999932,0.0,0.0,0.5,40.220704,52.117365,1.295785,native-better,27.094022,36.280205,1.339048,native-better,0.043263
branch_switch_dense,35,4,0.257143,0.085714,2,1,4,0,1,1,0.028571,0,0,8.75,3.000012,2.0,0.0,0.25,54.475036,48.238579,0.885517,wasm-better,35.425886,33.294278,0.939829,similar,0.054312
branch_switch_sparse,47,8,0.361702,0.021277,0,1,8,0,1,1,0.021277,0,0,5.875,16.999671,0.0,0.0,0.125,524.34747,369.284498,0.704274,wasm-better,357.459087,262.460615,0.73424,wasm-better,0.029966
branch_unpredictable,34,2,0.352941,0.029412,0,1,3,0,1,1,0.029412,0,0,17.0,11.999898,0.0,0.0,0.5,177.837946,347.769468,1.955541,native-better,121.993253,231.844389,1.900469,native-better,-0.055072
call_chain,42,2,0.47619,0.02381,0,1,2,0,0,1,0.02381,0,0,21.0,19.99958,0.0,0.0,0.5,28.759067,44.004028,1.530092,native-better,20.977133,31.269393,1.490642,native-better,-0.039450
call_indirect,39,2,0.205128,0.051282,1,1,2,0,1,1,0.025641,0,0,19.5,4.0,1.0,0.0,0.5,76.89664,171.410394,2.229101,native-better,47.570766,86.539731,1.819179,native-better,-0.409922
call_many_small_funcs,41,2,0.585366,0.02439,0,1,2,0,1,1,0.02439,0,0,20.5,24.000246,0.0,0.0,0.5,100.969611,125.305847,1.241025,native-better,70.25131,89.392362,1.272465,native-better,0.031440
call_recursive,186,2,0.88172,0.005376,0,1,2,0,1,1,0.005376,0,0,93.0,164.010417,0.0,0.0,0.5,6.915199,17.863404,2.583209,native-better,5.684388,13.784014,2.42489,native-better,-0.158319
compute_fp_mix,38,2,0.236842,0.052632,1,1,2,0,2,1,0.026316,0,0,19.0,4.499962,1.0,0.0,0.5,87.742737,102.005641,1.162554,native-better,59.437827,67.020441,1.127572,native-better,-0.034982
compute_fp_muladd,38,2,0.236842,0.052632,1,1,2,0,2,1,0.026316,0,0,19.0,4.499962,1.0,0.0,0.5,96.137261,109.664288,1.140705,native-better,68.523441,76.511244,1.11657,native-better,-0.024135
compute_int_add,32,2,0.46875,0.03125,0,1,2,0,1,1,0.03125,0,0,16.0,15.0,0.0,0.0,0.5,126.064136,124.444793,0.987155,similar,92.295009,92.178308,0.998736,similar,0.011581
compute_int_divmod,30,2,0.433333,0.033333,0,1,2,0,1,1,0.033333,0,0,15.0,13.00012,0.0,0.0,0.5,553.127015,592.153183,1.070556,similar,300.080461,292.020161,0.97314,similar,-0.097416
compute_int_mul,41,2,0.585366,0.02439,0,1,2,0,1,1,0.02439,0,0,20.5,24.000246,0.0,0.0,0.5,207.006744,210.215022,1.015498,similar,96.269938,99.880437,1.037504,similar,0.022006
host_env_query,48,11,0.083333,0.083333,3,1,11,0,1,1,0.020833,0,0,4.363636,1.0,3.0,0.0,0.090909,9.223694,23.909213,2.592152,native-better,3.655096,9.606072,2.628131,native-better,0.035979
host_getcwd_loop,35,4,0.057143,0.057143,1,1,4,4,1,2,0.057143,0,0,8.75,1.0,1.0,1.0,0.5,12.350847,22.024165,1.783211,native-better,5.689062,11.501322,2.021655,native-better,0.238444
host_open_close_loop,40,5,0.075,0.025,0,1,5,0,1,6,0.15,0,0,8.0,3.0,0.0,0.0,1.2,1386.181306,1748.838228,1.261623,native-better,427.308651,558.316199,1.306588,native-better,0.044965
