program,ir_instruction_count,function_count,basic_block_count,compute_instr_count,compute_density,memory_instr_count,memory_access_density,load_count,store_count,branch_instr_count,branch_density,call_instr_count,call_density,indirect_call_count,loop_count,max_loop_depth,hostcall_count,hostcall_density,io_call_count,time_call_count,filesystem_call_count,alloc_call_count,native_median_ms,wasm_median_ms,ratio_wasm_over_native,label
alloc_bulk_buffer,78,1,6,17,0.217949,9,0.115385,8,1,6,0.076923,0,0.0,0,0,1,1,1.0,1,0,0,2,20.834983,27.053688,1.298474,native-better
alloc_fragmented_pattern,73,1,10,9,0.123288,8,0.109589,4,4,10,0.136986,3,0.041096,0,0,1,1,0.333333,1,0,0,3,9.556638,19.313963,2.021,native-better
alloc_medium_objects,100,1,4,20,0.2,18,0.18,1,17,4,0.04,0,0.0,0,0,1,1,1.0,1,0,0,2,23.262289,47.425279,2.038719,native-better
alloc_pool_style,79,1,4,22,0.278481,13,0.164557,2,11,4,0.050633,0,0.0,0,0,1,1,1.0,1,0,0,2,11.119677,18.850791,1.695264,native-better
alloc_realloc_loop,53,1,5,6,0.113208,2,0.037736,0,2,6,0.113208,0,0.0,0,0,1,1,1.0,1,0,0,3,7.102832,13.148924,1.851223,native-better
alloc_small_objects,45,1,2,25,0.555556,1,0.022222,0,1,2,0.044444,0,0.0,0,0,1,1,1.0,1,0,0,2,7.182189,14.768414,2.056255,native-better
branch_nested,37,1,9,10,0.27027,1,0.027027,0,1,9,0.243243,0,0.0,0,0,1,1,1.0,1,0,0,0,35.607278,70.315224,1.974743,native-better
branch_predictable,33,1,2,8,0.242424,1,0.030303,0,1,4,0.121212,0,0.0,0,0,1,1,1.0,1,0,0,0,34.619039,46.47839,1.342567,native-better
branch_switch_dense,34,1,4,9,0.264706,3,0.088235,2,1,4,0.117647,0,0.0,0,0,1,1,1.0,1,0,0,0,39.176044,34.42735,0.878786,wasm-better
branch_switch_sparse,46,1,8,17,0.369565,1,0.021739,0,1,8,0.173913,0,0.0,0,0,1,1,1.0,1,0,0,0,370.353359,275.128673,0.742882,wasm-better
branch_unpredictable,33,1,2,12,0.363636,1,0.030303,0,1,3,0.090909,0,0.0,0,0,1,1,1.0,1,0,0,0,125.951527,228.243674,1.812155,native-better
call_chain,41,1,2,20,0.487805,1,0.02439,0,1,2,0.04878,0,0.0,0,0,0,1,1.0,1,0,0,0,19.747688,28.077297,1.421802,native-better
call_indirect,35,4,2,8,0.228571,2,0.057143,1,1,2,0.057143,0,0.0,0,0,1,1,1.0,1,0,0,0,44.691692,81.250138,1.818014,native-better
call_many_small_funcs,40,1,2,24,0.6,1,0.025,0,1,2,0.05,0,0.0,0,0,1,1,1.0,1,0,0,0,65.696594,82.470629,1.255326,native-better
call_recursive,185,1,2,164,0.886486,1,0.005405,0,1,2,0.010811,0,0.0,0,0,1,1,1.0,1,0,0,0,5.148199,11.636011,2.26021,native-better
compute_fp_mix,37,1,2,9,0.243243,2,0.054054,1,1,2,0.054054,0,0.0,0,0,2,1,1.0,1,0,0,0,56.099529,61.784017,1.101329,native-better
compute_fp_muladd,37,1,2,9,0.243243,2,0.054054,1,1,2,0.054054,0,0.0,0,0,2,1,1.0,1,0,0,0,66.923518,74.035363,1.106268,native-better
compute_int_add,31,1,2,15,0.483871,1,0.032258,0,1,2,0.064516,0,0.0,0,0,1,1,1.0,1,0,0,0,91.007973,90.094503,0.989963,similar
compute_int_divmod,29,1,2,13,0.448276,1,0.034483,0,1,2,0.068966,0,0.0,0,0,1,1,1.0,1,0,0,0,312.889644,314.530607,1.005245,similar
compute_int_mul,40,1,2,24,0.6,1,0.025,0,1,2,0.05,0,0.0,0,0,1,1,1.0,1,0,0,0,102.581318,104.783907,1.021472,similar
host_env_query,47,1,11,4,0.085106,4,0.085106,3,1,11,0.234043,0,0.0,0,0,1,1,1.0,1,0,0,0,3.687536,8.364213,2.268239,native-better
host_getcwd_loop,34,1,4,2,0.058824,2,0.058824,1,1,4,0.117647,4,0.117647,0,0,1,2,0.5,1,0,1,0,86.428923,14.250544,0.164882,wasm-better
host_open_close_loop,39,1,5,3,0.076923,1,0.025641,0,1,5,0.128205,0,0.0,0,0,1,6,6.0,6,0,0,0,94732.94349,115638.018278,1.220674,native-better
host_read_small,131,1,15,23,0.175573,14,0.10687,9,5,15,0.114504,6,0.045802,0,0,1,7,1.166667,7,0,0,0,62584.426873,74845.37831,1.195911,native-better
host_stat_loop,38,1,4,3,0.078947,2,0.052632,1,1,4,0.105263,3,0.078947,0,0,1,2,0.666667,1,0,1,0,35091.813074,73832.882847,2.103992,native-better
host_time_loop,32,1,2,3,0.09375,2,0.0625,1,1,2,0.0625,4,0.125,0,0,1,2,0.5,1,1,0,0,14.227812,74.694904,5.249922,native-better
host_write_small,47,1,5,2,0.042553,5,0.106383,0,5,5,0.106383,3,0.06383,0,0,1,4,1.333333,4,0,0,0,11481.153725,12643.4005,1.101231,native-better
memory_copy_loop,87,1,4,24,0.275862,13,0.149425,8,5,4,0.045977,0,0.0,0,0,1,1,1.0,1,0,0,4,8.090979,16.231674,2.006145,native-better
memory_random_read,91,1,6,31,0.340659,9,0.098901,2,7,6,0.065934,0,0.0,0,0,2,1,1.0,1,0,0,2,674.428744,807.177743,1.196832,native-better
memory_random_write,103,1,7,31,0.300971,15,0.145631,5,10,7,0.067961,0,0.0,0,0,2,1,1.0,1,0,0,2,630.060171,765.682287,1.215253,native-better
memory_seq_read,64,1,4,13,0.203125,7,0.109375,4,3,4,0.0625,0,0.0,0,0,0,1,1.0,1,0,0,2,11.724476,18.188552,1.551332,native-better
memory_seq_write,111,1,8,26,0.234234,18,0.162162,7,11,8,0.072072,0,0.0,0,0,2,1,1.0,1,0,0,2,54.458262,73.30996,1.346168,native-better
memory_stride_read,78,1,7,18,0.230769,8,0.102564,5,3,7,0.089744,0,0.0,0,0,2,1,1.0,1,0,0,2,46.236826,53.984479,1.167565,native-better
memory_stride_write,102,1,6,29,0.284314,17,0.166667,12,5,6,0.058824,0,0.0,0,0,2,1,1.0,1,0,0,2,75.356045,77.05649,1.022565,similar
poly_gemm,229,1,30,46,0.200873,35,0.152838,24,11,30,0.131004,0,0.0,0,0,3,2,2.0,2,0,0,0,9.08485,21.529497,2.369824,native-better
poly_gemver,323,1,27,44,0.136223,78,0.241486,53,25,27,0.083591,0,0.0,0,0,2,2,2.0,2,0,0,0,5.571615,11.901112,2.136026,native-better
poly_gesummv,152,1,16,25,0.164474,26,0.171053,16,10,16,0.105263,0,0.0,0,0,3,2,2.0,2,0,0,0,4.604606,11.602153,2.519684,native-better
poly_2mm,223,1,32,45,0.201794,28,0.125561,18,10,32,0.143498,0,0.0,0,0,2,2,2.0,2,0,0,0,22.721882,31.783747,1.398817,native-better
poly_atax,197,1,23,30,0.152284,35,0.177665,24,11,23,0.116751,0,0.0,0,0,2,2,2.0,2,0,0,0,5.353679,12.278499,2.293469,native-better
poly_jacobi_1d,247,1,20,62,0.251012,49,0.198381,33,16,20,0.080972,0,0.0,0,0,2,2,2.0,2,0,0,0,3.858106,11.772401,3.051342,native-better
poly_jacobi_2d,275,1,26,63,0.229091,49,0.178182,39,10,26,0.094545,0,0.0,0,0,2,2,2.0,2,0,0,0,14.521891,32.453698,2.234812,native-better
poly_floyd_warshall,170,1,22,31,0.182353,25,0.147059,20,5,23,0.135294,0,0.0,0,0,2,2,2.0,2,0,0,0,68.836031,110.561655,1.60616,native-better
