program,ir_instruction_count,basic_block_count,compute_density,memory_access_density,load_count,store_count,branch_instr_count,call_instr_count,max_loop_depth,hostcall_count,hostcall_density,time_call_count,alloc_call_count,avg_bb_size,compute_to_memory_ratio,load_store_ratio,call_to_bb_ratio,hostcall_per_bb,native_median_ms,wasm_median_ms,ratio_wasm_over_native,label
alloc_bulk_buffer,79,6,0.21519,0.113924,8,1,6,0,1,1,0.012658,0,2,13.166667,1.888891,8.0,0.0,0.166667,20.834983,27.053688,1.298474,native-better
alloc_fragmented_pattern,74,10,0.121622,0.108108,4,4,10,3,1,1,0.013514,0,3,7.4,1.125005,1.0,0.3,0.1,9.556638,19.313963,2.021,native-better
alloc_medium_objects,101,4,0.19802,0.178218,1,17,4,0,1,1,0.009901,0,2,25.25,1.111111,0.058824,0.0,0.25,23.262289,47.425279,2.038719,native-better
alloc_pool_style,80,4,0.275,0.1625,2,11,4,0,1,1,0.0125,0,2,20.0,1.692308,0.181818,0.0,0.25,11.119677,18.850791,1.695264,native-better
alloc_realloc_loop,54,5,0.111111,0.037037,0,2,6,0,1,1,0.018519,0,3,10.8,3.0,0.0,0.0,0.2,7.102832,13.148924,1.851223,native-better
alloc_small_objects,46,2,0.543478,0.021739,0,1,2,0,1,1,0.021739,0,2,23.0,25.000138,0.0,0.0,0.5,7.182189,14.768414,2.056255,native-better
branch_nested,38,9,0.263158,0.026316,0,1,9,0,1,1,0.026316,0,0,4.222222,9.999924,0.0,0.0,0.111111,35.607278,70.315224,1.974743,native-better
branch_predictable,34,2,0.235294,0.029412,0,1,4,0,1,1,0.029412,0,0,17.0,7.999932,0.0,0.0,0.5,34.619039,46.47839,1.342567,native-better
branch_switch_dense,35,4,0.257143,0.085714,2,1,4,0,1,1,0.028571,0,0,8.75,3.000012,2.0,0.0,0.25,39.176044,34.42735,0.878786,wasm-better
branch_switch_sparse,47,8,0.361702,0.021277,0,1,8,0,1,1,0.021277,0,0,5.875,16.999671,0.0,0.0,0.125,370.353359,275.128673,0.742882,wasm-better
branch_unpredictable,34,2,0.352941,0.029412,0,1,3,0,1,1,0.029412,0,0,17.0,11.999898,0.0,0.0,0.5,125.951527,228.243674,1.812155,native-better
call_chain,42,2,0.47619,0.02381,0,1,2,0,0,1,0.02381,0,0,21.0,19.99958,0.0,0.0,0.5,19.747688,28.077297,1.421802,native-better
call_indirect,39,2,0.205128,0.051282,1,1,2,0,1,1,0.025641,0,0,19.5,4.0,1.0,0.0,0.5,44.691692,81.250138,1.818014,native-better
call_many_small_funcs,41,2,0.585366,0.02439,0,1,2,0,1,1,0.02439,0,0,20.5,24.000246,0.0,0.0,0.5,65.696594,82.470629,1.255326,native-better
call_recursive,186,2,0.88172,0.005376,0,1,2,0,1,1,0.005376,0,0,93.0,164.010417,0.0,0.0,0.5,5.148199,11.636011,2.26021,native-better
compute_fp_mix,38,2,0.236842,0.052632,1,1,2,0,2,1,0.026316,0,0,19.0,4.499962,1.0,0.0,0.5,56.099529,61.784017,1.101329,native-better
compute_fp_muladd,38,2,0.236842,0.052632,1,1,2,0,2,1,0.026316,0,0,19.0,4.499962,1.0,0.0,0.5,66.923518,74.035363,1.106268,native-better
compute_int_add,32,2,0.46875,0.03125,0,1,2,0,1,1,0.03125,0,0,16.0,15.0,0.0,0.0,0.5,91.007973,90.094503,0.989963,similar
compute_int_divmod,30,2,0.433333,0.033333,0,1,2,0,1,1,0.033333,0,0,15.0,13.00012,0.0,0.0,0.5,312.889644,314.530607,1.005245,similar
compute_int_mul,41,2,0.585366,0.02439,0,1,2,0,1,1,0.02439,0,0,20.5,24.000246,0.0,0.0,0.5,102.581318,104.783907,1.021472,similar
host_env_query,48,11,0.083333,0.083333,3,1,11,0,1,1,0.020833,0,0,4.363636,1.0,3.0,0.0,0.090909,3.687536,8.364213,2.268239,native-better
host_getcwd_loop,35,4,0.057143,0.057143,1,1,4,4,1,2,0.057143,0,0,8.75,1.0,1.0,1.0,0.5,86.428923,14.250544,0.164882,wasm-better
host_open_close_loop,40,5,0.075,0.025,0,1,5,0,1,6,0.15,0,0,8.0,3.0,0.0,0.0,1.2,94732.94349,115638.018278,1.220674,native-better
host_read_small,132,15,0.174242,0.106061,9,5,15,6,1,7,0.05303,0,0,8.8,1.642847,1.8,0.4,0.466667,62584.426873,74845.37831,1.195911,native-better
host_stat_loop,39,4,0.076923,0.051282,1,1,4,3,1,2,0.051282,0,0,9.75,1.5,1.0,0.75,0.5,35091.813074,73832.882847,2.103992,native-better
host_time_loop,33,2,0.090909,0.060606,1,1,2,4,1,2,0.060606,1,0,16.5,1.5,1.0,2.0,1.0,14.227812,74.694904,5.249922,native-better
host_write_small,48,5,0.041667,0.104167,0,5,5,3,1,4,0.083333,0,0,9.6,0.400002,0.0,0.6,0.8,11481.153725,12643.4005,1.101231,native-better
memory_copy_loop,88,4,0.272727,0.147727,8,5,4,0,1,1,0.011364,0,4,22.0,1.846155,1.6,0.0,0.25,8.090979,16.231674,2.006145,native-better
memory_random_read,92,6,0.336957,0.097826,2,7,6,0,2,1,0.01087,0,2,15.333333,3.444452,0.285714,0.0,0.166667,674.428744,807.177743,1.196832,native-better
memory_random_write,104,7,0.298077,0.144231,5,10,7,0,2,1,0.009615,0,2,14.857143,2.066664,0.5,0.0,0.142857,630.060171,765.682287,1.215253,native-better
memory_seq_read,65,4,0.2,0.107692,4,3,4,0,0,1,0.015385,0,2,16.25,1.857148,1.333333,0.0,0.25,11.724476,18.188552,1.551332,native-better
memory_seq_write,112,8,0.232143,0.160714,7,11,8,0,2,1,0.008929,0,2,14.0,1.444448,0.636364,0.0,0.125,54.458262,73.30996,1.346168,native-better
memory_stride_read,79,7,0.227848,0.101266,5,3,7,0,2,1,0.012658,0,2,11.285714,2.249995,1.666667,0.0,0.142857,46.236826,53.984479,1.167565,native-better
memory_stride_write,103,6,0.281553,0.165049,12,5,6,0,2,1,0.009709,0,2,17.166667,1.705875,2.4,0.0,0.166667,75.356045,77.05649,1.022565,similar
