program,label,label_jit,label_aot,total_instr_count,basic_block_count,avg_bb_size,avg_bb_out_degree,max_loop_depth,loop_instr_count,br_instr_count,br_density,compute_instr_count,compute_density,mem_instr_count,ls_ratio,func_count,call_instr_count,indirect_call_count,call_density,syscall_count,syscall_density,io_call_count,io_density,compute_mem_ratio,call_bb_ratio
alloc_bulk_buffer,similar,similar,similar,106,6,17.666667,1.5,1,0,7,0.066038,27,0.254717,25,0.235849,1,10,0,0.09434,3,0.028302,1,0.009434,1.08,1.666667
alloc_fragmented_pattern,native-better,native-better,native-better,98,10,9.8,1.5,1,0,11,0.112245,21,0.214286,19,0.193878,1,13,0,0.132653,3,0.030612,1,0.010204,1.105263,1.3
alloc_medium_objects,native-better,native-better,native-better,128,4,32.0,1.5,1,0,5,0.039062,29,0.226562,42,0.328125,1,9,0,0.070312,3,0.023438,1,0.007812,0.690476,2.25
alloc_pool_style,similar,similar,similar,110,4,27.5,1.75,2,0,5,0.045455,32,0.290909,31,0.281818,1,10,0,0.090909,3,0.027273,1,0.009091,1.032258,2.5
alloc_realloc_loop,native-better,native-better,native-better,81,5,16.2,1.8,1,0,7,0.08642,18,0.222222,11,0.135802,1,10,0,0.123457,3,0.037037,1,0.012346,1.636364,2.0
alloc_small_objects,native-better,native-better,native-better,74,2,37.0,1.5,2,0,3,0.040541,33,0.445946,9,0.121622,1,8,0,0.108108,3,0.040541,1,0.013514,3.666667,4.0
branch_nested,similar,similar,similar,66,9,7.333333,1.444444,1,0,10,0.151515,21,0.318182,9,0.136364,1,7,0,0.106061,3,0.045455,1,0.015152,2.333333,0.777778
branch_predictable,wasm-better,wasm-better,wasm-better,62,2,31.0,1.5,1,0,5,0.080645,18,0.290323,9,0.145161,1,8,0,0.129032,3,0.048387,1,0.016129,2.0,4.0
branch_switch_dense,wasm-better,wasm-better,wasm-better,63,4,15.75,1.5,1,0,5,0.079365,18,0.285714,13,0.206349,1,7,0,0.111111,3,0.047619,1,0.015873,1.384615,1.75
branch_switch_sparse,wasm-better,wasm-better,wasm-better,75,8,9.375,1.625,1,0,9,0.12,25,0.333333,9,0.12,1,7,0,0.093333,3,0.04,1,0.013333,2.777778,0.875
