program,label,total_instr_count,basic_block_count,avg_bb_size,avg_bb_out_degree,max_loop_depth,loop_instr_count,br_instr_count,br_density,compute_instr_count,compute_density,mem_instr_count,ls_ratio,func_count,call_instr_count,indirect_call_count,call_density,syscall_count,syscall_density,io_call_count,io_density,compute_mem_ratio,call_bb_ratio
correlation,similar,526,60,8.766667,1.283333,3,0,60,0.114068,31,0.058935,236,0.448669,4,22,0,0.041825,6,0.011407,6,0.011407,0.131356,0.366667
covariance,similar,386,49,7.877551,1.285714,2,0,49,0.126943,21,0.054404,168,0.435233,4,17,0,0.044041,6,0.015544,6,0.015544,0.125,0.346939
2mm,native-better,524,69,7.594203,1.275362,2,0,69,0.131679,38,0.072519,232,0.442748,4,22,0,0.041985,6,0.01145,6,0.01145,0.163793,0.318841
3mm,similar,601,81,7.419753,1.271605,2,0,81,0.134775,44,0.073211,264,0.439268,4,27,0,0.044925,6,0.009983,6,0.009983,0.166667,0.333333
atax,native-better,319,37,8.621622,1.297297,2,0,37,0.115987,15,0.047022,137,0.429467,4,20,0,0.062696,6,0.018809,6,0.018809,0.109489,0.540541
bicg,similar,368,39,9.435897,1.307692,3,0,39,0.105978,18,0.048913,160,0.434783,4,26,0,0.070652,10,0.027174,10,0.027174,0.1125,0.666667
doitgen,native-better,396,57,6.947368,1.280702,3,0,57,0.143939,26,0.065657,169,0.426768,4,17,0,0.042929,6,0.015152,6,0.015152,0.153846,0.298246
mvt,similar,381,39,9.769231,1.307692,2,0,39,0.102362,24,0.062992,163,0.427822,4,26,0,0.068241,10,0.026247,10,0.026247,0.147239,0.666667
gemm,native-better,397,53,7.490566,1.283019,3,0,53,0.133501,29,0.073048,172,0.433249,4,17,0,0.042821,6,0.015113,6,0.015113,0.168605,0.320755
gemver,similar,531,45,11.8,1.288889,2,0,45,0.084746,32,0.060264,241,0.453861,4,32,0,0.060264,6,0.011299,6,0.011299,0.13278,0.711111
gesummv,similar,342,25,13.68,1.32,3,0,25,0.073099,17,0.049708,151,0.44152,4,23,0,0.067251,6,0.017544,6,0.017544,0.112583,0.92
symm,similar,423,45,9.4,1.288889,3,0,45,0.106383,27,0.06383,185,0.437352,4,20,0,0.047281,6,0.014184,6,0.014184,0.145946,0.444444
syr2k,wasm-better,384,45,8.533333,1.288889,3,0,45,0.117188,30,0.078125,164,0.427083,4,17,0,0.044271,6,0.015625,6,0.015625,0.182927,0.377778
syrk,native-better,333,45,7.4,1.288889,3,0,45,0.135135,23,0.069069,141,0.423423,4,15,0,0.045045,6,0.018018,6,0.018018,0.163121,0.333333
trmm,similar,321,37,8.675676,1.297297,3,0,37,0.115265,20,0.062305,136,0.423676,4,15,0,0.046729,6,0.018692,6,0.018692,0.147059,0.405405
cholesky,similar,470,69,6.811594,1.275362,4,0,69,0.146809,25,0.053191,200,0.425532,4,18,0,0.038298,6,0.012766,6,0.012766,0.125,0.26087
durbin,native-better,273,29,9.413793,1.310345,2,0,29,0.106227,16,0.058608,117,0.428571,4,17,0,0.062271,6,0.021978,6,0.021978,0.136752,0.586207
gramschmidt,wasm-better,497,63,7.888889,1.285714,3,0,63,0.126761,25,0.050302,216,0.434608,4,25,0,0.050302,10,0.020121,10,0.020121,0.115741,0.396825
lu,similar,464,73,6.356164,1.273973,4,0,73,0.157328,26,0.056034,198,0.426724,4,17,0,0.036638,6,0.012931,6,0.012931,0.131313,0.232877
ludcmp,similar,649,89,7.292135,1.269663,4,0,89,0.137134,35,0.053929,294,0.453005,4,25,0,0.038521,6,0.009245,6,0.009245,0.119048,0.280899
trisolv,similar,264,25,10.56,1.32,2,0,25,0.094697,12,0.045455,110,0.416667,4,17,0,0.064394,6,0.022727,6,0.022727,0.109091,0.68
deriche,similar,689,69,9.985507,1.275362,3,0,69,0.100145,50,0.072569,321,0.465893,4,40,0,0.058055,6,0.008708,6,0.008708,0.155763,0.57971
floyd-warshall,native-better,289,40,7.225,1.35,2,0,40,0.138408,21,0.072664,113,0.391003,4,12,0,0.041522,6,0.020761,6,0.020761,0.185841,0.3
nussinov,native-better,553,62,8.919355,1.33871,4,0,64,0.115732,40,0.072333,220,0.39783,4,14,0,0.025316,6,0.01085,6,0.01085,0.181818,0.225806
adi,similar,664,49,13.55102,1.285714,4,0,49,0.073795,56,0.084337,288,0.433735,4,32,0,0.048193,6,0.009036,6,0.009036,0.194444,0.653061
fdtd-2d,native-better,611,77,7.935065,1.285714,2,0,77,0.126023,46,0.075286,262,0.428805,4,29,0,0.047463,14,0.022913,14,0.022913,0.175573,0.376623
heat-3d,native-better,595,57,10.438596,1.280702,5,0,57,0.095798,52,0.087395,235,0.394958,4,23,0,0.038655,6,0.010084,6,0.010084,0.221277,0.403509
jacobi-1d,native-better,246,25,9.84,1.32,2,0,25,0.101626,22,0.089431,99,0.402439,4,14,0,0.056911,6,0.02439,6,0.02439,0.222222,0.56
jacobi-2d,native-better,380,41,9.268293,1.292683,2,0,41,0.107895,38,0.1,150,0.394737,4,16,0,0.042105,6,0.015789,6,0.015789,0.253333,0.390244
seidel-2d,similar,314,33,9.515152,1.30303,2,0,33,0.105096,36,0.11465,119,0.378981,4,13,0,0.041401,6,0.019108,6,0.019108,0.302521,0.393939
