program,label,total_instr_count,basic_block_count,avg_bb_size,avg_bb_out_degree,max_loop_depth,loop_instr_count,br_instr_count,br_density,compute_instr_count,compute_density,mem_instr_count,ls_ratio,func_count,call_instr_count,indirect_call_count,call_density,syscall_count,syscall_density,io_call_count,io_density,compute_mem_ratio,call_bb_ratio
correlation,similar,356,39,9.128205,1.25641,3,0,39,0.109551,21,0.058989,162,0.455056,4,4,0,0.011236,0,0.0,0,0.0,0.12963,0.102564
covariance,similar,223,28,7.964286,1.25,2,0,28,0.125561,12,0.053812,97,0.434978,4,1,0,0.004484,0,0.0,0,0.0,0.123711,0.035714
2mm,native-better,189,24,7.875,1.25,2,0,24,0.126984,8,0.042328,78,0.412698,4,2,0,0.010582,0,0.0,0,0.0,0.102564,0.083333
3mm,similar,253,36,7.027778,1.25,2,0,36,0.142292,9,0.035573,108,0.426877,4,3,0,0.011858,0,0.0,0,0.0,0.083333,0.083333
atax,native-better,141,16,8.8125,1.25,2,0,16,0.113475,4,0.028369,58,0.411348,4,2,0,0.014184,0,0.0,0,0.0,0.068966,0.125
bicg,similar,133,12,11.083333,1.25,3,0,12,0.090226,3,0.022556,54,0.406015,4,2,0,0.015038,0,0.0,0,0.0,0.055556,0.166667
doitgen,native-better,143,20,7.15,1.25,3,0,20,0.13986,5,0.034965,55,0.384615,4,1,0,0.006993,0,0.0,0,0.0,0.090909,0.05
mvt,similar,132,16,8.25,1.25,2,0,16,0.121212,4,0.030303,52,0.393939,4,2,0,0.015152,0,0.0,0,0.0,0.076923,0.125
gemm,native-better,127,16,7.9375,1.25,3,0,16,0.125984,6,0.047244,48,0.377953,4,1,0,0.007874,0,0.0,0,0.0,0.125,0.0625
gemver,similar,234,28,8.357143,1.25,2,0,28,0.119658,10,0.042735,104,0.444444,4,4,0,0.017094,0,0.0,0,0.0,0.096154,0.142857
gesummv,similar,142,8,17.75,1.25,3,0,8,0.056338,3,0.021127,61,0.429577,4,3,0,0.021127,0,0.0,0,0.0,0.04918,0.375
symm,similar,164,12,13.666667,1.25,3,0,12,0.073171,6,0.036585,67,0.408537,4,4,0,0.02439,0,0.0,0,0.0,0.089552,0.333333
syr2k,wasm-better,145,16,9.0625,1.25,3,0,16,0.110345,9,0.062069,56,0.386207,4,1,0,0.006897,0,0.0,0,0.0,0.160714,0.0625
syrk,native-better,123,16,7.6875,1.25,3,0,16,0.130081,6,0.04878,46,0.373984,4,1,0,0.00813,0,0.0,0,0.0,0.130435,0.0625
trmm,similar,117,12,9.75,1.25,3,0,12,0.102564,5,0.042735,43,0.367521,4,1,0,0.008547,0,0.0,0,0.0,0.116279,0.083333
cholesky,similar,166,16,10.375,1.25,4,0,16,0.096386,5,0.03012,65,0.391566,4,3,0,0.018072,0,0.0,0,0.0,0.076923,0.1875
durbin,native-better,163,16,10.1875,1.25,2,0,16,0.09816,11,0.067485,70,0.429448,4,3,0,0.018405,0,0.0,0,0.0,0.157143,0.1875
gramschmidt,wasm-better,232,24,9.666667,1.25,3,0,24,0.103448,8,0.034483,97,0.418103,4,4,0,0.017241,0,0.0,0,0.0,0.082474,0.166667
lu,similar,160,20,8.0,1.25,4,0,20,0.125,6,0.0375,63,0.39375,4,2,0,0.0125,0,0.0,0,0.0,0.095238,0.1
ludcmp,similar,294,36,8.166667,1.25,4,0,36,0.122449,13,0.044218,134,0.455782,4,4,0,0.013605,0,0.0,0,0.0,0.097015,0.111111
trisolv,similar,107,8,13.375,1.25,2,0,8,0.074766,3,0.028037,41,0.383178,4,1,0,0.009346,0,0.0,0,0.0,0.073171,0.125
deriche,similar,509,48,10.604167,1.25,3,0,48,0.094303,38,0.074656,242,0.475442,4,22,0,0.043222,0,0.0,0,0.0,0.157025,0.458333
floyd-warshall,native-better,126,15,8.4,1.266667,2,0,15,0.119048,5,0.039683,45,0.357143,4,0,0,0.0,0,0.0,0,0.0,0.111111,0.0
nussinov,native-better,389,37,10.513514,1.351351,4,0,39,0.100257,31,0.079692,148,0.380463,4,0,0,0.0,0,0.0,0,0.0,0.209459,0.0
adi,similar,500,28,17.857143,1.25,4,0,28,0.056,46,0.092,217,0.434,4,14,0,0.028,0,0.0,0,0.0,0.211982,0.5
fdtd-2d,native-better,269,32,8.40625,1.25,2,0,32,0.118959,19,0.070632,109,0.405204,4,3,0,0.011152,0,0.0,0,0.0,0.174312,0.09375
heat-3d,native-better,393,28,14.035714,1.25,5,0,28,0.071247,35,0.089059,148,0.37659,4,10,0,0.025445,0,0.0,0,0.0,0.236486,0.357143
jacobi-1d,native-better,118,12,9.833333,1.25,2,0,12,0.101695,15,0.127119,43,0.364407,4,0,0,0.0,0,0.0,0,0.0,0.348837,0.0
jacobi-2d,native-better,209,20,10.45,1.25,2,0,20,0.095694,27,0.129187,77,0.368421,4,0,0,0.0,0,0.0,0,0.0,0.350649,0.0
seidel-2d,similar,171,12,14.25,1.25,2,0,12,0.070175,27,0.157895,58,0.339181,4,0,0,0.0,0,0.0,0,0.0,0.465517,0.0
