program,ir_instruction_count,function_count,basic_block_count,compute_instr_count,compute_density,memory_instr_count,memory_access_density,load_count,store_count,branch_instr_count,branch_density,call_instr_count,call_density,indirect_call_count,loop_count,max_loop_depth,hostcall_count,hostcall_density,io_call_count,time_call_count,filesystem_call_count,alloc_call_count
alloc_bulk_buffer,78,1,6,17,0.217949,9,0.115385,8,1,6,0.076923,0,0.0,0,0,1,1,1.0,1,0,0,2
alloc_fragmented_pattern,73,1,10,9,0.123288,8,0.109589,4,4,10,0.136986,3,0.041096,0,0,1,1,0.333333,1,0,0,3
alloc_medium_objects,100,1,4,20,0.2,18,0.18,1,17,4,0.04,0,0.0,0,0,1,1,1.0,1,0,0,2
alloc_pool_style,79,1,4,22,0.278481,13,0.164557,2,11,4,0.050633,0,0.0,0,0,1,1,1.0,1,0,0,2
alloc_realloc_loop,53,1,5,6,0.113208,2,0.037736,0,2,6,0.113208,0,0.0,0,0,1,1,1.0,1,0,0,3
alloc_small_objects,45,1,2,25,0.555556,1,0.022222,0,1,2,0.044444,0,0.0,0,0,1,1,1.0,1,0,0,2
branch_nested,37,1,9,10,0.27027,1,0.027027,0,1,9,0.243243,0,0.0,0,0,1,1,1.0,1,0,0,0
branch_predictable,33,1,2,8,0.242424,1,0.030303,0,1,4,0.121212,0,0.0,0,0,1,1,1.0,1,0,0,0
branch_switch_dense,34,1,4,9,0.264706,3,0.088235,2,1,4,0.117647,0,0.0,0,0,1,1,1.0,1,0,0,0
branch_switch_sparse,46,1,8,17,0.369565,1,0.021739,0,1,8,0.173913,0,0.0,0,0,1,1,1.0,1,0,0,0
branch_unpredictable,33,1,2,12,0.363636,1,0.030303,0,1,3,0.090909,0,0.0,0,0,1,1,1.0,1,0,0,0
call_chain,41,1,2,20,0.487805,1,0.02439,0,1,2,0.04878,0,0.0,0,0,0,1,1.0,1,0,0,0
call_indirect,35,4,2,8,0.228571,2,0.057143,1,1,2,0.057143,0,0.0,0,0,1,1,1.0,1,0,0,0
call_many_small_funcs,40,1,2,24,0.6,1,0.025,0,1,2,0.05,0,0.0,0,0,1,1,1.0,1,0,0,0
call_recursive,185,1,2,164,0.886486,1,0.005405,0,1,2,0.010811,0,0.0,0,0,1,1,1.0,1,0,0,0
compute_fp_mix,37,1,2,9,0.243243,2,0.054054,1,1,2,0.054054,0,0.0,0,0,2,1,1.0,1,0,0,0
compute_fp_muladd,37,1,2,9,0.243243,2,0.054054,1,1,2,0.054054,0,0.0,0,0,2,1,1.0,1,0,0,0
compute_int_add,31,1,2,15,0.483871,1,0.032258,0,1,2,0.064516,0,0.0,0,0,1,1,1.0,1,0,0,0
compute_int_divmod,29,1,2,13,0.448276,1,0.034483,0,1,2,0.068966,0,0.0,0,0,1,1,1.0,1,0,0,0
compute_int_mul,40,1,2,24,0.6,1,0.025,0,1,2,0.05,0,0.0,0,0,1,1,1.0,1,0,0,0
host_env_query,47,1,11,4,0.085106,4,0.085106,3,1,11,0.234043,0,0.0,0,0,1,1,1.0,1,0,0,0
host_getcwd_loop,34,1,4,2,0.058824,2,0.058824,1,1,4,0.117647,4,0.117647,0,0,1,2,0.5,1,0,1,0
host_open_close_loop,39,1,5,3,0.076923,1,0.025641,0,1,5,0.128205,0,0.0,0,0,1,6,6.0,6,0,0,0
host_read_small,131,1,15,23,0.175573,14,0.10687,9,5,15,0.114504,6,0.045802,0,0,1,7,1.166667,7,0,0,0
host_stat_loop,38,1,4,3,0.078947,2,0.052632,1,1,4,0.105263,3,0.078947,0,0,1,2,0.666667,1,0,1,0
host_time_loop,32,1,2,3,0.09375,2,0.0625,1,1,2,0.0625,4,0.125,0,0,1,2,0.5,1,1,0,0
host_write_small,47,1,5,2,0.042553,5,0.106383,0,5,5,0.106383,3,0.06383,0,0,1,4,1.333333,4,0,0,0
memory_copy_loop,87,1,4,24,0.275862,13,0.149425,8,5,4,0.045977,0,0.0,0,0,1,1,1.0,1,0,0,4
memory_random_read,91,1,6,31,0.340659,9,0.098901,2,7,6,0.065934,0,0.0,0,0,2,1,1.0,1,0,0,2
memory_random_write,103,1,7,31,0.300971,15,0.145631,5,10,7,0.067961,0,0.0,0,0,2,1,1.0,1,0,0,2
memory_seq_read,64,1,4,13,0.203125,7,0.109375,4,3,4,0.0625,0,0.0,0,0,0,1,1.0,1,0,0,2
memory_seq_write,111,1,8,26,0.234234,18,0.162162,7,11,8,0.072072,0,0.0,0,0,2,1,1.0,1,0,0,2
memory_stride_read,78,1,7,18,0.230769,8,0.102564,5,3,7,0.089744,0,0.0,0,0,2,1,1.0,1,0,0,2
memory_stride_write,102,1,6,29,0.284314,17,0.166667,12,5,6,0.058824,0,0.0,0,0,2,1,1.0,1,0,0,2
