program,ir_instruction_count,basic_block_count,compute_density,memory_access_density,load_count,store_count,branch_instr_count,call_instr_count,max_loop_depth,hostcall_count,hostcall_density,time_call_count,alloc_call_count,avg_bb_size,compute_to_memory_ratio,load_store_ratio,call_to_bb_ratio,hostcall_per_bb
poly_correlation,271,29,0.191882,0.214022,33,25,30,0,3,2,0.00738,0,0,9.344828,0.896553,1.32,0.0,0.068966
poly_covariance,236,26,0.199153,0.220339,31,21,26,0,2,2,0.008475,0,0,9.076923,0.903848,1.47619,0.0,0.076923
poly_gemm,230,30,0.2,0.152174,24,11,30,0,3,2,0.008696,0,0,7.666667,1.314285,2.181818,0.0,0.066667
poly_gemver,324,27,0.135802,0.240741,53,25,27,0,2,2,0.006173,0,0,12.0,0.5641,2.12,0.0,0.074074
poly_gesummv,153,16,0.163399,0.169935,16,10,16,0,3,2,0.013072,0,0,9.5625,0.961538,1.6,0.0,0.125
poly_symm,233,35,0.201717,0.120172,17,11,35,0,3,2,0.008584,0,0,6.657143,1.678569,1.545455,0.0,0.057143
poly_syr2k,270,34,0.233333,0.125926,24,10,35,0,3,2,0.007407,0,0,7.941176,1.852937,2.4,0.0,0.058824
poly_syrk,247,34,0.194332,0.153846,28,10,35,0,3,2,0.008097,0,0,7.264706,1.263159,2.8,0.0,0.058824
poly_trmm,163,24,0.190184,0.116564,12,7,24,0,3,2,0.01227,0,0,6.791667,1.631584,1.714286,0.0,0.083333
poly_2mm,224,32,0.200893,0.125,18,10,32,0,2,2,0.008929,0,0,7.0,1.607144,1.8,0.0,0.0625
poly_3mm,255,37,0.184314,0.133333,21,13,37,0,2,2,0.007843,0,0,6.891892,1.382358,1.615385,0.0,0.054054
poly_atax,198,23,0.151515,0.176768,24,11,23,0,2,2,0.010101,0,0,8.608696,0.85714,2.181818,0.0,0.086957
poly_bicg,166,20,0.126506,0.168675,20,8,20,0,3,4,0.024096,0,0,8.3,0.749999,2.5,0.0,0.2
poly_doitgen,365,50,0.191781,0.172603,36,27,51,0,3,2,0.005479,0,0,7.3,1.11111,1.333333,0.0,0.04
poly_mvt,184,21,0.119565,0.179348,24,9,24,0,2,4,0.021739,0,0,8.761905,0.666665,2.666667,0.0,0.190476
poly_cholesky,359,50,0.150418,0.18663,44,23,50,0,4,2,0.005571,0,0,7.18,0.805969,1.913043,0.0,0.04
poly_durbin,224,22,0.15625,0.165179,28,9,22,3,2,2,0.008929,0,0,10.181818,0.945943,3.111111,0.136364,0.090909
poly_gramschmidt,329,38,0.155015,0.173252,41,16,38,0,3,4,0.012158,0,0,8.657895,0.894737,2.5625,0.0,0.105263
poly_lu,359,51,0.150418,0.189415,46,22,51,0,4,2,0.005571,0,0,7.039216,0.794119,2.090909,0.0,0.039216
poly_ludcmp,505,63,0.164356,0.174257,60,28,63,0,4,2,0.00396,0,0,8.015873,0.943182,2.142857,0.0,0.031746
poly_trisolv,166,22,0.13253,0.156627,17,9,22,0,2,2,0.012048,0,0,7.545455,0.84615,1.888889,0.0,0.090909
poly_deriche,327,35,0.174312,0.183486,41,19,35,0,3,2,0.006116,0,0,9.342857,0.950002,2.157895,0.0,0.057143
poly_floyd_warshall,171,22,0.181287,0.146199,20,5,23,0,2,2,0.011696,0,0,7.772727,1.240002,4.0,0.0,0.090909
poly_nussinov,171,23,0.146199,0.163743,21,7,23,0,4,2,0.011696,0,0,7.434783,0.892856,3.0,0.0,0.086957
poly_adi,318,29,0.172956,0.198113,41,22,29,0,4,2,0.006289,0,0,10.965517,0.873017,1.863636,0.0,0.068966
poly_fdtd_2d,474,47,0.198312,0.204641,62,35,47,0,2,6,0.012658,0,0,10.085106,0.969073,1.771429,0.0,0.12766
poly_heat_3d,329,34,0.231003,0.148936,37,12,34,0,5,2,0.006079,0,0,9.676471,1.551022,3.083333,0.0,0.058824
poly_jacobi_1d,248,20,0.25,0.197581,33,16,20,0,2,2,0.008065,0,0,12.4,1.265304,2.0625,0.0,0.1
poly_jacobi_2d,276,26,0.228261,0.177536,39,10,26,0,2,2,0.007246,0,0,10.615385,1.285717,3.9,0.0,0.076923
poly_seidel_2d,144,18,0.173611,0.145833,18,3,18,0,2,2,0.013889,0,0,8.0,1.190478,6.0,0.0,0.111111
