program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
alloc_bulk_buffer,1,1,21.837815,21.971523,1.629724,18.734357,25.387698,27.761058,26.636872,5.269234,23.165618,54.118283,1.212336,native-better,,
alloc_small_objects,1,1,6.967927,6.622549,1.067,5.836875,11.165985,14.44059,14.223719,1.384117,12.438426,18.798948,2.147771,native-better,,
branch_predictable,1,1,29.893494,29.455189,3.845014,26.79081,49.530684,34.920215,34.985368,1.310486,32.60042,39.047679,1.187749,native-better,,
branch_unpredictable,1,1,124.611192,121.319805,11.384618,118.467867,177.781692,227.235781,225.361221,9.216249,217.220831,251.811395,1.85758,native-better,,
call_chain,1,1,22.408283,21.588009,5.580105,17.370915,50.288036,30.054278,29.801191,1.606469,27.783653,35.229704,1.380451,native-better,,
call_indirect,1,1,47.874971,47.805774,2.084983,43.773554,53.259861,89.165385,86.278619,9.780287,79.185249,121.996423,1.804774,native-better,,
compute_fp_mix,1,1,63.739602,59.926445,17.479915,56.815711,155.320695,70.829566,67.844677,9.170284,63.877396,102.213174,1.132133,native-better,,
compute_int_add,1,1,100.391382,93.366226,27.255898,89.362916,233.55021,94.460101,90.962848,8.764875,85.005604,122.399934,0.974259,similar,,
host_getcwd_loop,1,1,573.289863,573.668103,112.153833,422.228959,898.771761,28.773118,26.919266,6.277733,21.472519,47.788328,0.046925,wasm-better,,
host_time_loop,1,1,42.867954,39.935478,17.024906,36.155252,131.727183,258.106925,253.634407,14.853753,239.779987,304.532511,6.351105,native-better,,
memory_seq_read,1,1,15.994086,15.38035,5.256833,11.011602,42.311677,22.884747,22.219922,3.154109,18.834387,33.892444,1.444696,native-better,,
memory_stride_write,1,1,77.684031,74.841751,7.823087,68.68093,100.919801,78.060009,74.904427,9.478102,69.894328,111.5228,1.000837,similar,,
