program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
alloc_bulk_buffer,1,1,20.874893,20.834983,2.243278,16.811177,25.349297,27.787845,27.053688,3.752018,21.818971,38.69018,1.298474,native-better,,
alloc_fragmented_pattern,1,1,9.578909,9.556638,1.735463,6.812962,13.663252,20.044281,19.313963,5.731947,16.325188,49.043431,2.021,native-better,,
alloc_medium_objects,1,1,23.486454,23.262289,1.95842,20.465894,29.038599,47.558584,47.425279,2.116318,44.231231,53.1494,2.038719,native-better,,
alloc_pool_style,1,1,11.230386,11.119677,1.179263,9.517083,14.352473,19.640241,18.850791,5.234277,17.097964,46.66989,1.695264,native-better,,
alloc_realloc_loop,1,1,7.183728,7.102832,0.898497,5.955926,9.058661,13.295609,13.148924,1.548503,10.998147,19.480823,1.851223,native-better,,
alloc_small_objects,1,1,7.1911,7.182189,0.823464,5.59039,9.15851,14.620634,14.768414,0.86119,12.912599,16.742962,2.056255,native-better,,
branch_nested,1,1,35.408789,35.607278,2.913915,30.829093,41.324896,70.473786,70.315224,6.662815,60.075854,92.363593,1.974743,native-better,,
branch_predictable,1,1,41.514575,34.619039,25.863935,28.73735,159.916134,54.949447,46.47839,31.912495,36.671025,211.195292,1.342567,native-better,,
branch_switch_dense,1,1,41.148617,39.176044,7.879212,34.810848,77.641271,36.607124,34.42735,5.49567,30.284939,49.241374,0.878786,wasm-better,,
branch_switch_sparse,1,1,380.849603,370.353359,36.25235,336.167563,491.276886,280.83695,275.128673,28.845099,247.076972,378.104485,0.742882,wasm-better,,
branch_unpredictable,1,1,129.613958,125.951527,16.330978,112.546698,177.662846,241.748212,228.243674,42.637632,210.542641,413.042112,1.812155,native-better,,
call_chain,1,1,19.944566,19.747688,1.175931,18.112354,21.986085,27.84545,28.077297,1.124723,25.460536,29.797406,1.421802,native-better,,
call_indirect,1,1,45.792538,44.691692,5.642775,42.47307,74.627353,82.510668,81.250138,8.349481,73.561001,115.912113,1.818014,native-better,,
call_many_small_funcs,1,1,65.805743,65.696594,1.463483,63.357417,68.746666,83.470737,82.470629,4.347258,79.457093,105.23467,1.255326,native-better,,
call_recursive,1,1,5.240618,5.148199,0.358846,4.784009,6.440998,11.691395,11.636011,0.633938,10.778629,13.768109,2.26021,native-better,,
compute_fp_mix,1,1,56.870009,56.099529,3.767159,54.362837,75.445529,61.898867,61.784017,1.281279,60.105065,65.532409,1.101329,native-better,,
compute_fp_muladd,1,1,67.991148,66.923518,5.268363,62.541469,104.862198,78.178837,74.035363,15.339689,69.589488,196.936495,1.106268,native-better,,
compute_int_add,1,1,93.255887,91.007973,9.847948,85.845162,192.255923,92.39104,90.094503,6.460283,85.127372,123.286889,0.989963,similar,,
compute_int_divmod,1,1,327.043209,312.889644,43.505382,283.878547,539.210477,329.258485,314.530607,47.478898,285.465809,625.182247,1.005245,similar,,
compute_int_mul,1,1,106.778412,102.581318,12.023111,90.619663,175.155894,109.848669,104.783907,12.528178,92.580653,171.589171,1.021472,similar,,
host_env_query,1,1,3.833748,3.687536,0.358681,3.407693,4.894924,8.603136,8.364213,0.679066,7.661835,10.315588,2.268239,native-better,,
host_getcwd_loop,1,1,93.340889,86.428923,12.876528,82.03761,131.876782,14.142439,14.250544,0.939256,12.6377,16.245108,0.164882,wasm-better,,
host_open_close_loop,1,1,95900.621302,94732.94349,4200.7506,93720.38364,116908.726957,116192.264229,115638.018278,3015.124101,113918.584497,130219.714371,1.220674,native-better,,
host_read_small,1,1,63297.71916,62584.426873,1434.647486,61951.227455,67004.639988,75565.636286,74845.37831,1898.382816,73520.568977,80150.7607,1.195911,native-better,,
host_stat_loop,1,1,35411.782293,35091.813074,599.290733,34812.172449,36711.124199,74619.643401,73832.882847,1708.17301,73175.337797,80584.191146,2.103992,native-better,,
host_time_loop,1,1,19.670812,14.227812,28.993311,11.869643,172.947609,77.018932,74.694904,12.452074,65.258215,130.718662,5.249922,native-better,,
host_write_small,1,1,11514.258909,11481.153725,224.799169,10942.54852,12301.652445,12743.5834,12643.4005,379.888064,12473.319284,14548.811205,1.101231,native-better,,
memory_copy_loop,1,1,8.465336,8.090979,1.415038,6.407636,11.892425,17.119976,16.231674,3.157477,14.296368,26.055332,2.006145,native-better,,
memory_random_read,1,1,687.00744,674.428744,42.44677,635.636748,824.55808,821.909467,807.177743,46.528364,768.224616,956.707946,1.196832,native-better,,
memory_random_write,1,1,634.912013,630.060171,78.784695,535.321915,903.37587,788.24974,765.682287,100.226371,630.659381,1093.488057,1.215253,native-better,,
memory_seq_read,1,1,11.890385,11.724476,1.153093,10.083258,14.738378,18.194959,18.188552,0.993673,16.542316,20.495839,1.551332,native-better,,
memory_seq_write,1,1,56.314965,54.458262,5.199916,50.14706,72.434768,73.85163,73.30996,4.334856,65.312299,83.924471,1.346168,native-better,,
memory_stride_read,1,1,47.586673,46.236826,6.480852,42.204622,78.970556,54.370321,53.984479,3.18048,50.411563,66.064818,1.167565,native-better,,
memory_stride_write,1,1,77.53855,75.356045,13.275508,55.928483,172.177959,79.116301,77.05649,13.346059,59.260508,144.448852,1.022565,similar,,
