program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
alloc_bulk_buffer,1,1,21.06282,20.099886,3.834918,17.134731,37.284325,30.045463,28.053011,7.166358,22.580946,51.619016,1.39568,native-better,,
alloc_fragmented_pattern,1,1,11.64457,9.864425,10.234077,6.83519,64.90321,24.001885,19.229419,16.158665,14.640145,103.010317,1.94937,native-better,,
alloc_medium_objects,1,1,25.987485,25.071435,4.218924,19.444901,42.004395,52.808678,50.047184,8.378268,46.605528,92.340849,1.996183,native-better,,
alloc_pool_style,1,1,11.518234,10.544142,2.138018,8.936696,17.06559,20.377636,20.149119,2.416315,16.251913,25.979045,1.91093,native-better,,
alloc_realloc_loop,1,1,8.773065,7.51816,4.49349,5.798103,26.700556,16.304794,14.172107,7.282832,11.856987,50.112683,1.88505,native-better,,
alloc_small_objects,1,1,7.517934,6.91346,1.751318,5.652451,13.924704,18.549202,16.399649,9.886675,13.303201,69.578785,2.372133,native-better,,
branch_nested,1,1,38.473244,35.89363,11.599644,30.522764,84.125413,83.09404,74.632015,36.953578,65.443882,267.936321,2.079255,native-better,,
branch_predictable,1,1,27.728259,27.094022,2.169956,24.983228,33.165383,38.523901,36.280205,10.98399,31.810804,95.385926,1.339048,native-better,,
branch_switch_dense,1,1,35.568274,35.425886,2.193489,31.971744,39.531055,33.698939,33.294278,2.219754,30.279577,37.440892,0.939829,similar,,
branch_switch_sparse,1,1,362.049142,357.459087,26.600526,334.301471,471.717219,272.234559,262.460615,26.326721,250.835857,367.523381,0.73424,wasm-better,,
branch_unpredictable,1,1,125.162569,121.993253,11.021496,116.781864,175.31865,241.199105,231.844389,29.554006,217.663268,337.544829,1.900469,native-better,,
call_chain,1,1,21.967442,20.977133,4.268638,17.76636,39.714727,32.42004,31.269393,5.061391,27.404969,55.209767,1.490642,native-better,,
call_indirect,1,1,48.977895,47.570766,7.795063,43.261176,87.395093,93.392155,86.539731,17.26381,80.291945,144.475711,1.819179,native-better,,
call_many_small_funcs,1,1,73.094599,70.25131,8.485831,66.578749,104.035274,92.817524,89.392362,13.20115,84.692478,152.424469,1.272465,native-better,,
call_recursive,1,1,5.926468,5.684388,0.730831,5.017888,8.08874,13.752794,13.784014,0.98426,12.003335,15.947334,2.42489,native-better,,
compute_fp_mix,1,1,60.519049,59.437827,5.684955,55.071164,87.867205,68.286866,67.020441,5.112281,63.629619,86.496813,1.127572,native-better,,
compute_fp_muladd,1,1,72.028942,68.523441,12.245812,63.73902,121.615877,78.260159,76.511244,7.0075,71.953354,109.10437,1.11657,native-better,,
compute_int_add,1,1,96.328994,92.295009,16.072545,87.234982,176.235266,95.259806,92.178308,7.866675,87.240256,117.787627,0.998736,similar,,
compute_int_divmod,1,1,305.404319,300.080461,29.122078,284.302177,427.281155,300.269767,292.020161,15.625329,286.990895,337.979903,0.97314,similar,,
compute_int_mul,1,1,97.552505,96.269938,5.012304,93.310789,117.309384,102.716175,99.880437,8.305857,96.490293,129.073235,1.037504,similar,,
host_env_query,1,1,4.112242,3.655096,0.91718,3.428135,7.576872,9.91119,9.606072,1.072294,8.195107,11.884958,2.628131,native-better,,
host_getcwd_loop,1,1,5.945023,5.689062,1.514812,4.439718,12.521619,12.987555,11.501322,8.235309,9.169587,55.98791,2.021655,native-better,,
host_open_close_loop,1,1,449.790742,427.308651,72.569654,346.827227,705.21867,562.4719,558.316199,67.143569,474.169043,704.673109,1.306588,native-better,,
host_read_small,1,1,982.845496,961.977189,147.08557,791.070409,1423.355419,1206.781507,1132.921418,204.12817,986.712297,1816.113404,1.177701,native-better,,
host_stat_loop,1,1,90.331933,85.692489,18.79261,71.197624,163.804469,217.581107,176.526819,103.908639,153.81528,626.0427,2.060003,native-better,,
host_time_loop,1,1,5.422946,5.07873,1.701756,3.663164,9.929267,12.868747,12.529343,2.349698,9.309561,18.371826,2.467023,native-better,,
host_write_small,1,1,1496.001954,1474.954383,101.524996,1360.529049,1785.855963,1616.648146,1584.604006,128.425771,1456.459997,2053.048458,1.074341,similar,,
memory_copy_loop,1,1,9.588127,9.416074,1.392955,7.089012,12.676983,21.144113,21.524233,2.74391,16.378773,25.730392,2.285903,native-better,,
memory_random_read,1,1,812.236663,796.705556,53.971044,748.967215,965.485445,996.53559,975.313805,70.148263,898.048861,1208.517901,1.224184,native-better,,
memory_random_write,1,1,730.654636,690.273828,131.776085,619.043541,1234.136648,862.478001,834.151689,101.461578,759.085825,1284.908289,1.208436,native-better,,
memory_seq_read,1,1,20.177043,17.248591,8.520036,12.661974,45.789658,36.510557,27.864364,27.27915,19.308181,144.427353,1.615457,native-better,,
memory_seq_write,1,1,68.757254,65.105932,8.798336,60.191277,94.306652,97.520173,93.376508,14.205649,80.678816,142.271989,1.434224,native-better,,
memory_stride_read,1,1,58.987896,56.87203,6.594883,51.127547,80.210021,68.671409,65.991549,6.8716,58.729983,84.680363,1.160352,native-better,,
memory_stride_write,1,1,88.631739,77.73455,29.839374,71.308369,222.713502,89.566679,77.868096,35.356093,73.81191,261.843415,1.001718,similar,,
poly_2mm,1,1,27.672467,26.77414,3.158342,23.95871,39.799881,36.349942,35.480016,4.905683,31.022554,55.38586,1.32516,native-better,,
poly_3mm,1,1,35.23691,35.255941,2.826741,30.371271,43.155698,45.423978,44.017295,9.123408,37.713682,89.977607,1.248507,native-better,,
poly_adi,1,1,81.069845,77.655465,9.674094,71.179544,113.654209,104.830327,87.94639,63.116457,82.862878,427.881489,1.13252,native-better,,
poly_atax,1,1,8.896031,7.102795,4.623005,5.678866,28.392257,16.587897,17.223474,5.734125,10.245505,34.565357,2.424887,native-better,,
poly_bicg,1,1,7.480439,7.303926,1.14877,5.750933,10.533223,18.381002,16.066267,12.860149,11.355943,85.19869,2.199675,native-better,,
poly_cholesky,1,1,69.123576,65.267161,12.240031,56.856737,120.39858,96.999752,93.864653,13.002627,82.026702,144.836519,1.43816,native-better,,
poly_correlation,1,1,16.58998,16.522119,1.489204,14.028066,19.936693,26.337973,24.653206,8.250876,21.306177,68.841079,1.492133,native-better,,
poly_covariance,1,1,16.599278,16.363603,2.073793,13.255767,21.818129,24.344794,23.854843,2.447935,20.533014,30.186699,1.457799,native-better,,
poly_deriche,1,1,18.001953,16.145396,7.312086,12.286911,52.054939,28.182992,25.195716,12.291227,20.339667,82.247425,1.560551,native-better,,
poly_doitgen,1,1,12.477427,12.190041,1.495199,10.170073,15.154073,21.87489,21.246532,1.903682,18.598736,26.418936,1.742942,native-better,,
poly_durbin,1,1,4.787375,4.410472,1.021567,3.783425,8.343677,13.029227,12.078652,4.015556,10.175358,33.277135,2.738631,native-better,,
poly_fdtd_2d,1,1,18.702327,16.554918,10.379558,13.656748,67.267598,35.190262,31.390135,14.4759,25.379163,100.379702,1.896121,native-better,,
poly_floyd_warshall,1,1,82.630198,81.455051,9.587757,71.267522,113.031418,131.435226,124.237074,23.070082,115.839794,230.845485,1.525222,native-better,,
poly_gemm,1,1,10.59194,10.511547,1.538546,7.781655,14.945358,27.283371,25.688898,8.698693,20.773329,70.431742,2.443874,native-better,,
poly_gemver,1,1,8.585178,7.358121,5.840038,5.519333,38.106044,19.716114,15.427377,20.261591,12.461026,126.088138,2.096646,native-better,,
poly_gesummv,1,1,5.85538,5.539846,1.02219,4.703228,9.194313,12.563622,11.88555,2.168314,10.322827,18.370153,2.145466,native-better,,
poly_gramschmidt,1,1,22.89258,20.872953,11.564192,17.779722,83.460619,30.000537,30.106917,2.201363,26.075419,34.182721,1.442389,native-better,,
poly_heat_3d,1,1,23.730895,23.020502,4.092603,18.807859,33.999578,52.451387,47.148151,14.051027,40.385871,98.964345,2.048094,native-better,,
poly_jacobi_1d,1,1,4.655486,4.462532,0.613324,3.891498,5.960406,12.174775,11.434291,3.000428,9.612473,26.014203,2.562288,native-better,,
poly_jacobi_2d,1,1,15.090079,14.497978,2.078316,12.001423,19.368009,33.580971,33.261927,2.718649,28.567977,39.820945,2.294246,native-better,,
poly_lu,1,1,82.05865,78.371853,15.314546,70.038866,145.845975,113.84744,105.685818,17.826723,93.70264,173.975665,1.348518,native-better,,
poly_ludcmp,1,1,84.39109,76.520728,25.610189,66.706899,204.758769,118.733629,112.835551,22.826366,96.984341,201.328691,1.474575,native-better,,
poly_mvt,1,1,7.104205,6.457819,1.455433,5.584392,11.074409,16.994809,14.357005,12.0996,11.989644,80.163256,2.223197,native-better,,
