program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
alloc_bulk_buffer,1,1,31.378172,29.011882,7.582433,22.806879,60.9518,40.517158,38.23247,8.843393,31.186018,74.681432,1.317821,native-better,,
alloc_fragmented_pattern,1,1,13.709855,13.588422,1.68202,10.270973,17.350426,29.512448,28.61761,3.67342,22.343126,40.239754,2.106029,native-better,,
alloc_medium_objects,1,1,39.338008,37.35521,13.198948,30.145176,107.347461,84.847259,80.973274,17.090051,68.28094,143.845047,2.167657,native-better,,
alloc_pool_style,1,1,15.395682,13.632425,7.758218,11.783328,55.803343,26.794255,25.277341,4.654825,22.121299,45.847083,1.854207,native-better,,
alloc_realloc_loop,1,1,10.169626,9.647675,1.855758,7.661404,14.951093,20.380755,18.309365,3.957906,15.928385,28.810274,1.897801,native-better,,
alloc_small_objects,1,1,8.582905,8.51412,0.907605,7.439275,11.821255,20.765729,20.199627,2.388459,16.92261,27.013523,2.372486,native-better,,
branch_nested,1,1,56.212495,52.359078,12.699728,44.682312,112.208709,112.443161,111.22037,14.462935,91.610145,144.780047,2.124185,native-better,,
branch_predictable,1,1,40.322415,40.220704,7.260707,31.300937,68.856222,54.050185,52.117365,8.810896,42.352548,75.220692,1.295785,native-better,,
branch_switch_dense,1,1,57.961626,54.475036,12.175867,47.516893,101.239882,52.206784,48.238579,11.328583,41.974806,90.476222,0.885517,wasm-better,,
branch_switch_sparse,1,1,547.213891,524.34747,93.102061,466.880054,872.939137,385.596261,369.284498,43.003731,340.205944,496.56313,0.704274,wasm-better,,
branch_unpredictable,1,1,189.459316,177.837946,40.129729,153.359919,305.15986,369.92728,347.769468,56.939159,307.655008,578.223439,1.955541,native-better,,
call_chain,1,1,29.757555,28.759067,4.598765,23.745102,40.552359,48.175184,44.004028,10.247802,36.511818,79.310145,1.530092,native-better,,
call_indirect,1,1,82.265319,76.89664,21.403702,66.949398,184.812523,179.371351,171.410394,29.668786,138.873747,252.424878,2.229101,native-better,,
call_many_small_funcs,1,1,106.8041,100.969611,20.663326,90.124848,176.343171,132.645755,125.305847,17.662528,111.527912,182.04295,1.241025,native-better,,
call_recursive,1,1,7.368577,6.915199,1.629294,6.139351,14.832847,17.946693,17.863404,1.205254,16.130132,20.817381,2.583209,native-better,,
compute_fp_mix,1,1,94.652816,87.742737,32.162318,74.320181,222.007926,103.030659,102.005641,13.512235,83.420573,133.335127,1.162554,native-better,,
compute_fp_muladd,1,1,100.02343,96.137261,14.192757,87.426952,160.110641,115.756707,109.664288,16.780848,97.066025,162.187945,1.140705,native-better,,
compute_int_add,1,1,128.286176,126.064136,16.05806,110.921812,192.899652,128.024599,124.444793,14.983722,111.165006,171.945462,0.987155,similar,,
compute_int_divmod,1,1,562.934806,553.127015,118.565235,365.139557,848.758654,577.875789,592.153183,127.196739,375.856097,950.000462,1.070556,similar,,
compute_int_mul,1,1,212.59103,207.006744,38.371888,154.270122,305.219472,215.362721,210.215022,27.414548,170.464349,288.64861,1.015498,similar,,
host_env_query,1,1,14.756889,9.223694,15.419692,5.317845,79.480665,25.995276,23.909213,8.247381,15.438858,53.621578,2.592152,native-better,,
host_getcwd_loop,1,1,15.545072,12.350847,9.620068,7.211338,44.904193,24.798871,22.024165,8.421587,15.954352,53.351041,1.783211,native-better,,
host_open_close_loop,1,1,1432.329128,1386.181306,265.540163,1053.402083,2103.553671,1865.171661,1748.838228,338.87803,1492.995985,2900.8389,1.261623,native-better,,
host_read_small,1,1,2367.628488,2508.020938,386.047313,1491.499493,2982.637512,2785.643883,2857.26896,396.034485,2197.239206,3559.916492,1.139252,native-better,,
host_stat_loop,1,1,183.405154,177.919335,43.610862,138.383645,365.585113,407.53575,365.99554,91.454885,313.157397,682.26608,2.057087,native-better,,
host_time_loop,1,1,5.475888,5.182111,0.990046,4.448007,9.805602,15.450635,15.033805,1.630034,13.347565,21.645255,2.901097,native-better,,
host_write_small,1,1,1947.47433,1821.818417,358.23468,1712.658006,2934.169278,2219.795218,2026.110791,476.111427,1883.365311,3485.112597,1.112137,native-better,,
memory_copy_loop,1,1,10.402921,10.238388,1.459193,8.15433,14.063545,22.675095,22.37042,3.18771,19.232395,35.354197,2.184955,native-better,,
memory_random_read,1,1,1621.811447,1508.679736,383.196639,1158.92903,2376.271109,1954.570924,1854.730072,439.726611,1533.534463,3365.833149,1.229373,native-better,,
memory_random_write,1,1,764.790293,694.421676,187.915112,589.037702,1318.601295,976.170113,911.281016,185.007417,751.501752,1456.252906,1.312288,native-better,,
memory_seq_read,1,1,15.597158,15.644874,1.646867,12.596643,19.937649,25.636885,22.699697,12.123533,20.371624,88.156381,1.450935,native-better,,
memory_seq_write,1,1,63.110016,61.886192,6.601064,56.447413,94.420602,88.164891,87.112111,4.972151,78.968073,102.291584,1.407618,native-better,,
memory_stride_read,1,1,56.393934,55.31054,5.020352,50.449966,69.602558,64.013182,61.452063,7.749317,55.993021,91.91466,1.111037,native-better,,
