program,jit_ok,jit_label,jit_native_median_internal_ms,jit_wasm_median_internal_ms,ratio_jit_over_native_internal,jit_native_median_external_ms,jit_wasm_median_external_ms,ratio_jit_over_native_external,jit_error,aot_ok,aot_label,aot_native_median_internal_ms,aot_wasm_median_internal_ms,ratio_aot_over_native_internal,aot_native_median_external_ms,aot_wasm_median_external_ms,ratio_aot_over_native_external,aot_error
llvmss_benchmarkgame_puzzle,1,native-better,65.692553,339.3722,5.166068,66.507897,345.090293,5.188712,,1,native-better,65.675514,339.702835,5.172443,66.506263,344.860352,5.185382,
llvmss_misc_evalloop,1,native-better,421.8011,488.405644,1.157905,422.6138,494.315006,1.169661,,1,native-better,421.638798,487.097455,1.155248,422.424206,492.034915,1.164789,
llvmss_misc_flops-1,1,native-better,632.41533,729.556336,1.153603,633.153738,735.079371,1.160981,,1,native-better,586.524908,729.537348,1.24383,587.32229,734.785126,1.251077,
llvmss_misc_flops-2,1,similar,418.016299,406.959773,0.97355,418.840097,412.483643,0.984824,,1,similar,417.494852,406.925631,0.974684,418.297598,411.967834,0.984868,
llvmss_misc_flops-3,1,similar,939.473289,848.245259,0.902894,940.254387,853.73529,0.907983,,1,similar,939.338368,848.169241,0.902943,940.10325,853.281519,0.907647,
llvmss_misc_flops-4,1,similar,428.537296,410.342829,0.957543,429.333923,415.747898,0.968356,,1,similar,428.484148,410.245709,0.957435,429.302669,415.350632,0.967501,
llvmss_misc_flops-5,1,similar,858.772134,810.193962,0.943433,859.546449,815.787015,0.94909,,1,similar,858.471143,810.196314,0.943767,859.268258,815.313646,0.948846,
llvmss_misc_flops-6,1,similar,840.193955,787.889056,0.937747,841.025434,793.395991,0.943367,,1,similar,840.37001,787.883745,0.937544,841.159083,793.036906,0.942791,
llvmss_misc_flops-7,1,similar,532.68234,522.948411,0.981727,533.450115,528.41858,0.990568,,1,similar,534.682096,523.124586,0.978384,535.448569,528.306109,0.986661,
llvmss_misc_flops-8,1,similar,860.173567,825.844562,0.960091,860.986062,831.449197,0.965694,,1,similar,860.194352,826.308608,0.960607,860.940957,831.471394,0.965771,
llvmss_misc_flops,1,native-better,3634.125841,4572.660018,1.258256,3634.970359,4578.231325,1.259496,,1,native-better,3633.985849,4571.992606,1.258121,3634.774564,4577.199905,1.25928,
llvmss_misc_mandel-2,1,similar,590.486654,606.991679,1.027952,591.253498,612.489438,1.035917,,1,similar,590.49165,606.534862,1.027169,591.276152,611.667391,1.034487,
llvmss_misc_matmul_f64_4x4,1,native-better,404.659682,890.085464,2.19959,405.439995,895.61695,2.209,,1,native-better,404.347163,889.872424,2.200763,405.109309,894.933438,2.209116,
llvmss_misc_reedsolomon,1,similar,2966.46715,2802.920406,0.944868,2967.274941,2808.527592,0.946501,,1,similar,2965.450158,2802.877301,0.945178,2966.282752,2807.975031,0.946631,
llvmss_misc_richards_benchmark,1,native-better,452.202829,821.762708,1.817244,452.964304,827.373895,1.826576,,1,native-better,451.819322,821.88637,1.81906,452.615384,827.21913,1.827643,
llvmss_misc_salsa20,1,native-better,3711.743878,4532.053684,1.221004,3712.517728,4537.52319,1.222223,,1,native-better,3711.471757,4531.799095,1.221025,3712.267391,4536.932313,1.222146,
llvmss_shootout_hello,1,native-better,0.013601,0.056464,4.151459,0.529543,4.448058,8.399812,,1,native-better,0.013631,0.057684,4.232016,0.492067,3.995608,8.120047,
llvmss_stanford_bubblesort,1,native-better,11.370054,16.254422,1.429582,11.993073,20.820205,1.736019,,1,native-better,11.314939,16.262967,1.4373,11.890241,20.344638,1.711037,
llvmss_stanford_floatmm,1,native-better,187.748475,331.40359,1.765147,188.508867,336.804515,1.786677,,1,native-better,187.675546,331.47239,1.766199,188.404689,336.468967,1.785884,
llvmss_stanford_intmm,1,native-better,0.316029,0.70994,2.246439,0.827252,5.051618,6.106504,,1,native-better,0.35833,0.822599,2.295645,0.923861,5.403506,5.848831,
llvmss_stanford_oscar,1,native-better,0.576326,1.187826,2.061033,1.170328,6.457553,5.51773,,1,native-better,0.497496,1.080917,2.172715,0.986034,4.967081,5.037434,
llvmss_stanford_perm,1,native-better,8.215134,19.160082,2.332291,8.768586,23.791366,2.71325,,1,native-better,8.218871,19.221664,2.338723,8.839522,23.849012,2.697998,
llvmss_stanford_puzzle,1,native-better,51.633846,77.358687,1.498217,52.299739,82.426495,1.57604,,1,native-better,51.708429,77.419495,1.497232,52.409701,82.071457,1.565959,
llvmss_stanford_queens,1,native-better,5.31224,15.16809,2.855309,5.872283,19.80985,3.373449,,1,native-better,5.297579,15.140709,2.858043,5.829667,19.446664,3.335811,
llvmss_stanford_quicksort,1,similar,26.046487,27.919526,1.071911,26.654038,32.529601,1.220438,,1,similar,26.094327,28.035469,1.074389,26.680661,32.375268,1.213436,
llvmss_stanford_realmm,1,native-better,0.415011,0.73752,1.777107,0.916774,4.960687,5.411023,,1,native-better,0.57906,0.76925,1.328446,1.212412,7.514879,6.198286,
llvmss_stanford_towers,1,native-better,6.391788,10.342764,1.618133,6.934857,14.841766,2.140169,,1,native-better,6.369678,10.277314,1.613475,6.9069,14.38617,2.082869,
llvmss_stanford_treesort,1,wasm-better,47.094255,39.515787,0.839079,48.348149,45.094016,0.932694,,1,wasm-better,47.240702,39.582639,0.837893,48.663565,44.683517,0.918213,
