program,jit_ok,jit_label,jit_native_median_internal_ms,jit_wasm_median_internal_ms,ratio_jit_over_native_internal,jit_native_median_external_ms,jit_wasm_median_external_ms,ratio_jit_over_native_external,jit_error,aot_ok,aot_label,aot_native_median_internal_ms,aot_wasm_median_internal_ms,ratio_aot_over_native_internal,aot_native_median_external_ms,aot_wasm_median_external_ms,ratio_aot_over_native_external,aot_error
llvmss_benchmarkgame_puzzle,1,native-better,69.567069,385.166754,5.536625,78.938911,406.474012,5.149222,,1,native-better,73.522543,374.564922,5.094559,82.641491,391.241001,4.734196,
llvmss_dhrystone_dry,1,native-better,363.351577,402.688525,1.108261,372.607506,418.803543,1.12398,,1,native-better,289.081259,374.725288,1.296263,299.139822,414.452309,1.38548,
llvmss_linpack_linpack-pc,1,native-better,1231.999711,3112.082287,2.526041,1242.076105,3130.979092,2.520763,,1,native-better,946.026789,3198.980132,3.38149,953.758237,3216.272493,3.372209,
llvmss_misc_evalloop,1,native-better,439.430205,521.995589,1.187892,450.537679,535.384101,1.188323,,1,native-better,528.735343,665.66176,1.25897,538.121585,682.675056,1.268626,
llvmss_misc_flops-1,1,native-better,600.045599,749.229902,1.248622,611.877309,764.585599,1.249573,,1,native-better,623.59454,822.275866,1.318607,630.638312,840.567807,1.332884,
llvmss_misc_flops-2,1,similar,389.190248,377.105586,0.968949,399.457381,394.183172,0.986797,,1,similar,423.976796,391.888374,0.924316,433.010124,407.485051,0.941052,
llvmss_misc_flops-3,1,similar,877.887041,850.648232,0.968972,889.228405,865.54939,0.973371,,1,similar,895.07463,911.22142,1.01804,905.293027,927.309076,1.024319,
llvmss_misc_flops-4,1,similar,420.245723,414.323385,0.985907,429.465356,429.111425,0.999176,,1,similar,454.382064,448.71378,0.987525,466.900131,467.868682,1.002074,
llvmss_misc_flops-5,1,similar,992.728199,982.13452,0.989329,1002.971904,996.948607,0.993995,,1,wasm-better,1193.787342,898.764745,0.752868,1285.718985,916.929214,0.713165,
llvmss_misc_flops-6,1,native-better,898.479685,1178.460517,1.311616,907.665525,1193.369358,1.314768,,1,similar,935.931903,959.715238,1.025411,999.868481,977.088654,0.977217,
llvmss_misc_flops-7,1,similar,618.096476,580.564981,0.939279,634.432665,597.430143,0.941676,,1,similar,746.22434,690.746163,0.925655,754.129635,710.28317,0.941858,
llvmss_misc_flops-8,1,similar,977.537108,955.618453,0.977578,987.534081,970.067593,0.982313,,1,similar,997.803429,1077.15811,1.079529,1007.743759,1092.808694,1.084411,
llvmss_misc_flops,1,native-better,4061.025942,5243.350119,1.291139,4071.08026,5258.706071,1.291723,,1,native-better,4172.008881,4720.357793,1.131435,4182.500972,4735.977259,1.132331,
llvmss_misc_mandel-2,1,similar,585.446907,615.123037,1.05069,596.055295,627.698082,1.053087,,1,similar,689.162245,685.492384,0.994675,697.516955,704.485692,1.009991,
llvmss_misc_matmul_f64_4x4,1,native-better,557.242624,1057.39467,1.897548,567.098468,1072.016518,1.890353,,1,native-better,556.680425,1123.844014,2.018832,563.916645,1139.900453,2.021399,
llvmss_misc_reedsolomon,1,similar,3607.745481,3890.844208,1.07847,3620.693711,3906.151648,1.078841,,1,similar,3961.983692,3816.92156,0.963386,3971.357738,3831.490606,0.964781,
llvmss_misc_richards_benchmark,1,native-better,625.272163,1313.778083,2.10113,636.201179,1329.787764,2.0902,,1,native-better,678.386122,1276.789699,1.882099,688.577207,1294.517701,1.879989,
llvmss_misc_salsa20,1,native-better,3785.928821,4666.347354,1.23255,3796.178228,4681.88145,1.233314,,1,native-better,3888.952172,4932.038759,1.268218,3898.176799,4948.847102,1.269529,
llvmss_shootout_hello,1,native-better,0.020339,0.099128,4.873789,7.953879,13.46575,1.692979,,1,native-better,0.023548,0.102276,4.343207,5.630696,12.668388,2.24988,
llvmss_stanford_bubblesort,1,native-better,13.223871,18.291415,1.383212,22.712197,35.651157,1.569692,,1,native-better,12.656125,17.681995,1.39711,21.979831,34.600589,1.574197,
llvmss_stanford_floatmm,1,native-better,285.227071,348.206182,1.220803,309.766399,375.070433,1.210817,,1,native-better,208.979388,263.046267,1.258719,219.126919,278.035217,1.268832,
llvmss_stanford_intmm,1,native-better,0.3083,0.494811,1.604967,8.720054,17.549235,2.012514,,1,native-better,0.33085,0.483832,1.462395,4.787729,12.505433,2.611976,
llvmss_stanford_oscar,1,native-better,0.808588,1.409466,1.743119,10.996137,18.796358,1.70936,,1,native-better,0.603418,1.406599,2.33105,5.57426,15.442277,2.770283,
llvmss_stanford_perm,1,native-better,9.435719,30.222546,3.202993,19.409241,46.19063,2.379827,,1,native-better,10.590851,28.297981,2.671927,31.811592,46.176789,1.451571,
llvmss_stanford_puzzle,1,native-better,75.388577,95.75009,1.270088,84.125985,111.738055,1.328223,,1,native-better,57.760071,73.780769,1.277366,66.777599,87.857449,1.315672,
llvmss_stanford_queens,1,native-better,5.606904,17.436825,3.109885,16.204684,29.925571,1.846724,,1,native-better,5.556538,18.348726,3.302187,14.377166,32.983523,2.29416,
llvmss_stanford_quicksort,1,native-better,33.452442,39.970306,1.19484,40.879548,56.662592,1.386087,,1,similar,44.879954,41.598567,0.926885,53.701608,61.699266,1.148928,
llvmss_stanford_realmm,1,native-better,0.540668,0.804644,1.48824,8.378928,18.782879,2.24168,,1,native-better,0.656959,1.570001,2.389802,8.017,19.720733,2.459865,
llvmss_stanford_towers,1,native-better,16.511268,24.911183,1.508738,24.08095,45.172359,1.875855,,1,native-better,14.828451,16.311618,1.100022,26.56475,31.912716,1.201318,
llvmss_stanford_treesort,1,wasm-better,59.125186,52.057499,0.880462,70.40316,68.220107,0.968992,,1,similar,60.859192,55.682839,0.914945,72.275114,75.212025,1.040635,
