program,native_ok,native_mean_internal_ms,native_median_internal_ms,native_std_internal_ms,native_min_internal_ms,native_max_internal_ms,native_error,jit_ok,jit_mean_internal_ms,jit_median_internal_ms,jit_std_internal_ms,jit_min_internal_ms,jit_max_internal_ms,ratio_jit_over_native,label_jit,jit_error,aot_ok,aot_mean_internal_ms,aot_median_internal_ms,aot_std_internal_ms,aot_min_internal_ms,aot_max_internal_ms,ratio_aot_over_native,label_aot,aot_error,wasm_ok,wasm_mean_internal_ms,wasm_median_internal_ms,wasm_std_internal_ms,wasm_min_internal_ms,wasm_max_internal_ms,ratio_wasm_over_native,label,wasm_error
alloc_bulk_buffer,1,8.688059,8.681582,0.243287,8.307507,9.386198,,1,8.700339,8.662431,0.316119,8.2347,9.432782,0.997794,similar,,1,8.646546,8.553797,0.319183,8.216094,9.370118,0.985281,similar,,1,8.700339,8.662431,0.316119,8.2347,9.432782,0.997794,similar,
alloc_fragmented_pattern,1,0.288511,0.274689,0.046283,0.257943,0.456383,,1,0.46178,0.44462,0.058437,0.411626,0.715301,1.618633,native-better,,1,0.43958,0.437999,0.017263,0.412186,0.473613,1.594532,native-better,,1,0.46178,0.44462,0.058437,0.411626,0.715301,1.618633,native-better,
alloc_medium_objects,1,0.769012,0.734285,0.152104,0.698969,1.560857,,1,1.80685,1.772499,0.082546,1.720297,2.070376,2.413911,native-better,,1,1.796795,1.767842,0.107408,1.593381,2.151551,2.407567,native-better,,1,1.80685,1.772499,0.082546,1.720297,2.070376,2.413911,native-better,
alloc_pool_style,1,0.287805,0.282743,0.0165,0.269267,0.336375,,1,0.319462,0.310083,0.019749,0.299202,0.366815,1.096694,similar,,1,0.318364,0.309899,0.033413,0.296998,0.487331,1.096047,similar,,1,0.319462,0.310083,0.019749,0.299202,0.366815,1.096694,similar,
alloc_realloc_loop,1,0.119285,0.118289,0.00364,0.116268,0.135731,,1,0.141954,0.135577,0.019043,0.127842,0.204455,1.14616,native-better,,1,0.136176,0.134677,0.005994,0.12755,0.149306,1.138543,native-better,,1,0.141954,0.135577,0.019043,0.127842,0.204455,1.14616,native-better,
alloc_small_objects,1,0.140015,0.136193,0.008425,0.136094,0.178828,,1,0.294433,0.286929,0.02113,0.285416,0.396119,2.106779,native-better,,1,0.301783,0.287076,0.030599,0.28537,0.396359,2.107865,native-better,,1,0.294433,0.286929,0.02113,0.285416,0.396119,2.106779,native-better,
branch_nested,1,12.616404,12.396006,1.148233,11.106459,15.569633,,1,12.437424,12.40534,0.328419,11.935331,13.536066,1.000753,similar,,1,12.516208,12.400885,0.45493,11.983652,14.176716,1.000394,similar,,1,12.437424,12.40534,0.328419,11.935331,13.536066,1.000753,similar,
branch_predictable,1,15.032937,14.953755,0.269239,14.657489,15.660586,,1,11.100048,11.070896,0.15378,10.832796,11.370899,0.740342,wasm-better,,1,11.066854,11.003398,0.190056,10.839929,11.617403,0.735828,wasm-better,,1,11.100048,11.070896,0.15378,10.832796,11.370899,0.740342,wasm-better,
branch_switch_dense,1,13.498832,13.434843,0.238043,13.094538,14.217233,,1,10.378685,10.384688,0.177967,10.132308,10.638863,0.772967,wasm-better,,1,10.409732,10.434224,0.167915,10.171577,10.755727,0.776654,wasm-better,,1,10.378685,10.384688,0.177967,10.132308,10.638863,0.772967,wasm-better,
branch_switch_sparse,1,207.883626,207.199499,2.635828,204.131409,217.827909,,1,140.630287,139.938642,2.345127,138.405831,149.799483,0.675381,wasm-better,,1,140.427082,140.289631,1.773395,137.333426,147.201576,0.677075,wasm-better,,1,140.630287,139.938642,2.345127,138.405831,149.799483,0.675381,wasm-better,
branch_unpredictable,1,50.217388,50.075949,0.68532,49.086692,51.773927,,1,129.361219,129.069194,2.084477,126.183981,138.617898,2.577469,native-better,,1,129.915531,129.649854,1.840644,126.374897,137.429835,2.589064,native-better,,1,129.361219,129.069194,2.084477,126.183981,138.617898,2.577469,native-better,
call_chain,1,8.696681,8.691234,0.217466,8.389148,9.485108,,1,8.663955,8.607838,0.199797,8.370579,9.06408,0.990405,similar,,1,8.696369,8.569769,0.307866,8.323626,9.66734,0.986024,similar,,1,8.663955,8.607838,0.199797,8.370579,9.06408,0.990405,similar,
call_indirect,1,27.701627,27.74532,0.444485,26.775877,28.631096,,1,34.057622,33.918883,0.65485,33.330384,36.617237,1.222508,native-better,,1,33.981934,33.889632,0.594899,33.325235,36.256719,1.221454,native-better,,1,34.057622,33.918883,0.65485,33.330384,36.617237,1.222508,native-better,
call_many_small_funcs,1,37.367177,37.406815,0.442938,36.312441,38.143,,1,43.080987,43.021284,0.55978,42.013678,44.0418,1.150092,native-better,,1,42.915327,42.822592,0.498069,42.113811,44.423716,1.14478,native-better,,1,43.080987,43.021284,0.55978,42.013678,44.0418,1.150092,native-better,
call_recursive,1,9.387206,9.369488,0.152821,9.195247,9.762361,,1,13.727572,13.730101,0.14467,13.433261,14.050105,1.465406,native-better,,1,13.803505,13.727915,0.266364,13.481508,14.540272,1.465172,native-better,,1,13.727572,13.730101,0.14467,13.433261,14.050105,1.465406,native-better,
compute_fp_mix,1,31.416322,31.430124,0.33913,30.427054,31.997494,,1,31.505406,31.459056,0.262188,31.044411,32.10789,1.000921,similar,,1,31.467012,31.461157,0.343956,30.731189,32.162525,1.000987,similar,,1,31.505406,31.459056,0.262188,31.044411,32.10789,1.000921,similar,
compute_fp_muladd,1,35.988162,36.00626,0.265377,35.510421,36.455063,,1,36.251044,36.219295,0.287741,35.763279,36.766626,1.005917,similar,,1,36.256447,36.22969,0.310616,35.471146,36.912375,1.006205,similar,,1,36.251044,36.219295,0.287741,35.763279,36.766626,1.005917,similar,
compute_int_add,1,49.581991,49.589968,0.423595,48.769006,50.921249,,1,38.788144,38.781942,0.264265,38.306443,39.412464,0.782052,wasm-better,,1,38.788705,38.803628,0.258265,38.091665,39.422159,0.782489,wasm-better,,1,38.788144,38.781942,0.264265,38.306443,39.412464,0.782052,wasm-better,
compute_int_divmod,1,48.402274,48.316113,0.324065,47.777465,49.204443,,1,49.622093,49.600408,0.419023,48.833217,50.718449,1.026581,similar,,1,49.618429,49.484999,0.490516,48.959505,51.147059,1.024192,similar,,1,49.622093,49.600408,0.419023,48.833217,50.718449,1.026581,similar,
