program,runtime,run_index,internal_ms,ok,error
alloc_bulk_buffer,native,1,8.524209,1,
alloc_bulk_buffer,wasm-jit,1,9.325464,1,
alloc_bulk_buffer,wasm-aot,1,8.286403,1,
alloc_bulk_buffer,native,2,8.650752,1,
alloc_bulk_buffer,wasm-jit,2,8.389485,1,
alloc_bulk_buffer,wasm-aot,2,9.291759,1,
alloc_bulk_buffer,native,3,8.511958,1,
alloc_bulk_buffer,wasm-jit,3,8.69701,1,
alloc_bulk_buffer,wasm-aot,3,8.917575,1,
alloc_bulk_buffer,native,4,8.734321,1,
alloc_bulk_buffer,wasm-jit,4,8.705524,1,
alloc_bulk_buffer,wasm-aot,4,8.521263,1,
alloc_bulk_buffer,native,5,8.551601,1,
alloc_bulk_buffer,wasm-jit,5,8.630953,1,
alloc_bulk_buffer,wasm-aot,5,8.216094,1,
alloc_bulk_buffer,native,6,8.46125,1,
alloc_bulk_buffer,wasm-jit,6,8.332157,1,
alloc_bulk_buffer,wasm-aot,6,8.256495,1,
alloc_bulk_buffer,native,7,8.515431,1,
alloc_bulk_buffer,wasm-jit,7,9.181202,1,
alloc_bulk_buffer,wasm-aot,7,9.034146,1,
alloc_bulk_buffer,native,8,8.808193,1,
alloc_bulk_buffer,wasm-jit,8,8.918123,1,
alloc_bulk_buffer,wasm-aot,8,8.884884,1,
alloc_bulk_buffer,native,9,8.723008,1,
alloc_bulk_buffer,wasm-jit,9,8.988391,1,
alloc_bulk_buffer,wasm-aot,9,9.370118,1,
alloc_bulk_buffer,native,10,8.708561,1,
alloc_bulk_buffer,wasm-jit,10,8.731237,1,
alloc_bulk_buffer,wasm-aot,10,8.509838,1,
alloc_bulk_buffer,native,11,8.307507,1,
alloc_bulk_buffer,wasm-jit,11,8.2347,1,
alloc_bulk_buffer,wasm-aot,11,8.453269,1,
alloc_bulk_buffer,native,12,8.763212,1,
alloc_bulk_buffer,wasm-jit,12,9.021826,1,
alloc_bulk_buffer,wasm-aot,12,8.615874,1,
alloc_bulk_buffer,native,13,8.771621,1,
alloc_bulk_buffer,wasm-jit,13,8.580624,1,
alloc_bulk_buffer,wasm-aot,13,8.683358,1,
alloc_bulk_buffer,native,14,8.659244,1,
alloc_bulk_buffer,wasm-jit,14,8.937617,1,
alloc_bulk_buffer,wasm-aot,14,8.574929,1,
alloc_bulk_buffer,native,15,8.703919,1,
alloc_bulk_buffer,wasm-jit,15,8.446891,1,
alloc_bulk_buffer,wasm-aot,15,8.327008,1,
alloc_bulk_buffer,native,16,9.06642,1,
alloc_bulk_buffer,wasm-jit,16,8.339211,1,
alloc_bulk_buffer,wasm-aot,16,8.245797,1,
alloc_bulk_buffer,native,17,8.722156,1,
alloc_bulk_buffer,wasm-jit,17,8.615777,1,
alloc_bulk_buffer,wasm-aot,17,8.422468,1,
alloc_bulk_buffer,native,18,8.778579,1,
alloc_bulk_buffer,wasm-jit,18,8.745037,1,
alloc_bulk_buffer,wasm-aot,18,8.510628,1,
alloc_bulk_buffer,native,19,8.449613,1,
alloc_bulk_buffer,wasm-jit,19,8.895063,1,
alloc_bulk_buffer,wasm-aot,19,8.71155,1,
alloc_bulk_buffer,native,20,8.54937,1,
alloc_bulk_buffer,wasm-jit,20,8.477832,1,
alloc_bulk_buffer,wasm-aot,20,8.505776,1,
