program,runtime,run_index,elapsed_ms,ok,error
alloc_bulk_buffer,native,1,23.934356,1,
alloc_bulk_buffer,wasm,1,23.165618,1,
alloc_bulk_buffer,native,2,22.472751,1,
alloc_bulk_buffer,wasm,2,26.936516,1,
alloc_bulk_buffer,native,3,22.662971,1,
alloc_bulk_buffer,wasm,3,29.100022,1,
alloc_bulk_buffer,native,4,21.634949,1,
alloc_bulk_buffer,wasm,4,26.928383,1,
alloc_bulk_buffer,native,5,22.440968,1,
alloc_bulk_buffer,wasm,5,30.829511,1,
alloc_bulk_buffer,native,6,21.208092,1,
alloc_bulk_buffer,wasm,6,54.118283,1,
alloc_bulk_buffer,native,7,22.843065,1,
alloc_bulk_buffer,wasm,7,28.080581,1,
alloc_bulk_buffer,native,8,21.753182,1,
alloc_bulk_buffer,wasm,8,26.640095,1,
alloc_bulk_buffer,native,9,22.147787,1,
alloc_bulk_buffer,wasm,9,26.112291,1,
alloc_bulk_buffer,native,10,25.020124,1,
alloc_bulk_buffer,wasm,10,26.248595,1,
alloc_bulk_buffer,native,11,25.387698,1,
alloc_bulk_buffer,wasm,11,27.002049,1,
alloc_bulk_buffer,native,12,23.976226,1,
alloc_bulk_buffer,wasm,12,26.093362,1,
alloc_bulk_buffer,native,13,21.866037,1,
alloc_bulk_buffer,wasm,13,26.486992,1,
alloc_bulk_buffer,native,14,19.098335,1,
alloc_bulk_buffer,wasm,14,25.236243,1,
alloc_bulk_buffer,native,15,22.321509,1,
alloc_bulk_buffer,wasm,15,28.90524,1,
alloc_bulk_buffer,native,16,23.066079,1,
alloc_bulk_buffer,wasm,16,29.115103,1,
alloc_bulk_buffer,native,17,18.823375,1,
alloc_bulk_buffer,wasm,17,28.065815,1,
alloc_bulk_buffer,native,18,21.452023,1,
alloc_bulk_buffer,wasm,18,28.106859,1,
alloc_bulk_buffer,native,19,22.375947,1,
alloc_bulk_buffer,wasm,19,24.666579,1,
alloc_bulk_buffer,native,20,19.934862,1,
alloc_bulk_buffer,wasm,20,30.063103,1,
alloc_bulk_buffer,native,21,20.974975,1,
alloc_bulk_buffer,wasm,21,27.762365,1,
alloc_bulk_buffer,native,22,20.913782,1,
alloc_bulk_buffer,wasm,22,26.290982,1,
alloc_bulk_buffer,native,23,20.827375,1,
alloc_bulk_buffer,wasm,23,26.373219,1,
alloc_bulk_buffer,native,24,21.841027,1,
alloc_bulk_buffer,wasm,24,26.633649,1,
alloc_bulk_buffer,native,25,19.776525,1,
alloc_bulk_buffer,wasm,25,27.047055,1,
alloc_bulk_buffer,native,26,22.562021,1,
alloc_bulk_buffer,wasm,26,25.479384,1,
alloc_bulk_buffer,native,27,22.077008,1,
alloc_bulk_buffer,wasm,27,26.626835,1,
alloc_bulk_buffer,native,28,22.649847,1,
alloc_bulk_buffer,wasm,28,23.274604,1,
alloc_bulk_buffer,native,29,18.734357,1,
alloc_bulk_buffer,wasm,29,25.63134,1,
alloc_bulk_buffer,native,30,20.357195,1,
alloc_bulk_buffer,wasm,30,25.811055,1,
alloc_small_objects,native,1,5.836875,1,
alloc_small_objects,wasm,1,14.722116,1,
alloc_small_objects,native,2,5.953814,1,
alloc_small_objects,wasm,2,13.834687,1,
alloc_small_objects,native,3,6.446632,1,
alloc_small_objects,wasm,3,15.026025,1,
alloc_small_objects,native,4,6.423,1,
alloc_small_objects,wasm,4,13.622966,1,
alloc_small_objects,native,5,6.716098,1,
alloc_small_objects,wasm,5,15.470546,1,
alloc_small_objects,native,6,6.331189,1,
alloc_small_objects,wasm,6,14.609462,1,
alloc_small_objects,native,7,7.016608,1,
alloc_small_objects,wasm,7,13.322596,1,
alloc_small_objects,native,8,6.132294,1,
alloc_small_objects,wasm,8,12.438426,1,
alloc_small_objects,native,9,8.684218,1,
alloc_small_objects,wasm,9,17.913818,1,
alloc_small_objects,native,10,11.165985,1,
alloc_small_objects,wasm,10,18.798948,1,
alloc_small_objects,native,11,7.678172,1,
alloc_small_objects,wasm,11,13.317025,1,
