program,runtime,run_index,elapsed_ms,ok,error
host_open_close_loop,native,1,99984.162039,1,
host_open_close_loop,wasm,1,121637.00244,1,
host_open_close_loop,native,2,95616.922213,1,
host_open_close_loop,wasm,2,116269.792396,1,
host_open_close_loop,native,3,93896.275635,1,
host_open_close_loop,wasm,3,117008.454477,1,
host_open_close_loop,native,4,116908.726957,1,
host_open_close_loop,wasm,4,130219.714371,1,
host_open_close_loop,native,5,96055.314312,1,
host_open_close_loop,wasm,5,115649.906341,1,
host_open_close_loop,native,6,94691.211599,1,
host_open_close_loop,wasm,6,115731.00452,1,
host_open_close_loop,native,7,94497.128009,1,
host_open_close_loop,wasm,7,116288.975397,1,
host_open_close_loop,native,8,94961.412849,1,
host_open_close_loop,wasm,8,115906.012094,1,
host_open_close_loop,native,9,95652.227042,1,
host_open_close_loop,wasm,9,116942.592195,1,
host_open_close_loop,native,10,94774.67538,1,
host_open_close_loop,wasm,10,115883.067146,1,
host_open_close_loop,native,11,94587.817648,1,
host_open_close_loop,wasm,11,114792.125589,1,
host_open_close_loop,native,12,94823.679242,1,
host_open_close_loop,wasm,12,114806.666231,1,
host_open_close_loop,native,13,95397.9076,1,
host_open_close_loop,wasm,13,115736.415012,1,
host_open_close_loop,native,14,94497.428538,1,
host_open_close_loop,wasm,14,115892.411336,1,
host_open_close_loop,native,15,94319.286779,1,
host_open_close_loop,wasm,15,116920.106665,1,
host_open_close_loop,native,16,98378.036301,1,
host_open_close_loop,wasm,16,114920.690862,1,
host_open_close_loop,native,17,94642.158414,1,
host_open_close_loop,wasm,17,117618.13165,1,
host_open_close_loop,native,18,96244.488233,1,
host_open_close_loop,wasm,18,115302.78161,1,
host_open_close_loop,native,19,95397.277102,1,
host_open_close_loop,wasm,19,114939.550982,1,
host_open_close_loop,native,20,95352.222647,1,
host_open_close_loop,wasm,20,115564.705509,1,
host_open_close_loop,native,21,97212.392655,1,
host_open_close_loop,wasm,21,115626.130216,1,
host_open_close_loop,native,22,96169.120617,1,
host_open_close_loop,wasm,22,114794.642187,1,
host_open_close_loop,native,23,94009.171642,1,
host_open_close_loop,wasm,23,114289.818014,1,
host_open_close_loop,native,24,93792.155926,1,
host_open_close_loop,wasm,24,115066.211624,1,
host_open_close_loop,native,25,94469.320515,1,
host_open_close_loop,wasm,25,114459.338949,1,
host_open_close_loop,native,26,94510.784084,1,
host_open_close_loop,wasm,26,113918.584497,1,
host_open_close_loop,native,27,94066.922034,1,
host_open_close_loop,wasm,27,115010.852193,1,
host_open_close_loop,native,28,93720.38364,1,
host_open_close_loop,wasm,28,114364.234856,1,
host_open_close_loop,native,29,93854.710988,1,
host_open_close_loop,wasm,29,114170.505546,1,
host_open_close_loop,native,30,94535.318424,1,
host_open_close_loop,wasm,30,116037.501974,1,
host_read_small,native,1,66002.882276,1,
host_read_small,wasm,1,74097.892418,1,
host_read_small,native,2,62504.572118,1,
host_read_small,wasm,2,76095.71009,1,
host_read_small,native,3,62179.013802,1,
host_read_small,wasm,3,80150.7607,1,
host_read_small,native,4,62436.057867,1,
host_read_small,wasm,4,73980.62634,1,
host_read_small,native,5,62584.596224,1,
host_read_small,wasm,5,74808.673922,1,
host_read_small,native,6,65073.37204,1,
host_read_small,wasm,6,73697.841444,1,
host_read_small,native,7,61999.36538,1,
host_read_small,wasm,7,74882.082698,1,
host_read_small,native,8,63199.725001,1,
host_read_small,wasm,8,77096.810417,1,
host_read_small,native,9,61993.217472,1,
host_read_small,wasm,9,73520.568977,1,
host_read_small,native,10,62569.178863,1,
host_read_small,wasm,10,74298.94389,1,
host_read_small,native,11,61951.227455,1,
host_read_small,wasm,11,73975.182445,1,
host_read_small,native,12,62984.530134,1,
host_read_small,wasm,12,77584.00266,1,
host_read_small,native,13,62262.700744,1,
host_read_small,wasm,13,74034.054127,1,
host_read_small,native,14,64122.663424,1,
host_read_small,wasm,14,74521.043643,1,
host_read_small,native,15,64226.818121,1,
host_read_small,wasm,15,75079.032171,1,
host_read_small,native,16,62008.459227,1,
host_read_small,wasm,16,74673.228988,1,
host_read_small,native,17,62418.647492,1,
host_read_small,wasm,17,75127.355773,1,
host_read_small,native,18,65595.003123,1,
host_read_small,wasm,18,79331.198719,1,
host_read_small,native,19,63212.210645,1,
host_read_small,wasm,19,73818.205915,1,
host_read_small,native,20,62464.492339,1,
host_read_small,wasm,20,75084.470644,1,
host_read_small,native,21,67004.639988,1,
host_read_small,wasm,21,77290.759262,1,
host_read_small,native,22,66501.875919,1,
host_read_small,wasm,22,76015.989109,1,
host_read_small,native,23,62584.257521,1,
host_read_small,wasm,23,74126.933859,1,
host_read_small,native,24,63659.307973,1,
host_read_small,wasm,24,74324.645963,1,
host_read_small,native,25,64480.451106,1,
host_read_small,wasm,25,76517.028525,1,
host_read_small,native,26,62181.193058,1,
host_read_small,wasm,26,78626.046228,1,
host_read_small,native,27,63222.143288,1,
host_read_small,wasm,27,74111.456869,1,
host_read_small,native,28,62406.928411,1,
host_read_small,wasm,28,76509.751408,1,
host_read_small,native,29,62622.627307,1,
host_read_small,wasm,29,79446.284926,1,
