program,runtime,run_index,internal_ms,external_ms,ok,error
llvmss_benchmarkgame_puzzle,native,1,78.125288,97.784421,1,
llvmss_benchmarkgame_puzzle,wasm-aot,1,364.155136,374.561909,1,
llvmss_benchmarkgame_puzzle,native,2,80.091327,91.506397,1,
llvmss_benchmarkgame_puzzle,wasm-aot,2,527.652823,542.502571,1,
llvmss_benchmarkgame_puzzle,native,3,75.012928,80.941967,1,
llvmss_benchmarkgame_puzzle,wasm-aot,3,378.733576,392.59697,1,
llvmss_benchmarkgame_puzzle,native,4,64.88439,73.980781,1,
llvmss_benchmarkgame_puzzle,wasm-aot,4,403.920753,420.432035,1,
llvmss_benchmarkgame_puzzle,native,5,70.149392,76.713017,1,
llvmss_benchmarkgame_puzzle,wasm-aot,5,357.23752,374.980647,1,
llvmss_misc_flops-1,native,1,571.811166,582.034897,1,
llvmss_misc_flops-1,wasm-aot,1,729.159638,743.454809,1,
llvmss_misc_flops-1,native,2,555.105422,562.158859,1,
llvmss_misc_flops-1,wasm-aot,2,815.854416,831.765977,1,
llvmss_misc_flops-1,native,3,616.404931,624.224106,1,
llvmss_misc_flops-1,wasm-aot,3,717.606069,731.460227,1,
llvmss_misc_flops-1,native,4,742.626615,752.284011,1,
llvmss_misc_flops-1,wasm-aot,4,705.585255,719.484628,1,
llvmss_misc_flops-1,native,5,559.153,570.44832,1,
llvmss_misc_flops-1,wasm-aot,5,688.783076,706.008526,1,
llvmss_misc_flops-2,native,1,392.631811,400.465333,1,
llvmss_misc_flops-2,wasm-aot,1,419.463149,433.408175,1,
llvmss_misc_flops-2,native,2,402.805197,411.365617,1,
llvmss_misc_flops-2,wasm-aot,2,368.359049,381.768323,1,
llvmss_misc_flops-2,native,3,375.67823,382.853808,1,
llvmss_misc_flops-2,wasm-aot,3,380.675677,394.286509,1,
llvmss_misc_flops-2,native,4,414.442584,424.364328,1,
llvmss_misc_flops-2,wasm-aot,4,375.976284,392.966345,1,
llvmss_misc_flops-2,native,5,390.691219,400.051257,1,
llvmss_misc_flops-2,wasm-aot,5,401.230291,418.193244,1,
llvmss_misc_flops-3,native,1,970.135087,977.778418,1,
llvmss_misc_flops-3,wasm-aot,1,836.887184,854.335793,1,
llvmss_misc_flops-3,native,2,884.302749,895.68891,1,
llvmss_misc_flops-3,wasm-aot,2,824.738607,842.4063,1,
llvmss_misc_flops-3,native,3,865.46101,874.858394,1,
llvmss_misc_flops-3,wasm-aot,3,807.565248,821.585052,1,
llvmss_misc_flops-3,native,4,908.453109,916.213321,1,
llvmss_misc_flops-3,wasm-aot,4,846.994174,859.7661,1,
llvmss_misc_flops-3,native,5,984.964182,994.653057,1,
llvmss_misc_flops-3,wasm-aot,5,874.722524,889.855402,1,
llvmss_misc_flops-4,native,1,437.838133,446.223871,1,
llvmss_misc_flops-4,wasm-aot,1,483.797987,501.796484,1,
llvmss_misc_flops-4,native,2,556.667809,564.337313,1,
llvmss_misc_flops-4,wasm-aot,2,422.205504,436.561057,1,
llvmss_misc_flops-4,native,3,392.482234,402.199972,1,
llvmss_misc_flops-4,wasm-aot,3,383.52648,401.498099,1,
llvmss_misc_flops-4,native,4,391.945768,402.298731,1,
llvmss_misc_flops-4,wasm-aot,4,406.992019,419.760293,1,
llvmss_misc_flops-4,native,5,417.105218,425.550829,1,
llvmss_misc_flops-4,wasm-aot,5,513.922303,530.305176,1,
llvmss_misc_reedsolomon,native,1,3151.137475,3160.252155,1,
llvmss_misc_reedsolomon,wasm-aot,1,3463.873393,3477.405948,1,
llvmss_misc_reedsolomon,native,2,3257.072738,3264.998587,1,
llvmss_misc_reedsolomon,wasm-aot,2,3387.605908,3401.10734,1,
llvmss_misc_reedsolomon,native,3,3425.175837,3431.638351,1,
llvmss_misc_reedsolomon,wasm-aot,3,3372.041069,3386.763055,1,
llvmss_misc_reedsolomon,native,4,3241.364027,3253.223054,1,
llvmss_misc_reedsolomon,wasm-aot,4,3386.830186,3407.506103,1,
llvmss_misc_reedsolomon,native,5,3275.378923,3284.586262,1,
llvmss_misc_reedsolomon,wasm-aot,5,3317.16399,3332.611678,1,
