program,mode,runtime,run_index,internal_ms,external_ms,ok,error
llvmss_benchmarkgame_puzzle,jit,native,1,63.653824,73.866962,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,1,366.881765,385.782639,1,
llvmss_benchmarkgame_puzzle,jit,native,2,75.480314,84.01086,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,2,403.451742,427.165386,1,
llvmss_benchmarkgame_puzzle,aot,native,1,71.735794,80.737098,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,1,363.969887,381.78853,1,
llvmss_benchmarkgame_puzzle,aot,native,2,75.309292,84.545884,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,2,385.159956,400.693471,1,
llvmss_dhrystone_dry,jit,native,1,302.705428,313.913888,1,
llvmss_dhrystone_dry,jit,wasm-jit,1,354.310939,369.415253,1,
llvmss_dhrystone_dry,jit,native,2,423.997727,431.301124,1,
llvmss_dhrystone_dry,jit,wasm-jit,2,451.066112,468.191834,1,
llvmss_dhrystone_dry,aot,native,1,287.863195,299.415728,1,
llvmss_dhrystone_dry,aot,wasm-aot,1,389.752614,454.477666,1,
llvmss_dhrystone_dry,aot,native,2,290.299323,298.863916,1,
llvmss_dhrystone_dry,aot,wasm-aot,2,359.697962,374.426953,1,
llvmss_linpack_linpack-pc,jit,native,1,1013.889087,1021.622826,1,
llvmss_linpack_linpack-pc,jit,wasm-jit,1,3176.838342,3197.862571,1,
llvmss_linpack_linpack-pc,jit,native,2,1450.110335,1462.529384,1,
llvmss_linpack_linpack-pc,jit,wasm-jit,2,3047.326232,3064.095614,1,
llvmss_linpack_linpack-pc,aot,native,1,977.899171,985.15623,1,
llvmss_linpack_linpack-pc,aot,wasm-aot,1,3292.512118,3311.219838,1,
llvmss_linpack_linpack-pc,aot,native,2,914.154407,922.360245,1,
llvmss_linpack_linpack-pc,aot,wasm-aot,2,3105.448147,3121.325148,1,
llvmss_misc_evalloop,jit,native,1,443.885709,455.399794,1,
llvmss_misc_evalloop,jit,wasm-jit,1,538.431627,552.822696,1,
llvmss_misc_evalloop,jit,native,2,434.974701,445.675564,1,
llvmss_misc_evalloop,jit,wasm-jit,2,505.55955,517.945505,1,
llvmss_misc_evalloop,aot,native,1,601.208131,607.619454,1,
llvmss_misc_evalloop,aot,wasm-aot,1,741.910981,757.102974,1,
llvmss_misc_evalloop,aot,native,2,456.262556,468.623716,1,
llvmss_misc_evalloop,aot,wasm-aot,2,589.412539,608.247137,1,
llvmss_misc_flops-1,jit,native,1,582.43385,593.932767,1,
llvmss_misc_flops-1,jit,wasm-jit,1,756.038014,771.890603,1,
llvmss_misc_flops-1,jit,native,2,617.657348,629.821851,1,
llvmss_misc_flops-1,jit,wasm-jit,2,742.421791,757.280596,1,
llvmss_misc_flops-1,aot,native,1,659.020038,666.920957,1,
llvmss_misc_flops-1,aot,wasm-aot,1,939.683169,961.114853,1,
llvmss_misc_flops-1,aot,native,2,588.169042,594.355668,1,
llvmss_misc_flops-1,aot,wasm-aot,2,704.868563,720.02076,1,
llvmss_misc_flops-2,jit,native,1,374.647347,384.36874,1,
llvmss_misc_flops-2,jit,wasm-jit,1,372.304318,390.229837,1,
llvmss_misc_flops-2,jit,native,2,403.733148,414.546022,1,
llvmss_misc_flops-2,jit,wasm-jit,2,381.906854,398.136508,1,
llvmss_misc_flops-2,aot,native,1,413.687521,422.324273,1,
llvmss_misc_flops-2,aot,wasm-aot,1,391.810178,408.400518,1,
llvmss_misc_flops-2,aot,native,2,434.266071,443.695976,1,
llvmss_misc_flops-2,aot,wasm-aot,2,391.966569,406.569585,1,
llvmss_misc_flops-3,jit,native,1,851.215666,862.25942,1,
llvmss_misc_flops-3,jit,wasm-jit,1,824.739416,838.004613,1,
llvmss_misc_flops-3,jit,native,2,904.558415,916.19739,1,
llvmss_misc_flops-3,jit,wasm-jit,2,876.557047,893.094167,1,
llvmss_misc_flops-3,aot,native,1,924.304114,935.63102,1,
llvmss_misc_flops-3,aot,wasm-aot,1,885.209398,901.285808,1,
llvmss_misc_flops-3,aot,native,2,865.845146,874.955034,1,
llvmss_misc_flops-3,aot,wasm-aot,2,937.233442,953.332343,1,
llvmss_misc_flops-4,jit,native,1,418.719321,429.818143,1,
llvmss_misc_flops-4,jit,wasm-jit,1,405.744801,419.378976,1,
llvmss_misc_flops-4,jit,native,2,421.772126,429.11257,1,
llvmss_misc_flops-4,jit,wasm-jit,2,422.901969,438.843874,1,
llvmss_misc_flops-4,aot,native,1,462.692617,471.299249,1,
llvmss_misc_flops-4,aot,wasm-aot,1,444.846354,463.585322,1,
llvmss_misc_flops-4,aot,native,2,446.071511,462.501013,1,
llvmss_misc_flops-4,aot,wasm-aot,2,452.581207,472.152042,1,
llvmss_misc_flops-5,jit,native,1,978.496578,989.137201,1,
llvmss_misc_flops-5,jit,wasm-jit,1,1017.597569,1033.760572,1,
llvmss_misc_flops-5,jit,native,2,1006.95982,1016.806607,1,
llvmss_misc_flops-5,jit,wasm-jit,2,946.671471,960.136642,1,
llvmss_misc_flops-5,aot,native,1,1553.140629,1726.993043,1,
llvmss_misc_flops-5,aot,wasm-aot,1,895.160621,910.015486,1,
llvmss_misc_flops-5,aot,native,2,834.434055,844.444927,1,
llvmss_misc_flops-5,aot,wasm-aot,2,902.368868,923.842943,1,
llvmss_misc_flops-6,jit,native,1,924.385491,931.040564,1,
llvmss_misc_flops-6,jit,wasm-jit,1,1337.848121,1351.860609,1,
llvmss_misc_flops-6,jit,native,2,872.57388,884.290487,1,
llvmss_misc_flops-6,jit,wasm-jit,2,1019.072914,1034.878107,1,
llvmss_misc_flops-6,aot,native,1,1060.518833,1179.094802,1,
llvmss_misc_flops-6,aot,wasm-aot,1,902.456848,921.017157,1,
llvmss_misc_flops-6,aot,native,2,811.344973,820.64216,1,
llvmss_misc_flops-6,aot,wasm-aot,2,1016.973627,1033.16015,1,
llvmss_misc_flops-7,jit,native,1,541.03616,564.595102,1,
llvmss_misc_flops-7,jit,wasm-jit,1,577.418156,592.731834,1,
llvmss_misc_flops-7,jit,native,2,695.156793,704.270228,1,
llvmss_misc_flops-7,jit,wasm-jit,2,583.711806,602.128452,1,
llvmss_misc_flops-7,aot,native,1,843.407816,850.225724,1,
llvmss_misc_flops-7,aot,wasm-aot,1,778.210866,797.126811,1,
llvmss_misc_flops-7,aot,native,2,649.040864,658.033546,1,
llvmss_misc_flops-7,aot,wasm-aot,2,603.28146,623.439529,1,
llvmss_misc_flops-8,jit,native,1,969.111652,979.70549,1,
llvmss_misc_flops-8,jit,wasm-jit,1,964.617606,978.640681,1,
llvmss_misc_flops-8,jit,native,2,985.962563,995.362672,1,
llvmss_misc_flops-8,jit,wasm-jit,2,946.6193,961.494504,1,
llvmss_misc_flops-8,aot,native,1,1118.554534,1128.072515,1,
llvmss_misc_flops-8,aot,wasm-aot,1,1033.820522,1050.558909,1,
llvmss_misc_flops-8,aot,native,2,877.052323,887.415003,1,
llvmss_misc_flops-8,aot,wasm-aot,2,1120.495698,1135.058479,1,
llvmss_misc_flops,jit,native,1,4158.224656,4166.688979,1,
llvmss_misc_flops,jit,wasm-jit,1,5375.517097,5390.411915,1,
llvmss_misc_flops,jit,native,2,3963.827227,3975.471542,1,
llvmss_misc_flops,jit,wasm-jit,2,5111.18314,5127.000228,1,
llvmss_misc_flops,aot,native,1,4663.985554,4674.899731,1,
llvmss_misc_flops,aot,wasm-aot,1,4807.245102,4823.519942,1,
llvmss_misc_flops,aot,native,2,3680.032208,3690.102213,1,
llvmss_misc_flops,aot,wasm-aot,2,4633.470484,4648.434576,1,
llvmss_misc_mandel-2,jit,native,1,579.588372,590.661429,1,
llvmss_misc_mandel-2,jit,wasm-jit,1,570.25315,582.657591,1,
llvmss_misc_mandel-2,jit,native,2,591.305441,601.449161,1,
llvmss_misc_mandel-2,jit,wasm-jit,2,659.992923,672.738574,1,
llvmss_misc_mandel-2,aot,native,1,789.147103,795.295684,1,
llvmss_misc_mandel-2,aot,wasm-aot,1,742.744765,758.650108,1,
llvmss_misc_mandel-2,aot,native,2,589.177387,599.738226,1,
llvmss_misc_mandel-2,aot,wasm-aot,2,628.240003,650.321276,1,
llvmss_misc_matmul_f64_4x4,jit,native,1,658.985055,667.886377,1,
llvmss_misc_matmul_f64_4x4,jit,wasm-jit,1,993.309049,1009.669295,1,
llvmss_misc_matmul_f64_4x4,jit,native,2,455.500192,466.310558,1,
llvmss_misc_matmul_f64_4x4,jit,wasm-jit,2,1121.480291,1134.363741,1,
llvmss_misc_matmul_f64_4x4,aot,native,1,680.068185,686.454851,1,
llvmss_misc_matmul_f64_4x4,aot,wasm-aot,1,1210.932026,1227.076439,1,
llvmss_misc_matmul_f64_4x4,aot,native,2,433.292665,441.37844,1,
llvmss_misc_matmul_f64_4x4,aot,wasm-aot,2,1036.756002,1052.724468,1,
llvmss_misc_reedsolomon,jit,native,1,3630.004877,3642.008976,1,
llvmss_misc_reedsolomon,jit,wasm-jit,1,3942.967729,3957.6427,1,
llvmss_misc_reedsolomon,jit,native,2,3585.486085,3599.378446,1,
llvmss_misc_reedsolomon,jit,wasm-jit,2,3838.720686,3854.660595,1,
llvmss_misc_reedsolomon,aot,native,1,3973.417088,3983.225318,1,
llvmss_misc_reedsolomon,aot,wasm-aot,1,3673.659784,3687.95629,1,
llvmss_misc_reedsolomon,aot,native,2,3950.550296,3959.490157,1,
llvmss_misc_reedsolomon,aot,wasm-aot,2,3960.183335,3975.024922,1,
llvmss_misc_richards_benchmark,jit,native,1,619.457599,630.718782,1,
llvmss_misc_richards_benchmark,jit,wasm-jit,1,1309.662431,1326.887474,1,
llvmss_misc_richards_benchmark,jit,native,2,631.086727,641.683575,1,
llvmss_misc_richards_benchmark,jit,wasm-jit,2,1317.893735,1332.688053,1,
llvmss_misc_richards_benchmark,aot,native,1,797.820326,809.57507,1,
llvmss_misc_richards_benchmark,aot,wasm-aot,1,1331.63816,1348.998013,1,
llvmss_misc_richards_benchmark,aot,native,2,558.951918,567.579345,1,
llvmss_misc_richards_benchmark,aot,wasm-aot,2,1221.941238,1240.03739,1,
llvmss_misc_salsa20,jit,native,1,3745.385581,3757.304782,1,
llvmss_misc_salsa20,jit,wasm-jit,1,4636.617145,4653.183041,1,
llvmss_misc_salsa20,jit,native,2,3826.472061,3835.051673,1,
llvmss_misc_salsa20,jit,wasm-jit,2,4696.077562,4710.579859,1,
llvmss_misc_salsa20,aot,native,1,3838.460243,3846.808994,1,
llvmss_misc_salsa20,aot,wasm-aot,1,4954.504224,4969.231221,1,
llvmss_misc_salsa20,aot,native,2,3939.444102,3949.544604,1,
llvmss_misc_salsa20,aot,wasm-aot,2,4909.573294,4928.462983,1,
llvmss_shootout_hello,jit,native,1,0.020793,9.507509,1,
llvmss_shootout_hello,jit,wasm-jit,1,0.091003,16.331829,1,
llvmss_shootout_hello,jit,native,2,0.019885,6.400249,1,
llvmss_shootout_hello,jit,wasm-jit,2,0.107253,10.599671,1,
llvmss_shootout_hello,aot,native,1,0.024943,5.386319,1,
llvmss_shootout_hello,aot,wasm-aot,1,0.111613,14.859503,1,
llvmss_shootout_hello,aot,native,2,0.022154,5.875072,1,
llvmss_shootout_hello,aot,wasm-aot,2,0.092939,10.477272,1,
llvmss_stanford_bubblesort,jit,native,1,13.634861,23.666363,1,
llvmss_stanford_bubblesort,jit,wasm-jit,1,18.623052,31.685928,1,
llvmss_stanford_bubblesort,jit,native,2,12.81288,21.758031,1,
llvmss_stanford_bubblesort,jit,wasm-jit,2,17.959778,39.616386,1,
llvmss_stanford_bubblesort,aot,native,1,12.303373,21.706402,1,
llvmss_stanford_bubblesort,aot,wasm-aot,1,17.984098,33.515244,1,
llvmss_stanford_bubblesort,aot,native,2,13.008876,22.253261,1,
llvmss_stanford_bubblesort,aot,wasm-aot,2,17.379893,35.685934,1,
