program,runtime,run_index,internal_ms,external_ms,ok,error
llvmss_benchmarkgame_puzzle,native,1,134.333889,142.009255,1,
llvmss_benchmarkgame_puzzle,wasm-jit,1,460.324219,478.316187,1,
llvmss_benchmarkgame_puzzle,native,2,86.162625,94.120433,1,
llvmss_benchmarkgame_puzzle,wasm-jit,2,434.487708,456.490744,1,
llvmss_benchmarkgame_puzzle,native,3,91.641309,188.309328,1,
llvmss_benchmarkgame_puzzle,wasm-jit,3,356.210718,365.932785,1,
llvmss_benchmarkgame_puzzle,native,4,67.016272,78.300162,1,
llvmss_benchmarkgame_puzzle,wasm-jit,4,357.714898,370.389732,1,
llvmss_benchmarkgame_puzzle,native,5,64.725877,75.827703,1,
llvmss_benchmarkgame_puzzle,wasm-jit,5,343.543911,359.881198,1,
llvmss_misc_flops-1,native,1,574.282094,583.713921,1,
llvmss_misc_flops-1,wasm-jit,1,704.591467,718.440927,1,
llvmss_misc_flops-1,native,2,557.078341,567.03516,1,
llvmss_misc_flops-1,wasm-jit,2,731.738717,745.149634,1,
llvmss_misc_flops-1,native,3,567.634724,576.739347,1,
llvmss_misc_flops-1,wasm-jit,3,860.877513,873.107747,1,
llvmss_misc_flops-1,native,4,597.166243,605.091603,1,
llvmss_misc_flops-1,wasm-jit,4,723.567752,739.423283,1,
llvmss_misc_flops-1,native,5,574.183068,586.483965,1,
llvmss_misc_flops-1,wasm-jit,5,711.371469,728.6854,1,
llvmss_misc_flops-2,native,1,382.385892,391.346756,1,
llvmss_misc_flops-2,wasm-jit,1,402.619727,415.863512,1,
llvmss_misc_flops-2,native,2,379.010453,388.55817,1,
llvmss_misc_flops-2,wasm-jit,2,379.286748,391.875585,1,
llvmss_misc_flops-2,native,3,373.104491,382.698134,1,
llvmss_misc_flops-2,wasm-jit,3,372.816692,389.829149,1,
llvmss_misc_flops-2,native,4,376.169393,386.365329,1,
llvmss_misc_flops-2,wasm-jit,4,364.161565,379.21796,1,
llvmss_misc_flops-2,native,5,372.301638,383.817049,1,
llvmss_misc_flops-2,wasm-jit,5,408.415304,424.404183,1,
llvmss_misc_flops-3,native,1,824.167123,833.098174,1,
llvmss_misc_flops-3,wasm-jit,1,839.620829,855.159032,1,
llvmss_misc_flops-3,native,2,824.922872,832.410884,1,
llvmss_misc_flops-3,wasm-jit,2,957.33845,969.578676,1,
llvmss_misc_flops-3,native,3,974.973817,983.342649,1,
llvmss_misc_flops-3,wasm-jit,3,812.860506,829.139696,1,
llvmss_misc_flops-3,native,4,833.331514,844.350903,1,
llvmss_misc_flops-3,wasm-jit,4,794.96852,808.976257,1,
llvmss_misc_flops-3,native,5,859.485549,869.939576,1,
llvmss_misc_flops-3,wasm-jit,5,799.361408,815.211746,1,
llvmss_misc_flops-4,native,1,392.30384,402.407185,1,
llvmss_misc_flops-4,wasm-jit,1,407.493551,424.987109,1,
llvmss_misc_flops-4,native,2,399.530932,409.05074,1,
llvmss_misc_flops-4,wasm-jit,2,384.314273,398.0844,1,
llvmss_misc_flops-4,native,3,391.366682,399.318899,1,
llvmss_misc_flops-4,wasm-jit,3,379.314493,393.160884,1,
llvmss_misc_flops-4,native,4,392.220783,402.146002,1,
llvmss_misc_flops-4,wasm-jit,4,371.642824,386.737276,1,
llvmss_misc_flops-4,native,5,397.278146,406.218459,1,
llvmss_misc_flops-4,wasm-jit,5,407.699807,422.626232,1,
llvmss_misc_reedsolomon,native,1,3060.334113,3069.177363,1,
llvmss_misc_reedsolomon,wasm-jit,1,3266.584011,3281.441824,1,
llvmss_misc_reedsolomon,native,2,3111.324169,3121.440909,1,
llvmss_misc_reedsolomon,wasm-jit,2,3290.625372,3304.399144,1,
llvmss_misc_reedsolomon,native,3,3133.413267,3145.11033,1,
llvmss_misc_reedsolomon,wasm-jit,3,3235.752069,3251.340319,1,
llvmss_misc_reedsolomon,native,4,3062.503741,3072.421726,1,
llvmss_misc_reedsolomon,wasm-jit,4,3275.519175,3288.535369,1,
llvmss_misc_reedsolomon,native,5,3065.346251,3075.289936,1,
llvmss_misc_reedsolomon,wasm-jit,5,3223.859589,3240.176813,1,
