program,relative_path,run_args_template,input_profile,class
llvmss_benchmarkgame_puzzle,BenchmarkGame/puzzle.c,,none,direct-run
llvmss_dhrystone_dry,Dhrystone/dry.c,,none,direct-run
llvmss_linpack_linpack-pc,Linpack/linpack-pc.c,,none,direct-run
llvmss_misc_evalloop,Misc/evalloop.c,,none,direct-run
llvmss_misc_flops-1,Misc/flops-1.c,,none,direct-run
llvmss_misc_flops-2,Misc/flops-2.c,,none,direct-run
llvmss_misc_flops-3,Misc/flops-3.c,,none,direct-run
llvmss_misc_flops-4,Misc/flops-4.c,,none,direct-run
llvmss_misc_flops-5,Misc/flops-5.c,,none,direct-run
llvmss_misc_flops-6,Misc/flops-6.c,,none,direct-run
llvmss_misc_flops-7,Misc/flops-7.c,,none,direct-run
llvmss_misc_flops-8,Misc/flops-8.c,,none,direct-run
llvmss_misc_flops,Misc/flops.c,,none,direct-run
llvmss_misc_mandel-2,Misc/mandel-2.c,,none,direct-run
llvmss_misc_matmul_f64_4x4,Misc/matmul_f64_4x4.c,,none,direct-run
llvmss_misc_reedsolomon,Misc/ReedSolomon.c,,none,direct-run
llvmss_misc_richards_benchmark,Misc/richards_benchmark.c,,none,direct-run
llvmss_misc_salsa20,Misc/salsa20.c,,none,direct-run
llvmss_shootout_hello,Shootout/hello.c,,none,direct-run
llvmss_stanford_bubblesort,Stanford/Bubblesort.c,,none,direct-run
llvmss_stanford_floatmm,Stanford/FloatMM.c,,none,direct-run
llvmss_stanford_intmm,Stanford/IntMM.c,,none,direct-run
llvmss_stanford_oscar,Stanford/Oscar.c,,none,direct-run
llvmss_stanford_perm,Stanford/Perm.c,,none,direct-run
llvmss_stanford_puzzle,Stanford/Puzzle.c,,none,direct-run
llvmss_stanford_queens,Stanford/Queens.c,,none,direct-run
llvmss_stanford_quicksort,Stanford/Quicksort.c,,none,direct-run
llvmss_stanford_realmm,Stanford/RealMM.c,,none,direct-run
llvmss_stanford_towers,Stanford/Towers.c,,none,direct-run
llvmss_stanford_treesort,Stanford/Treesort.c,,none,direct-run
