program,class,relative_path,runnable_now,needs_build_tweak,needs_source_patch,exclude_platform_specific,native_ok,wasm_ok,native_error,wasm_error,run_args_template,input_profile,notes
llvmss_benchmarkgame_puzzle,direct-run,BenchmarkGame/puzzle.c,1,0,0,0,1,1,,,,none,
llvmss_dhrystone_dry,direct-run,Dhrystone/dry.c,1,0,0,0,1,1,,,,none,
llvmss_linpack_linpack-pc,direct-run,Linpack/linpack-pc.c,1,0,0,0,1,1,,,,none,
llvmss_misc_aarch64-init-cpu-features,direct-run,Misc/aarch64-init-cpu-features.c,0,0,0,1,0,0,"/usr/bin/ld: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.native.o: in function `llvm_bench_main':
aarch64-init-cpu-features.c:(.text+0x5): undefined reference to `RUNTIME_INIT'
/usr/bin/ld: aarch64-init-cpu-features.c:(.text+0xc): undefined reference to `__aarch64_cpu_features'
/usr/bin/ld: aarch64-init-cpu-features.c:(.text+0x1b): undefined reference to `RUNTIME_INIT'
/usr/bin/ld: aarch64-init-cpu-features.c:(.text+0x38): undefined reference to `RUNTIME_INIT'
clang: error: linker command failed with exit code 1 (use -v to see invocation)","wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: RUNTIME_INIT
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: __aarch64_cpu_features
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: __aarch64_cpu_features
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: RUNTIME_INIT
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: __aarch64_cpu_features
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: __aarch64_cpu_features
wasm-ld: error: data/build/llvm_direct/llvmss_misc_aarch64-init-cpu-features.bench.wasm.o: undefined symbol: RUNTIME_INIT
clang: error: linker command failed with exit code 1 (use -v to see invocation)",,none,
llvmss_misc_evalloop,direct-run,Misc/evalloop.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-1,direct-run,Misc/flops-1.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-2,direct-run,Misc/flops-2.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-3,direct-run,Misc/flops-3.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-4,direct-run,Misc/flops-4.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-5,direct-run,Misc/flops-5.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-6,direct-run,Misc/flops-6.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-7,direct-run,Misc/flops-7.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops-8,direct-run,Misc/flops-8.c,1,0,0,0,1,1,,,,none,
llvmss_misc_flops,direct-run,Misc/flops.c,1,0,0,0,1,1,,,,none,
llvmss_misc_mandel-2,direct-run,Misc/mandel-2.c,1,0,0,0,1,1,,,,none,
llvmss_misc_mandel,direct-run,Misc/mandel.c,0,1,0,0,0,1,"/usr/bin/ld: data/build/llvm_direct/llvmss_misc_mandel.bench.native.o: in function `mandel':
mandel.c:(.text+0x14f): undefined reference to `hypot'
clang: error: linker command failed with exit code 1 (use -v to see invocation)",,,none,
llvmss_misc_matmul_f64_4x4,direct-run,Misc/matmul_f64_4x4.c,1,0,0,0,1,1,,,,none,
