program,c_path,native_ok,wasm_ok,native_bin,wasm_file,native_error,wasm_error
correlation,datamining/correlation/correlation.c,1,1,/home/luomz/wasm/data/polybench_build_perf/correlation.native,/home/luomz/wasm/data/polybench_build_perf/correlation.wasm,,
covariance,datamining/covariance/covariance.c,1,1,/home/luomz/wasm/data/polybench_build_perf/covariance.native,/home/luomz/wasm/data/polybench_build_perf/covariance.wasm,,
2mm,linear-algebra/kernels/2mm/2mm.c,1,1,/home/luomz/wasm/data/polybench_build_perf/2mm.native,/home/luomz/wasm/data/polybench_build_perf/2mm.wasm,,
3mm,linear-algebra/kernels/3mm/3mm.c,1,1,/home/luomz/wasm/data/polybench_build_perf/3mm.native,/home/luomz/wasm/data/polybench_build_perf/3mm.wasm,,
atax,linear-algebra/kernels/atax/atax.c,1,1,/home/luomz/wasm/data/polybench_build_perf/atax.native,/home/luomz/wasm/data/polybench_build_perf/atax.wasm,,
bicg,linear-algebra/kernels/bicg/bicg.c,1,1,/home/luomz/wasm/data/polybench_build_perf/bicg.native,/home/luomz/wasm/data/polybench_build_perf/bicg.wasm,,
doitgen,linear-algebra/kernels/doitgen/doitgen.c,1,1,/home/luomz/wasm/data/polybench_build_perf/doitgen.native,/home/luomz/wasm/data/polybench_build_perf/doitgen.wasm,,
mvt,linear-algebra/kernels/mvt/mvt.c,1,1,/home/luomz/wasm/data/polybench_build_perf/mvt.native,/home/luomz/wasm/data/polybench_build_perf/mvt.wasm,,
gemm,linear-algebra/blas/gemm/gemm.c,1,1,/home/luomz/wasm/data/polybench_build_perf/gemm.native,/home/luomz/wasm/data/polybench_build_perf/gemm.wasm,,
gemver,linear-algebra/blas/gemver/gemver.c,1,1,/home/luomz/wasm/data/polybench_build_perf/gemver.native,/home/luomz/wasm/data/polybench_build_perf/gemver.wasm,,
gesummv,linear-algebra/blas/gesummv/gesummv.c,1,1,/home/luomz/wasm/data/polybench_build_perf/gesummv.native,/home/luomz/wasm/data/polybench_build_perf/gesummv.wasm,,
symm,linear-algebra/blas/symm/symm.c,1,1,/home/luomz/wasm/data/polybench_build_perf/symm.native,/home/luomz/wasm/data/polybench_build_perf/symm.wasm,,
syr2k,linear-algebra/blas/syr2k/syr2k.c,1,1,/home/luomz/wasm/data/polybench_build_perf/syr2k.native,/home/luomz/wasm/data/polybench_build_perf/syr2k.wasm,,
syrk,linear-algebra/blas/syrk/syrk.c,1,1,/home/luomz/wasm/data/polybench_build_perf/syrk.native,/home/luomz/wasm/data/polybench_build_perf/syrk.wasm,,
trmm,linear-algebra/blas/trmm/trmm.c,1,1,/home/luomz/wasm/data/polybench_build_perf/trmm.native,/home/luomz/wasm/data/polybench_build_perf/trmm.wasm,,
cholesky,linear-algebra/solvers/cholesky/cholesky.c,1,1,/home/luomz/wasm/data/polybench_build_perf/cholesky.native,/home/luomz/wasm/data/polybench_build_perf/cholesky.wasm,,
durbin,linear-algebra/solvers/durbin/durbin.c,1,1,/home/luomz/wasm/data/polybench_build_perf/durbin.native,/home/luomz/wasm/data/polybench_build_perf/durbin.wasm,,
gramschmidt,linear-algebra/solvers/gramschmidt/gramschmidt.c,1,1,/home/luomz/wasm/data/polybench_build_perf/gramschmidt.native,/home/luomz/wasm/data/polybench_build_perf/gramschmidt.wasm,,
lu,linear-algebra/solvers/lu/lu.c,1,1,/home/luomz/wasm/data/polybench_build_perf/lu.native,/home/luomz/wasm/data/polybench_build_perf/lu.wasm,,
ludcmp,linear-algebra/solvers/ludcmp/ludcmp.c,1,1,/home/luomz/wasm/data/polybench_build_perf/ludcmp.native,/home/luomz/wasm/data/polybench_build_perf/ludcmp.wasm,,
trisolv,linear-algebra/solvers/trisolv/trisolv.c,1,1,/home/luomz/wasm/data/polybench_build_perf/trisolv.native,/home/luomz/wasm/data/polybench_build_perf/trisolv.wasm,,
deriche,medley/deriche/deriche.c,1,1,/home/luomz/wasm/data/polybench_build_perf/deriche.native,/home/luomz/wasm/data/polybench_build_perf/deriche.wasm,,
floyd-warshall,medley/floyd-warshall/floyd-warshall.c,1,1,/home/luomz/wasm/data/polybench_build_perf/floyd-warshall.native,/home/luomz/wasm/data/polybench_build_perf/floyd-warshall.wasm,,
nussinov,medley/nussinov/nussinov.c,1,1,/home/luomz/wasm/data/polybench_build_perf/nussinov.native,/home/luomz/wasm/data/polybench_build_perf/nussinov.wasm,,
adi,stencils/adi/adi.c,1,1,/home/luomz/wasm/data/polybench_build_perf/adi.native,/home/luomz/wasm/data/polybench_build_perf/adi.wasm,,
fdtd-2d,stencils/fdtd-2d/fdtd-2d.c,1,1,/home/luomz/wasm/data/polybench_build_perf/fdtd-2d.native,/home/luomz/wasm/data/polybench_build_perf/fdtd-2d.wasm,,
heat-3d,stencils/heat-3d/heat-3d.c,1,1,/home/luomz/wasm/data/polybench_build_perf/heat-3d.native,/home/luomz/wasm/data/polybench_build_perf/heat-3d.wasm,,
jacobi-1d,stencils/jacobi-1d/jacobi-1d.c,1,1,/home/luomz/wasm/data/polybench_build_perf/jacobi-1d.native,/home/luomz/wasm/data/polybench_build_perf/jacobi-1d.wasm,,
jacobi-2d,stencils/jacobi-2d/jacobi-2d.c,1,1,/home/luomz/wasm/data/polybench_build_perf/jacobi-2d.native,/home/luomz/wasm/data/polybench_build_perf/jacobi-2d.wasm,,
seidel-2d,stencils/seidel-2d/seidel-2d.c,1,1,/home/luomz/wasm/data/polybench_build_perf/seidel-2d.native,/home/luomz/wasm/data/polybench_build_perf/seidel-2d.wasm,,
