program,runtime,run_index,internal_ms,parsed_ok,ok,error
2mm,native,1,874.776,1,1,
2mm,native,2,872.249,1,1,
2mm,native,3,870.607,1,1,
2mm,native,4,881.4060000000001,1,1,
2mm,native,5,869.405,1,1,
2mm,native,6,870.6279999999999,1,1,
2mm,native,7,872.484,1,1,
2mm,native,8,877.853,1,1,
2mm,native,9,878.082,1,1,
2mm,native,10,872.936,1,1,
2mm,native,11,871.3340000000001,1,1,
2mm,native,12,1620.512,1,1,
2mm,native,13,2008.222,1,1,
2mm,native,14,906.5229999999999,1,1,
2mm,native,15,908.631,1,1,
2mm,native,16,884.919,1,1,
2mm,native,17,884.371,1,1,
2mm,native,18,883.435,1,1,
2mm,native,19,892.707,1,1,
2mm,native,20,907.443,1,1,
2mm,native,21,886.154,1,1,
2mm,native,22,884.663,1,1,
2mm,native,23,876.968,1,1,
2mm,native,24,879.149,1,1,
2mm,native,25,900.871,1,1,
2mm,native,26,915.5649999999999,1,1,
2mm,native,27,899.371,1,1,
2mm,native,28,1019.22,1,1,
2mm,native,29,906.014,1,1,
2mm,native,30,883.394,1,1,
2mm,wasm-jit,1,1064.5420000000001,1,1,
2mm,wasm-jit,2,1065.691,1,1,
2mm,wasm-jit,3,1103.933,1,1,
2mm,wasm-jit,4,1080.7089999999998,1,1,
2mm,wasm-jit,5,1083.8980000000001,1,1,
2mm,wasm-jit,6,1128.308,1,1,
2mm,wasm-jit,7,1159.858,1,1,
2mm,wasm-jit,8,1097.894,1,1,
2mm,wasm-jit,9,1077.867,1,1,
2mm,wasm-jit,10,1067.157,1,1,
2mm,wasm-jit,11,1080.584,1,1,
2mm,wasm-jit,12,1066.5549999999998,1,1,
2mm,wasm-jit,13,1080.242,1,1,
2mm,wasm-jit,14,1076.121,1,1,
2mm,wasm-jit,15,1096.267,1,1,
2mm,wasm-jit,16,1066.1419999999998,1,1,
2mm,wasm-jit,17,1079.121,1,1,
2mm,wasm-jit,18,1062.069,1,1,
2mm,wasm-jit,19,1069.942,1,1,
2mm,wasm-jit,20,1081.598,1,1,
2mm,wasm-jit,21,1065.197,1,1,
2mm,wasm-jit,22,1064.111,1,1,
2mm,wasm-jit,23,1071.4170000000001,1,1,
2mm,wasm-jit,24,1068.5359999999998,1,1,
2mm,wasm-jit,25,1060.1560000000002,1,1,
2mm,wasm-jit,26,1058.012,1,1,
2mm,wasm-jit,27,1071.739,1,1,
2mm,wasm-jit,28,1062.421,1,1,
2mm,wasm-jit,29,1084.036,1,1,
2mm,wasm-jit,30,1077.9479999999999,1,1,
2mm,wasm-aot,1,1074.8120000000001,1,1,
2mm,wasm-aot,2,1084.7420000000002,1,1,
2mm,wasm-aot,3,1076.1750000000002,1,1,
2mm,wasm-aot,4,1100.189,1,1,
2mm,wasm-aot,5,1109.2040000000002,1,1,
2mm,wasm-aot,6,1100.66,1,1,
