program,native_ok,wasm_jit_ok,wasm_aot_ok,native_median_internal_ms,wasm_jit_median_internal_ms,wasm_aot_median_internal_ms,ratio_jit_over_native,ratio_aot_over_native,label_jit,label_aot,note
2mm,1,1,1,883.903,1073.93,1099.682,1.214986,1.244121,native-better,native-better,
3mm,1,1,1,1325.441,1330.408,1343.2765,1.003747,1.013456,similar,similar,
adi,1,1,1,6012.64,6299.073,6315.8405,1.047638,1.050427,similar,similar,
atax,1,1,1,2.677,3.7525,3.591,1.401756,1.341427,native-better,native-better,
bicg,1,1,1,6.448,6.5215,6.469,1.011399,1.003257,similar,similar,
cholesky,1,1,1,589.446,592.4385,591.7,1.005077,1.003824,similar,similar,
correlation,1,1,1,4671.6755,4651.693,4620.983,0.995723,0.989149,similar,similar,
covariance,1,1,1,4677.8745,4682.968,4591.3075,1.001089,0.981494,similar,similar,
deriche,1,1,1,179.7825,178.937,179.6905,0.995297,0.999488,similar,similar,
doitgen,1,1,1,185.1295,223.171,221.3275,1.205486,1.195528,native-better,native-better,
durbin,1,1,1,1.179,1.7525,1.757,1.486429,1.490246,native-better,native-better,
fdtd-2d,1,1,1,909.84,1216.6225,1211.776,1.337183,1.331856,native-better,native-better,
floyd-warshall,1,1,1,6849.015,8629.079,8643.1185,1.259901,1.261951,native-better,native-better,
gemm,1,1,1,208.3775,706.1565,708.343,3.388833,3.399326,native-better,native-better,
gemver,1,1,1,14.1545,14.5535,14.335,1.028189,1.012752,similar,similar,
gesummv,1,1,1,2.907,2.8015,2.824,0.963708,0.971448,similar,similar,
gramschmidt,1,1,1,4878.2065,4321.694,4232.0795,0.885919,0.867548,wasm-better,wasm-better,
heat-3d,1,1,1,1083.3285,2208.467,2247.5205,2.038594,2.074644,native-better,native-better,
jacobi-1d,1,1,1,0.31,1.0125,1.0245,3.266129,3.304839,native-better,native-better,
jacobi-2d,1,1,1,807.7115,1627.993,1538.195,2.015562,1.904387,native-better,native-better,
lu,1,1,1,2332.27,2242.6775,2256.0515,0.961586,0.96732,similar,similar,
ludcmp,1,1,1,2289.359,2179.233,2173.4675,0.951897,0.949378,similar,similar,
mvt,1,1,1,12.8265,12.744,12.015,0.993568,0.936733,similar,similar,
nussinov,1,1,1,1959.711,2283.8435,2310.6665,1.165398,1.179085,native-better,native-better,
seidel-2d,1,1,1,10842.7815,10842.3745,10819.5695,0.999962,0.997859,similar,similar,
symm,1,1,1,1044.5345,1040.263,1039.285,0.995911,0.994974,similar,similar,
syr2k,1,1,1,2569.6705,2078.1835,2072.9105,0.808735,0.806683,wasm-better,wasm-better,
syrk,1,1,1,305.234,507.14,505.538,1.661479,1.656231,native-better,native-better,
trisolv,1,1,1,1.2605,1.298,1.3545,1.02975,1.074574,similar,similar,
trmm,1,1,1,1106.4605,1124.6685,1119.312,1.016456,1.011615,similar,similar,
