feature,pearson_r_vs_ratio,pearson_r_vs_native_better,cohens_d_native_vs_non_native,abs_r_vs_ratio,abs_d
ir_instruction_count,0.300169,0.283187,0.773209,0.300169,0.773209
store_count,0.249285,0.273374,0.744211,0.249285,0.744211
branch_instr_count,0.23166,0.244311,0.659748,0.23166,0.659748
memory_access_density,0.231262,0.243409,0.65716,0.231262,0.65716
basic_block_count,0.232546,0.237545,0.640367,0.232546,0.640367
compute_density,-0.151439,-0.235096,-0.633379,0.151439,0.633379
load_count,0.289751,0.194008,0.517873,0.289751,0.517873
alloc_call_count,-0.033698,0.171312,0.455332,0.033698,0.455332
hostcall_count,-0.000528,0.161243,0.427831,0.000528,0.427831
max_loop_depth,0.121765,0.147859,0.391489,0.121765,0.391489
load_store_ratio,0.10444,0.126193,0.333114,0.10444,0.333114
avg_bb_size,0.1076,0.077062,0.202399,0.1076,0.202399
time_call_count,0.701476,0.069843,0.18334,0.701476,0.18334
hostcall_density,-0.093731,-0.066882,-0.17553,0.093731,0.17553
hostcall_per_bb,0.044944,-0.054398,-0.142658,0.044944,0.142658
call_to_bb_ratio,0.456032,-0.027789,-0.072796,0.456032,0.072796
compute_to_memory_ratio,0.047436,-0.024403,-0.063921,0.047436,0.063921
call_instr_count,0.130463,-0.007602,-0.019907,0.130463,0.019907
