program,mode,runtime,runtime_engine,compiler,run_index,internal_ms,external_ms,ok,error
llvmss_benchmarkgame_puzzle,jit,native,native,,1,66.222813,67.347858,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,1,366.858551,379.624154,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,2,65.944027,66.890948,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,2,366.295996,379.614683,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,3,65.529151,66.467106,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,3,364.934407,378.695827,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,4,66.086526,67.059504,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,4,366.256537,380.460531,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,5,66.289162,67.243958,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,5,365.248734,377.962897,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,6,65.819371,66.718623,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,6,364.935621,378.108095,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,7,66.526657,67.418508,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,7,366.264609,379.375363,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,8,66.309784,67.206144,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,8,366.438449,379.349101,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,9,66.06301,67.008598,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,9,365.648506,378.084617,1,
llvmss_benchmarkgame_puzzle,jit,native,native,,10,66.012355,66.907963,1,
llvmss_benchmarkgame_puzzle,jit,wasm-jit,wasmer,cranelift,10,365.287649,378.867816,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,1,66.318194,67.120077,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,1,366.093628,378.10296,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,2,65.982961,66.888947,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,2,365.40628,378.37073,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,3,65.827019,66.735089,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,3,366.060908,377.557704,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,4,65.774909,66.809122,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,4,365.95663,378.415534,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,5,66.020354,66.926712,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,5,365.716843,377.759863,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,6,65.588671,66.474501,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,6,366.839889,378.742395,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,7,66.12438,67.397837,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,7,366.637442,378.682204,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,8,65.931585,66.866415,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,8,365.512715,377.700519,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,9,67.108593,68.016959,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,9,365.74746,377.994819,1,
llvmss_benchmarkgame_puzzle,aot,native,native,,10,66.292643,67.235896,1,
llvmss_benchmarkgame_puzzle,aot,wasm-aot,wasmer,cranelift,10,365.341984,377.990896,1,
llvmss_misc_evalloop,jit,native,native,,1,422.19352,423.065063,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,1,540.685222,553.428842,1,
llvmss_misc_evalloop,jit,native,native,,2,422.880549,423.675096,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,2,540.278609,552.679943,1,
llvmss_misc_evalloop,jit,native,native,,3,421.556182,422.366206,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,3,540.706211,554.026464,1,
llvmss_misc_evalloop,jit,native,native,,4,421.922019,422.750637,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,4,540.490377,553.054208,1,
llvmss_misc_evalloop,jit,native,native,,5,421.730518,422.537187,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,5,540.395531,553.642804,1,
llvmss_misc_evalloop,jit,native,native,,6,421.668573,422.460513,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,6,540.646272,553.211624,1,
llvmss_misc_evalloop,jit,native,native,,7,422.306572,423.194721,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,7,540.500077,554.123262,1,
llvmss_misc_evalloop,jit,native,native,,8,421.855031,422.750192,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,8,540.385802,553.133858,1,
llvmss_misc_evalloop,jit,native,native,,9,422.053638,422.935328,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,9,540.920174,553.272689,1,
llvmss_misc_evalloop,jit,native,native,,10,422.75397,423.606778,1,
llvmss_misc_evalloop,jit,wasm-jit,wasmer,cranelift,10,540.298081,553.283814,1,
llvmss_misc_evalloop,aot,native,native,,1,422.110572,422.932632,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,1,540.266448,552.399701,1,
llvmss_misc_evalloop,aot,native,native,,2,422.222137,423.044996,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,2,540.44593,551.934324,1,
llvmss_misc_evalloop,aot,native,native,,3,422.299905,423.094545,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,3,541.591044,553.973952,1,
llvmss_misc_evalloop,aot,native,native,,4,424.61551,425.463267,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,4,540.668265,552.925378,1,
llvmss_misc_evalloop,aot,native,native,,5,421.960767,422.752801,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,5,540.329586,551.829193,1,
llvmss_misc_evalloop,aot,native,native,,6,422.288109,423.195625,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,6,540.606353,552.316073,1,
llvmss_misc_evalloop,aot,native,native,,7,422.266193,423.054695,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,7,540.851363,552.583283,1,
llvmss_misc_evalloop,aot,native,native,,8,422.857145,423.688509,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,8,540.489469,552.675093,1,
llvmss_misc_evalloop,aot,native,native,,9,422.900253,423.905903,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,9,541.028103,552.264737,1,
llvmss_misc_evalloop,aot,native,native,,10,422.009894,422.836492,1,
llvmss_misc_evalloop,aot,wasm-aot,wasmer,cranelift,10,540.543239,553.113922,1,
llvmss_misc_flops-1,jit,native,native,,1,632.824039,633.692706,1,
llvmss_misc_flops-1,jit,wasm-jit,wasmer,cranelift,1,762.875532,775.819218,1,
llvmss_misc_flops-1,jit,native,native,,2,632.367937,633.185429,1,
llvmss_misc_flops-1,jit,wasm-jit,wasmer,cranelift,2,743.695033,756.40125,1,
llvmss_misc_flops-1,jit,native,native,,3,632.316992,633.137777,1,
llvmss_misc_flops-1,jit,wasm-jit,wasmer,cranelift,3,731.105878,744.112821,1,
llvmss_misc_flops-1,jit,native,native,,4,632.961935,633.800039,1,
