program,wasmtime_ratio_jit_over_native_internal,wasmer_ratio_jit_over_native_internal,delta_jit,rel_delta_jit,wasmtime_ratio_aot_over_native_internal,wasmer_ratio_aot_over_native_internal,delta_aot,rel_delta_aot,jit_wasmtime_label,jit_wasmer_label,jit_label_changed,aot_wasmtime_label,aot_wasmer_label,aot_label_changed
llvmss_benchmarkgame_puzzle,5.166068,5.538461,0.372393,0.072084,5.172443,5.543074,0.370631,0.071655,native-better,native-better,0,native-better,native-better,0
llvmss_misc_evalloop,1.157905,1.280831,0.122926,0.106162,1.155248,1.280142,0.124894,0.10811,native-better,native-better,0,native-better,native-better,0
llvmss_misc_flops,1.258256,1.265179,0.006923,0.005502,1.258121,1.264195,0.006074,0.004828,native-better,native-better,0,native-better,native-better,0
llvmss_misc_flops-1,1.153603,1.176027,0.022424,0.019438,1.24383,1.190099,-0.053731,0.043198,native-better,native-better,0,native-better,native-better,0
llvmss_misc_flops-2,0.97355,0.976092,0.002542,0.002611,0.974684,1.001529,0.026845,0.027542,similar,similar,0,similar,similar,0
llvmss_misc_flops-3,0.902894,0.970371,0.067477,0.074734,0.902943,1.007025,0.104082,0.11527,similar,similar,0,similar,similar,0
llvmss_misc_flops-4,0.957543,0.995445,0.037902,0.039583,0.957435,1.023393,0.065958,0.06889,similar,similar,0,similar,similar,0
llvmss_misc_flops-5,0.943433,0.995369,0.051936,0.05505,0.943767,1.05633,0.112563,0.11927,similar,similar,0,similar,similar,0
llvmss_misc_flops-6,0.937747,1.027745,0.089998,0.095973,0.937544,1.046469,0.108925,0.116181,similar,similar,0,similar,similar,0
llvmss_misc_flops-7,0.981727,0.974181,-0.007546,0.007686,0.978384,0.974102,-0.004282,0.004377,similar,similar,0,similar,similar,0
llvmss_misc_flops-8,0.960091,1.023394,0.063303,0.065934,0.960607,0.983008,0.022401,0.02332,similar,similar,0,similar,similar,0
llvmss_misc_mandel-2,1.027952,1.010197,-0.017755,0.017272,1.027169,1.009767,-0.017402,0.016942,similar,similar,0,similar,similar,0
llvmss_misc_matmul_f64_4x4,2.19959,2.171207,-0.028383,0.012904,2.200763,2.170499,-0.030264,0.013752,native-better,native-better,0,native-better,native-better,0
llvmss_misc_reedsolomon,0.944868,0.96217,0.017302,0.018312,0.945178,0.962042,0.016864,0.017842,similar,similar,0,similar,similar,0
llvmss_misc_richards_benchmark,1.817244,1.845339,0.028095,0.01546,1.81906,1.903721,0.084661,0.046541,native-better,native-better,0,native-better,native-better,0
llvmss_misc_salsa20,1.221004,1.282655,0.061651,0.050492,1.221025,1.282342,0.061317,0.050218,native-better,native-better,0,native-better,native-better,0
llvmss_shootout_hello,4.151459,5.164987,1.013528,0.244138,4.232016,8.460645,4.228629,0.9992,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_bubblesort,1.429582,1.640992,0.21141,0.147882,1.4373,1.642681,0.205381,0.142894,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_floatmm,1.765147,1.443502,-0.321645,0.18222,1.766199,1.445177,-0.321022,0.181759,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_intmm,2.246439,2.928381,0.681942,0.303566,2.295645,3.067016,0.771371,0.336015,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_oscar,2.061033,5.487531,3.426498,1.662515,2.172715,5.737452,3.564737,1.640683,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_perm,2.332291,2.888021,0.55573,0.238276,2.338723,2.900319,0.561596,0.240129,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_puzzle,1.498217,1.479205,-0.019012,0.01269,1.497232,1.47619,-0.021042,0.014054,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_queens,2.855309,3.170823,0.315514,0.110501,2.858043,3.188724,0.330681,0.115702,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_quicksort,1.071911,1.232291,0.16038,0.149621,1.074389,1.23231,0.157921,0.146987,similar,native-better,1,similar,native-better,1
llvmss_stanford_realmm,1.777107,2.008868,0.231761,0.130415,1.328446,2.131422,0.802976,0.604448,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_towers,1.618133,1.951759,0.333626,0.20618,1.613475,2.01338,0.399905,0.247853,native-better,native-better,0,native-better,native-better,0
llvmss_stanford_treesort,0.839079,0.999582,0.160503,0.191285,0.837893,1.019378,0.181485,0.216597,wasm-better,similar,1,wasm-better,similar,1
